Varste si grupe de varsta, Sexe, Medii de rezidenta, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Total, Total, Total, Regiunea SUD-MUNTENIA, Anul 1996, Numar persoane, 3523505
Total, Total, Total, Regiunea SUD-MUNTENIA, Anul 1997, Numar persoane, 3509715
Total, Total, Total, Regiunea SUD-MUNTENIA, Anul 1998, Numar persoane, 3499676
Total, Total, Total, Regiunea SUD-MUNTENIA, Anul 1999, Numar persoane, 3488563
Total, Total, Total, Regiunea SUD-MUNTENIA, Anul 2000, Numar persoane, 3481933
Total, Total, Total, Regiunea SUD-MUNTENIA, Anul 2001, Numar persoane, 3472902
Total, Total, Total, Regiunea SUD-MUNTENIA, Anul 2002, Numar persoane, 3457556
Total, Total, Total, Regiunea SUD-MUNTENIA, Anul 2003, Numar persoane, 3443268
Total, Total, Total, Regiunea SUD-MUNTENIA, Anul 2004, Numar persoane, 3429284
Total, Total, Total, Regiunea SUD-MUNTENIA, Anul 2005, Numar persoane, 3416756
Total, Total, Total, Regiunea SUD-MUNTENIA, Anul 2006, Numar persoane, 3404665
Total, Total, Total, Regiunea SUD-MUNTENIA, Anul 2007, Numar persoane, 3394547
Total, Total, Total, Regiunea SUD-MUNTENIA, Anul 2008, Numar persoane, 3384932
Total, Total, Total, Regiunea SUD-MUNTENIA, Anul 2009, Numar persoane, 3373155
Total, Total, Total, Regiunea SUD-MUNTENIA, Anul 2010, Numar persoane, 3360408
Total, Total, Total, Regiunea SUD-MUNTENIA, Anul 2011, Numar persoane, 3343770
Total, Total, Total, Regiunea SUD-MUNTENIA, Anul 2012, Numar persoane, 3327723
Total, Total, Total, Regiunea SUD-MUNTENIA, Anul 2013, Numar persoane, 3309182
Total, Total, Total, Regiunea SUD-MUNTENIA, Anul 2014, Numar persoane, 3289404
Total, Total, Total, Regiunea SUD-MUNTENIA, Anul 2016, Numar persoane, 3252112
Total, Total, Total, Regiunea SUD-MUNTENIA, Anul 2017, Numar persoane, 3228630
Total, Total, Total, Arges, Anul 1992, Numar persoane, 680982
Total, Total, Total, Arges, Anul 1993, Numar persoane, 681446
Total, Total, Total, Arges, Anul 1994, Numar persoane, 682008
Total, Total, Total, Arges, Anul 1995, Numar persoane, 681313
Total, Total, Total, Arges, Anul 1996, Numar persoane, 679740
Total, Total, Total, Arges, Anul 1997, Numar persoane, 678174
Total, Total, Total, Arges, Anul 1998, Numar persoane, 676819
Total, Total, Total, Arges, Anul 1999, Numar persoane, 675593
Total, Total, Total, Arges, Anul 2000, Numar persoane, 674715
Total, Total, Total, Arges, Anul 2001, Numar persoane, 673484
Total, Total, Total, Arges, Anul 2002, Numar persoane, 670879
Total, Total, Total, Arges, Anul 2003, Numar persoane, 669092
Total, Total, Total, Arges, Anul 2004, Numar persoane, 667491
Total, Total, Total, Arges, Anul 2005, Numar persoane, 665828
Total, Total, Total, Arges, Anul 2006, Numar persoane, 664536
Total, Total, Total, Arges, Anul 2007, Numar persoane, 663975
Total, Total, Total, Arges, Anul 2008, Numar persoane, 665281
Total, Total, Total, Arges, Anul 2009, Numar persoane, 663075
Total, Total, Total, Arges, Anul 2010, Numar persoane, 661091
Total, Total, Total, Arges, Anul 2011, Numar persoane, 658421
Total, Total, Total, Arges, Anul 2012, Numar persoane, 655633
Total, Total, Total, Arges, Anul 2013, Numar persoane, 653212
Total, Total, Total, Arges, Anul 2014, Numar persoane, 650332
Total, Total, Total, Arges, Anul 2016, Numar persoane, 644726
Total, Total, Total, Arges, Anul 2017, Numar persoane, 641463
Total, Total, Total, Calarasi, Anul 1992, Numar persoane, 343217
Total, Total, Total, Calarasi, Anul 1993, Numar persoane, 342053
Total, Total, Total, Calarasi, Anul 1994, Numar persoane, 341130
Total, Total, Total, Calarasi, Anul 1995, Numar persoane, 339612
Total, Total, Total, Calarasi, Anul 1996, Numar persoane, 338299
Total, Total, Total, Calarasi, Anul 1997, Numar persoane, 337292
Total, Total, Total, Calarasi, Anul 1998, Numar persoane, 336587
Total, Total, Total, Calarasi, Anul 1999, Numar persoane, 335967
Total, Total, Total, Calarasi, Anul 2000, Numar persoane, 336249
Total, Total, Total, Calarasi, Anul 2001, Numar persoane, 335225
Total, Total, Total, Calarasi, Anul 2002, Numar persoane, 334108
Total, Total, Total, Calarasi, Anul 2003, Numar persoane, 333331
Total, Total, Total, Calarasi, Anul 2004, Numar persoane, 332556
Total, Total, Total, Calarasi, Anul 2005, Numar persoane, 331229
Total, Total, Total, Calarasi, Anul 2006, Numar persoane, 330576
Total, Total, Total, Calarasi, Anul 2007, Numar persoane, 329900
Total, Total, Total, Calarasi, Anul 2008, Numar persoane, 329015
Total, Total, Total, Calarasi, Anul 2009, Numar persoane, 328282
Total, Total, Total, Calarasi, Anul 2010, Numar persoane, 327085
Total, Total, Total, Calarasi, Anul 2011, Numar persoane, 325353
Total, Total, Total, Calarasi, Anul 2012, Numar persoane, 324089
Total, Total, Total, Calarasi, Anul 2013, Numar persoane, 322394
Total, Total, Total, Calarasi, Anul 2014, Numar persoane, 320302
Total, Total, Total, Calarasi, Anul 2016, Numar persoane, 316634
Total, Total, Total, Calarasi, Anul 2017, Numar persoane, 314150
Total, Total, Total, Dambovita, Anul 1992, Numar persoane, 555560
Total, Total, Total, Dambovita, Anul 1993, Numar persoane, 554451
Total, Total, Total, Dambovita, Anul 1994, Numar persoane, 554196
Total, Total, Total, Dambovita, Anul 1995, Numar persoane, 553023
Total, Total, Total, Dambovita, Anul 1996, Numar persoane, 551542
Total, Total, Total, Dambovita, Anul 1997, Numar persoane, 550066
Total, Total, Total, Dambovita, Anul 1998, Numar persoane, 549594
Total, Total, Total, Dambovita, Anul 1999, Numar persoane, 548550
Total, Total, Total, Dambovita, Anul 2000, Numar persoane, 547870
Total, Total, Total, Dambovita, Anul 2001, Numar persoane, 547331
Total, Total, Total, Dambovita, Anul 2002, Numar persoane, 546173
Total, Total, Total, Dambovita, Anul 2003, Numar persoane, 544422
Total, Total, Total, Dambovita, Anul 2004, Numar persoane, 543120
Total, Total, Total, Dambovita, Anul 2005, Numar persoane, 542036
Total, Total, Total, Dambovita, Anul 2006, Numar persoane, 540750
Total, Total, Total, Dambovita, Anul 2007, Numar persoane, 539540
Total, Total, Total, Dambovita, Anul 2008, Numar persoane, 538231
Total, Total, Total, Dambovita, Anul 2009, Numar persoane, 537877
Total, Total, Total, Dambovita, Anul 2010, Numar persoane, 537414
Total, Total, Total, Dambovita, Anul 2011, Numar persoane, 536623
Total, Total, Total, Dambovita, Anul 2012, Numar persoane, 535852
Total, Total, Total, Dambovita, Anul 2013, Numar persoane, 533954
Total, Total, Total, Dambovita, Anul 2014, Numar persoane, 531715
Total, Total, Total, Dambovita, Anul 2016, Numar persoane, 527842
Total, Total, Total, Dambovita, Anul 2017, Numar persoane, 525048
Total, Total, Total, Giurgiu, Anul 1992, Numar persoane, 313240
Total, Total, Total, Giurgiu, Anul 1993, Numar persoane, 309958
Total, Total, Total, Giurgiu, Anul 1994, Numar persoane, 307411
Total, Total, Total, Giurgiu, Anul 1995, Numar persoane, 305124
Total, Total, Total, Giurgiu, Anul 1996, Numar persoane, 302519
Total, Total, Total, Giurgiu, Anul 1997, Numar persoane, 300665
Total, Total, Total, Giurgiu, Anul 1998, Numar persoane, 299209
Total, Total, Total, Giurgiu, Anul 1999, Numar persoane, 297451
Total, Total, Total, Giurgiu, Anul 2000, Numar persoane, 296431
Total, Total, Total, Giurgiu, Anul 2001, Numar persoane, 295690
Total, Total, Total, Giurgiu, Anul 2002, Numar persoane, 293955
Total, Total, Total, Giurgiu, Anul 2003, Numar persoane, 292147
Total, Total, Total, Giurgiu, Anul 2004, Numar persoane, 290562
Total, Total, Total, Giurgiu, Anul 2005, Numar persoane, 289163
Total, Total, Total, Giurgiu, Anul 2006, Numar persoane, 287769
Total, Total, Total, Giurgiu, Anul 2007, Numar persoane, 286663
Total, Total, Total, Giurgiu, Anul 2008, Numar persoane, 285730
Total, Total, Total, Giurgiu, Anul 2009, Numar persoane, 284567
Total, Total, Total, Giurgiu, Anul 2010, Numar persoane, 283502
Total, Total, Total, Giurgiu, Anul 2011, Numar persoane, 282525
Total, Total, Total, Giurgiu, Anul 2012, Numar persoane, 281869
Total, Total, Total, Giurgiu, Anul 2013, Numar persoane, 280114
Total, Total, Total, Giurgiu, Anul 2014, Numar persoane, 278630
Total, Total, Total, Giurgiu, Anul 2016, Numar persoane, 276413
Total, Total, Total, Giurgiu, Anul 2017, Numar persoane, 274848
Total, Total, Total, Ialomita, Anul 1992, Numar persoane, 311248
Total, Total, Total, Ialomita, Anul 1993, Numar persoane, 310410
Total, Total, Total, Ialomita, Anul 1994, Numar persoane, 310611
Total, Total, Total, Ialomita, Anul 1995, Numar persoane, 310242
Total, Total, Total, Ialomita, Anul 1996, Numar persoane, 310121
Total, Total, Total, Ialomita, Anul 1997, Numar persoane, 309598
Total, Total, Total, Ialomita, Anul 1998, Numar persoane, 309750
Total, Total, Total, Ialomita, Anul 1999, Numar persoane, 309838
Total, Total, Total, Ialomita, Anul 2000, Numar persoane, 309991
Total, Total, Total, Ialomita, Anul 2001, Numar persoane, 309683
Total, Total, Total, Ialomita, Anul 2002, Numar persoane, 308973
Total, Total, Total, Ialomita, Anul 2003, Numar persoane, 308576
Total, Total, Total, Ialomita, Anul 2004, Numar persoane, 307615
Total, Total, Total, Ialomita, Anul 2005, Numar persoane, 307179
Total, Total, Total, Ialomita, Anul 2006, Numar persoane, 306316
Total, Total, Total, Ialomita, Anul 2007, Numar persoane, 305763
Total, Total, Total, Ialomita, Anul 2008, Numar persoane, 304680
Total, Total, Total, Ialomita, Anul 2009, Numar persoane, 303822
Total, Total, Total, Ialomita, Anul 2010, Numar persoane, 302845
Total, Total, Total, Ialomita, Anul 2011, Numar persoane, 301342
Total, Total, Total, Ialomita, Anul 2012, Numar persoane, 299880
Total, Total, Total, Ialomita, Anul 2013, Numar persoane, 298203
Total, Total, Total, Ialomita, Anul 2014, Numar persoane, 296162
Total, Total, Total, Ialomita, Anul 2016, Numar persoane, 292965
Total, Total, Total, Ialomita, Anul 2017, Numar persoane, 290698
Total, Total, Total, Prahova, Anul 1992, Numar persoane, 872905
Total, Total, Total, Prahova, Anul 1993, Numar persoane, 871841
Total, Total, Total, Prahova, Anul 1994, Numar persoane, 870712
Total, Total, Total, Prahova, Anul 1995, Numar persoane, 868716
Total, Total, Total, Prahova, Anul 1996, Numar persoane, 865156
Total, Total, Total, Prahova, Anul 1997, Numar persoane, 862159
Total, Total, Total, Prahova, Anul 1998, Numar persoane, 859328
Total, Total, Total, Prahova, Anul 1999, Numar persoane, 856648
Total, Total, Total, Prahova, Anul 2000, Numar persoane, 854774
Total, Total, Total, Prahova, Anul 2001, Numar persoane, 853318
Total, Total, Total, Prahova, Anul 2002, Numar persoane, 850128
Total, Total, Total, Prahova, Anul 2003, Numar persoane, 847342
Total, Total, Total, Prahova, Anul 2004, Numar persoane, 844520
Total, Total, Total, Prahova, Anul 2005, Numar persoane, 842646
Total, Total, Total, Prahova, Anul 2006, Numar persoane, 840803
Total, Total, Total, Prahova, Anul 2007, Numar persoane, 838963
Total, Total, Total, Prahova, Anul 2008, Numar persoane, 836893
Total, Total, Total, Prahova, Anul 2009, Numar persoane, 834600
Total, Total, Total, Prahova, Anul 2010, Numar persoane, 831992
Total, Total, Total, Prahova, Anul 2011, Numar persoane, 827940
Total, Total, Total, Prahova, Anul 2012, Numar persoane, 823687
Total, Total, Total, Prahova, Anul 2013, Numar persoane, 819498
Total, Total, Total, Prahova, Anul 2014, Numar persoane, 815741
Total, Total, Total, Prahova, Anul 2016, Numar persoane, 806504
Total, Total, Total, Prahova, Anul 2017, Numar persoane, 801372
Total, Total, Total, Teleorman, Anul 1992, Numar persoane, 491222
Total, Total, Total, Teleorman, Anul 1993, Numar persoane, 487330
Total, Total, Total, Teleorman, Anul 1994, Numar persoane, 483985
Total, Total, Total, Teleorman, Anul 1995, Numar persoane, 479907
Total, Total, Total, Teleorman, Anul 1996, Numar persoane, 476128
Total, Total, Total, Teleorman, Anul 1997, Numar persoane, 471761
Total, Total, Total, Teleorman, Anul 1998, Numar persoane, 468389
Total, Total, Total, Teleorman, Anul 1999, Numar persoane, 464516
Total, Total, Total, Teleorman, Anul 2000, Numar persoane, 461903
Total, Total, Total, Teleorman, Anul 2001, Numar persoane, 458171
Total, Total, Total, Teleorman, Anul 2002, Numar persoane, 453340
Total, Total, Total, Teleorman, Anul 2003, Numar persoane, 448358
Total, Total, Total, Teleorman, Anul 2004, Numar persoane, 443420
Total, Total, Total, Teleorman, Anul 2005, Numar persoane, 438675
Total, Total, Total, Teleorman, Anul 2006, Numar persoane, 433915
Total, Total, Total, Teleorman, Anul 2007, Numar persoane, 429743
Total, Total, Total, Teleorman, Anul 2008, Numar persoane, 425102
Total, Total, Total, Teleorman, Anul 2009, Numar persoane, 420932
Total, Total, Total, Teleorman, Anul 2010, Numar persoane, 416479
Total, Total, Total, Teleorman, Anul 2011, Numar persoane, 411566
Total, Total, Total, Teleorman, Anul 2012, Numar persoane, 406713
Total, Total, Total, Teleorman, Anul 2013, Numar persoane, 401807
Total, Total, Total, Teleorman, Anul 2014, Numar persoane, 396522
Total, Total, Total, Teleorman, Anul 2016, Numar persoane, 387028
Total, Total, Total, Teleorman, Anul 2017, Numar persoane, 381051
Total, Total, Total, Regiunea BUCURESTI - ILFOV, Anul 1992, Numar persoane, 2468588
Total, Total, Total, Regiunea BUCURESTI - ILFOV, Anul 1993, Numar persoane, 2473383
Total, Total, Total, Regiunea BUCURESTI - ILFOV, Anul 1994, Numar persoane, 2472167
Total, Total, Total, Regiunea BUCURESTI - ILFOV, Anul 1995, Numar persoane, 2467141
Total, Total, Total, Regiunea BUCURESTI - ILFOV, Anul 1996, Numar persoane, 2454861
Total, Total, Total, Regiunea BUCURESTI - ILFOV, Anul 1997, Numar persoane, 2445738
Total, Total, Total, Regiunea BUCURESTI - ILFOV, Anul 1998, Numar persoane, 2438751
Total, Total, Total, Regiunea BUCURESTI - ILFOV, Anul 1999, Numar persoane, 2431856
Total, Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2000, Numar persoane, 2430203
Total, Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2001, Numar persoane, 2428741
Total, Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2002, Numar persoane, 2428800
Total, Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2003, Numar persoane, 2429532
Total, Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2004, Numar persoane, 2432749
Total, Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2005, Numar persoane, 2436425
Total, Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2006, Numar persoane, 2443655
Total, Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2007, Numar persoane, 2451211
Total, Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2008, Numar persoane, 2462390
Total, Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2009, Numar persoane, 2472716
Total, Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2010, Numar persoane, 2482926
Total, Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2011, Numar persoane, 2491694
Total, Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2012, Numar persoane, 2498306
Total, Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2013, Numar persoane, 2498967
Total, Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2014, Numar persoane, 2481789
Total, Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2016, Numar persoane, 2502200
Total, Total, Total, Regiunea BUCURESTI - ILFOV, Anul 2017, Numar persoane, 2520561
Total, Total, Total, Ilfov, Anul 1992, Numar persoane, 277412
Total, Total, Total, Ilfov, Anul 1993, Numar persoane, 277893
Total, Total, Total, Ilfov, Anul 1994, Numar persoane, 279009
Total, Total, Total, Ilfov, Anul 1995, Numar persoane, 278679
Total, Total, Total, Ilfov, Anul 1996, Numar persoane, 277776
Total, Total, Total, Ilfov, Anul 1997, Numar persoane, 277589
Total, Total, Total, Ilfov, Anul 1998, Numar persoane, 277804
Total, Total, Total, Ilfov, Anul 1999, Numar persoane, 277663
Total, Total, Total, Ilfov, Anul 2000, Numar persoane, 278025
Total, Total, Total, Ilfov, Anul 2001, Numar persoane, 278978
Total, Total, Total, Ilfov, Anul 2002, Numar persoane, 277392
Total, Total, Total, Ilfov, Anul 2003, Numar persoane, 278005
Total, Total, Total, Ilfov, Anul 2004, Numar persoane, 281197
Total, Total, Total, Ilfov, Anul 2005, Numar persoane, 284824
Total, Total, Total, Ilfov, Anul 2006, Numar persoane, 289168
Total, Total, Total, Ilfov, Anul 2007, Numar persoane, 294233
Total, Total, Total, Ilfov, Anul 2008, Numar persoane, 303574
Total, Total, Total, Ilfov, Anul 2009, Numar persoane, 312089
Total, Total, Total, Ilfov, Anul 2010, Numar persoane, 320889
Total, Total, Total, Ilfov, Anul 2011, Numar persoane, 334412
Total, Total, Total, Ilfov, Anul 2012, Numar persoane, 346548
Total, Total, Total, Ilfov, Anul 2013, Numar persoane, 358151
Total, Total, Total, Ilfov, Anul 2014, Numar persoane, 371037
Total, Total, Total, Ilfov, Anul 2016, Numar persoane, 399525
Total, Total, Total, Ilfov, Anul 2017, Numar persoane, 415594
Total, Total, Total, Municipiul Bucuresti, Anul 1992, Numar persoane, 2191176
Total, Total, Total, Municipiul Bucuresti, Anul 1993, Numar persoane, 2195490
Total, Total, Total, Municipiul Bucuresti, Anul 1994, Numar persoane, 2193158
Total, Total, Total, Municipiul Bucuresti, Anul 1995, Numar persoane, 2188462
Total, Total, Total, Municipiul Bucuresti, Anul 1996, Numar persoane, 2177085
Total, Total, Total, Municipiul Bucuresti, Anul 1997, Numar persoane, 2168149
Total, Total, Total, Municipiul Bucuresti, Anul 1998, Numar persoane, 2160947
Total, Total, Total, Municipiul Bucuresti, Anul 1999, Numar persoane, 2154193
Total, Total, Total, Municipiul Bucuresti, Anul 2000, Numar persoane, 2152178
Total, Total, Total, Municipiul Bucuresti, Anul 2001, Numar persoane, 2149763
Total, Total, Total, Municipiul Bucuresti, Anul 2002, Numar persoane, 2151408
Total, Total, Total, Municipiul Bucuresti, Anul 2003, Numar persoane, 2151527
Total, Total, Total, Municipiul Bucuresti, Anul 2004, Numar persoane, 2151552
Total, Total, Total, Municipiul Bucuresti, Anul 2005, Numar persoane, 2151601
Total, Total, Total, Municipiul Bucuresti, Anul 2006, Numar persoane, 2154487
Total, Total, Total, Municipiul Bucuresti, Anul 2007, Numar persoane, 2156978
Total, Total, Total, Municipiul Bucuresti, Anul 2008, Numar persoane, 2158816
Total, Total, Total, Municipiul Bucuresti, Anul 2009, Numar persoane, 2160627
Total, Total, Total, Municipiul Bucuresti, Anul 2010, Numar persoane, 2162037
Total, Total, Total, Municipiul Bucuresti, Anul 2011, Numar persoane, 2157282
Total, Total, Total, Municipiul Bucuresti, Anul 2012, Numar persoane, 2151758
Total, Total, Total, Municipiul Bucuresti, Anul 2013, Numar persoane, 2140816
Total, Total, Total, Municipiul Bucuresti, Anul 2014, Numar persoane, 2110752
Total, Total, Total, Municipiul Bucuresti, Anul 2016, Numar persoane, 2102675
Total, Total, Total, Municipiul Bucuresti, Anul 2017, Numar persoane, 2104967
Total, Total, Total, MACROREGIUNEA PATRU, Anul 1992, Numar persoane, 4564307
Total, Total, Total, MACROREGIUNEA PATRU, Anul 1993, Numar persoane, 4557144
Total, Total, Total, MACROREGIUNEA PATRU, Anul 1994, Numar persoane, 4551385
Total, Total, Total, MACROREGIUNEA PATRU, Anul 1995, Numar persoane, 4539321
Total, Total, Total, MACROREGIUNEA PATRU, Anul 1996, Numar persoane, 4522005
Total, Total, Total, MACROREGIUNEA PATRU, Anul 1997, Numar persoane, 4508678
Total, Total, Total, MACROREGIUNEA PATRU, Anul 1998, Numar persoane, 4490912
Total, Total, Total, MACROREGIUNEA PATRU, Anul 1999, Numar persoane, 4476324
Total, Total, Total, MACROREGIUNEA PATRU, Anul 2000, Numar persoane, 4465750
Total, Total, Total, MACROREGIUNEA PATRU, Anul 2001, Numar persoane, 4456955
Total, Total, Total, MACROREGIUNEA PATRU, Anul 2002, Numar persoane, 4442569
Total, Total, Total, MACROREGIUNEA PATRU, Anul 2003, Numar persoane, 4427763
Total, Total, Total, MACROREGIUNEA PATRU, Anul 2004, Numar persoane, 4411888
Total, Total, Total, MACROREGIUNEA PATRU, Anul 2005, Numar persoane, 4397331
Total, Total, Total, MACROREGIUNEA PATRU, Anul 2006, Numar persoane, 4383746
Total, Total, Total, MACROREGIUNEA PATRU, Anul 2007, Numar persoane, 4370028
Total, Total, Total, MACROREGIUNEA PATRU, Anul 2008, Numar persoane, 4356547
Total, Total, Total, MACROREGIUNEA PATRU, Anul 2009, Numar persoane, 4343327
Total, Total, Total, MACROREGIUNEA PATRU, Anul 2010, Numar persoane, 4327981
Total, Total, Total, MACROREGIUNEA PATRU, Anul 2011, Numar persoane, 4309357
Total, Total, Total, MACROREGIUNEA PATRU, Anul 2012, Numar persoane, 4291187
Total, Total, Total, MACROREGIUNEA PATRU, Anul 2013, Numar persoane, 4272565
Total, Total, Total, MACROREGIUNEA PATRU, Anul 2014, Numar persoane, 4251605
Total, Total, Total, MACROREGIUNEA PATRU, Anul 2016, Numar persoane, 4213959
Total, Total, Total, MACROREGIUNEA PATRU, Anul 2017, Numar persoane, 4193112
Total, Total, Total, Regiunea SUD-VEST OLTENIA, Anul 1992, Numar persoane, 2444443
Total, Total, Total, Regiunea SUD-VEST OLTENIA, Anul 1993, Numar persoane, 2438960
Total, Total, Total, Regiunea SUD-VEST OLTENIA, Anul 1994, Numar persoane, 2435665
Total, Total, Total, Regiunea SUD-VEST OLTENIA, Anul 1995, Numar persoane, 2429172
Total, Total, Total, Regiunea SUD-VEST OLTENIA, Anul 1996, Numar persoane, 2420469
Total, Total, Total, Regiunea SUD-VEST OLTENIA, Anul 1997, Numar persoane, 2411722
Total, Total, Total, Regiunea SUD-VEST OLTENIA, Anul 1998, Numar persoane, 2403987
Total, Total, Total, Regiunea SUD-VEST OLTENIA, Anul 1999, Numar persoane, 2396105
Total, Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2000, Numar persoane, 2391625
Total, Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2001, Numar persoane, 2384974
Total, Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2002, Numar persoane, 2375007
Total, Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2003, Numar persoane, 2364399
Total, Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2004, Numar persoane, 2353313
Total, Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2005, Numar persoane, 2343431
Total, Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2006, Numar persoane, 2332648
Total, Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2007, Numar persoane, 2321131
Total, Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2008, Numar persoane, 2308217
Total, Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2009, Numar persoane, 2296849
Total, Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2010, Numar persoane, 2284499
Total, Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2011, Numar persoane, 2270181
Total, Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2012, Numar persoane, 2257275
Total, Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2013, Numar persoane, 2244111
Total, Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2014, Numar persoane, 2228738
Total, Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2016, Numar persoane, 2200411
Total, Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2017, Numar persoane, 2184573
Total, Total, Total, Dolj, Anul 1992, Numar persoane, 771607
Total, Total, Total, Dolj, Anul 1993, Numar persoane, 769506
Total, Total, Total, Dolj, Anul 1994, Numar persoane, 767791
Total, Total, Total, Dolj, Anul 1995, Numar persoane, 764828
Total, Total, Total, Dolj, Anul 1996, Numar persoane, 760989
Total, Total, Total, Dolj, Anul 1997, Numar persoane, 757365
Total, Total, Total, Dolj, Anul 1998, Numar persoane, 754938
Total, Total, Total, Dolj, Anul 1999, Numar persoane, 752275
Total, Total, Total, Dolj, Anul 2000, Numar persoane, 751338
Total, Total, Total, Dolj, Anul 2001, Numar persoane, 749445
Total, Total, Total, Dolj, Anul 2002, Numar persoane, 746817
Total, Total, Total, Dolj, Anul 2003, Numar persoane, 742976
Total, Total, Total, Dolj, Anul 2004, Numar persoane, 739243
Total, Total, Total, Dolj, Anul 2005, Numar persoane, 735635
Total, Total, Total, Dolj, Anul 2006, Numar persoane, 732744
Total, Total, Total, Dolj, Anul 2007, Numar persoane, 729383
Total, Total, Total, Dolj, Anul 2008, Numar persoane, 726474
Total, Total, Total, Dolj, Anul 2009, Numar persoane, 723514
Total, Total, Total, Dolj, Anul 2010, Numar persoane, 720073
Total, Total, Total, Dolj, Anul 2011, Numar persoane, 716398
Total, Total, Total, Dolj, Anul 2012, Numar persoane, 713129
Total, Total, Total, Dolj, Anul 2013, Numar persoane, 709727
Total, Total, Total, Dolj, Anul 2014, Numar persoane, 705760
Total, Total, Total, Dolj, Anul 2016, Numar persoane, 698933
Total, Total, Total, Dolj, Anul 2017, Numar persoane, 695104
Total, Total, Total, Gorj, Anul 1992, Numar persoane, 384550
Total, Total, Total, Gorj, Anul 1993, Numar persoane, 385023
Total, Total, Total, Gorj, Anul 1994, Numar persoane, 386349
Total, Total, Total, Gorj, Anul 1995, Numar persoane, 387010
Total, Total, Total, Gorj, Anul 1996, Numar persoane, 387133
Total, Total, Total, Gorj, Anul 1997, Numar persoane, 387499
Total, Total, Total, Gorj, Anul 1998, Numar persoane, 386856
Total, Total, Total, Gorj, Anul 1999, Numar persoane, 386681
Total, Total, Total, Gorj, Anul 2000, Numar persoane, 386646
Total, Total, Total, Gorj, Anul 2001, Numar persoane, 386426
Total, Total, Total, Gorj, Anul 2002, Numar persoane, 385583
Total, Total, Total, Gorj, Anul 2003, Numar persoane, 385159
Total, Total, Total, Gorj, Anul 2004, Numar persoane, 384471
Total, Total, Total, Gorj, Anul 2005, Numar persoane, 383831
Total, Total, Total, Gorj, Anul 2006, Numar persoane, 382928
Total, Total, Total, Gorj, Anul 2007, Numar persoane, 381911
Total, Total, Total, Gorj, Anul 2008, Numar persoane, 380476
Total, Total, Total, Gorj, Anul 2009, Numar persoane, 379358
Total, Total, Total, Gorj, Anul 2010, Numar persoane, 377938
Total, Total, Total, Gorj, Anul 2011, Numar persoane, 376293
Total, Total, Total, Gorj, Anul 2012, Numar persoane, 374271
Total, Total, Total, Gorj, Anul 2013, Numar persoane, 372383
Total, Total, Total, Gorj, Anul 2014, Numar persoane, 369857
Total, Total, Total, Gorj, Anul 2016, Numar persoane, 365110
Total, Total, Total, Gorj, Anul 2017, Numar persoane, 362610
Total, Total, Total, Mehedinti, Anul 1992, Numar persoane, 327008
Total, Total, Total, Mehedinti, Anul 1993, Numar persoane, 326207
Total, Total, Total, Mehedinti, Anul 1994, Numar persoane, 325269
Total, Total, Total, Mehedinti, Anul 1995, Numar persoane, 323773
Total, Total, Total, Mehedinti, Anul 1996, Numar persoane, 322901
Total, Total, Total, Mehedinti, Anul 1997, Numar persoane, 321288
Total, Total, Total, Mehedinti, Anul 1998, Numar persoane, 320190
Total, Total, Total, Mehedinti, Anul 1999, Numar persoane, 318922
Total, Total, Total, Mehedinti, Anul 2000, Numar persoane, 317900
Total, Total, Total, Mehedinti, Anul 2001, Numar persoane, 316560
Total, Total, Total, Mehedinti, Anul 2002, Numar persoane, 315214
Total, Total, Total, Mehedinti, Anul 2003, Numar persoane, 313668
