Varste si grupe de varsta, Sexe, Medii de rezidenta, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Total, Total, Total, Cluj, Anul 2007, Numar persoane, 706749
Total, Total, Total, Cluj, Anul 2008, Numar persoane, 707931
Total, Total, Total, Cluj, Anul 2009, Numar persoane, 709780
Total, Total, Total, Cluj, Anul 2010, Numar persoane, 711825
Total, Total, Total, Cluj, Anul 2011, Numar persoane, 714520
Total, Total, Total, Cluj, Anul 2012, Numar persoane, 715827
Total, Total, Total, Cluj, Anul 2013, Numar persoane, 717182
Total, Total, Total, Cluj, Anul 2014, Numar persoane, 718633
Total, Total, Total, Cluj, Anul 2016, Numar persoane, 723538
Total, Total, Total, Cluj, Anul 2017, Numar persoane, 726881
Total, Total, Total, Maramures, Anul 1992, Numar persoane, 553900
Total, Total, Total, Maramures, Anul 1993, Numar persoane, 552996
Total, Total, Total, Maramures, Anul 1994, Numar persoane, 551894
Total, Total, Total, Maramures, Anul 1995, Numar persoane, 550649
Total, Total, Total, Maramures, Anul 1996, Numar persoane, 548324
Total, Total, Total, Maramures, Anul 1997, Numar persoane, 547033
Total, Total, Total, Maramures, Anul 1998, Numar persoane, 545835
Total, Total, Total, Maramures, Anul 1999, Numar persoane, 544293
Total, Total, Total, Maramures, Anul 2000, Numar persoane, 543371
Total, Total, Total, Maramures, Anul 2001, Numar persoane, 542623
Total, Total, Total, Maramures, Anul 2002, Numar persoane, 540817
Total, Total, Total, Maramures, Anul 2003, Numar persoane, 539513
Total, Total, Total, Maramures, Anul 2004, Numar persoane, 538555
Total, Total, Total, Maramures, Anul 2005, Numar persoane, 538037
Total, Total, Total, Maramures, Anul 2006, Numar persoane, 537503
Total, Total, Total, Maramures, Anul 2007, Numar persoane, 536067
Total, Total, Total, Maramures, Anul 2008, Numar persoane, 535150
Total, Total, Total, Maramures, Anul 2009, Numar persoane, 534571
Total, Total, Total, Maramures, Anul 2010, Numar persoane, 533699
Total, Total, Total, Maramures, Anul 2011, Numar persoane, 532132
Total, Total, Total, Maramures, Anul 2012, Numar persoane, 530852
Total, Total, Total, Maramures, Anul 2013, Numar persoane, 529404
Total, Total, Total, Maramures, Anul 2014, Numar persoane, 527663
Total, Total, Total, Maramures, Anul 2016, Numar persoane, 525342
Total, Total, Total, Maramures, Anul 2017, Numar persoane, 523858
Total, Total, Total, Satu Mare, Anul 1992, Numar persoane, 414109
Total, Total, Total, Satu Mare, Anul 1993, Numar persoane, 412904
Total, Total, Total, Satu Mare, Anul 1994, Numar persoane, 411260
Total, Total, Total, Satu Mare, Anul 1995, Numar persoane, 409008
Total, Total, Total, Satu Mare, Anul 1996, Numar persoane, 407117
Total, Total, Total, Satu Mare, Anul 1997, Numar persoane, 405477
Total, Total, Total, Satu Mare, Anul 1998, Numar persoane, 404708
Total, Total, Total, Satu Mare, Anul 1999, Numar persoane, 403787
Total, Total, Total, Satu Mare, Anul 2000, Numar persoane, 403071
Total, Total, Total, Satu Mare, Anul 2001, Numar persoane, 402221
Total, Total, Total, Satu Mare, Anul 2002, Numar persoane, 401582
Total, Total, Total, Satu Mare, Anul 2003, Numar persoane, 400737
Total, Total, Total, Satu Mare, Anul 2004, Numar persoane, 399288
Total, Total, Total, Satu Mare, Anul 2005, Numar persoane, 398304
Total, Total, Total, Satu Mare, Anul 2006, Numar persoane, 397273
Total, Total, Total, Satu Mare, Anul 2007, Numar persoane, 396426
Total, Total, Total, Satu Mare, Anul 2008, Numar persoane, 396135
Total, Total, Total, Satu Mare, Anul 2009, Numar persoane, 395966
Total, Total, Total, Satu Mare, Anul 2010, Numar persoane, 395542
Total, Total, Total, Satu Mare, Anul 2011, Numar persoane, 394600
Total, Total, Total, Satu Mare, Anul 2012, Numar persoane, 393811
Total, Total, Total, Satu Mare, Anul 2013, Numar persoane, 393097
Total, Total, Total, Satu Mare, Anul 2014, Numar persoane, 392129
Total, Total, Total, Satu Mare, Anul 2016, Numar persoane, 390398
Total, Total, Total, Satu Mare, Anul 2017, Numar persoane, 389146
Total, Total, Total, Salaj, Anul 1992, Numar persoane, 272842
Total, Total, Total, Salaj, Anul 1993, Numar persoane, 271228
Total, Total, Total, Salaj, Anul 1994, Numar persoane, 270072
Total, Total, Total, Salaj, Anul 1995, Numar persoane, 268818
Total, Total, Total, Salaj, Anul 1996, Numar persoane, 267242
Total, Total, Total, Salaj, Anul 1997, Numar persoane, 265489
Total, Total, Total, Salaj, Anul 1998, Numar persoane, 263820
Total, Total, Total, Salaj, Anul 1999, Numar persoane, 262499
Total, Total, Total, Salaj, Anul 2000, Numar persoane, 261825
Total, Total, Total, Salaj, Anul 2001, Numar persoane, 261126
Total, Total, Total, Salaj, Anul 2002, Numar persoane, 260246
Total, Total, Total, Salaj, Anul 2003, Numar persoane, 259258
Total, Total, Total, Salaj, Anul 2004, Numar persoane, 258115
Total, Total, Total, Salaj, Anul 2005, Numar persoane, 256937
Total, Total, Total, Salaj, Anul 2006, Numar persoane, 256293
Total, Total, Total, Salaj, Anul 2007, Numar persoane, 255203
Total, Total, Total, Salaj, Anul 2008, Numar persoane, 254547
Total, Total, Total, Salaj, Anul 2009, Numar persoane, 253616
Total, Total, Total, Salaj, Anul 2010, Numar persoane, 252707
Total, Total, Total, Salaj, Anul 2011, Numar persoane, 251594
Total, Total, Total, Salaj, Anul 2012, Numar persoane, 250735
Total, Total, Total, Salaj, Anul 2013, Numar persoane, 249774
Total, Total, Total, Salaj, Anul 2014, Numar persoane, 248794
Total, Total, Total, Salaj, Anul 2016, Numar persoane, 247317
Total, Total, Total, Salaj, Anul 2017, Numar persoane, 246164
Total, Total, Total, Regiunea CENTRU, Anul 1992, Numar persoane, 2707231
Total, Total, Total, Regiunea CENTRU, Anul 1993, Numar persoane, 2702562
Total, Total, Total, Regiunea CENTRU, Anul 1994, Numar persoane, 2698875
Total, Total, Total, Regiunea CENTRU, Anul 1995, Numar persoane, 2693102
Total, Total, Total, Regiunea CENTRU, Anul 1996, Numar persoane, 2684056
Total, Total, Total, Regiunea CENTRU, Anul 1997, Numar persoane, 2677964
Total, Total, Total, Regiunea CENTRU, Anul 1998, Numar persoane, 2673060
Total, Total, Total, Regiunea CENTRU, Anul 1999, Numar persoane, 2668085
Total, Total, Total, Regiunea CENTRU, Anul 2000, Numar persoane, 2665967
Total, Total, Total, Regiunea CENTRU, Anul 2001, Numar persoane, 2665955
Total, Total, Total, Regiunea CENTRU, Anul 2002, Numar persoane, 2662657
Total, Total, Total, Regiunea CENTRU, Anul 2003, Numar persoane, 2659642
Total, Total, Total, Regiunea CENTRU, Anul 2004, Numar persoane, 2656173
Total, Total, Total, Regiunea CENTRU, Anul 2005, Numar persoane, 2653805
Total, Total, Total, Regiunea CENTRU, Anul 2006, Numar persoane, 2653541
Total, Total, Total, Regiunea CENTRU, Anul 2007, Numar persoane, 2650250
Total, Total, Total, Regiunea CENTRU, Anul 2008, Numar persoane, 2650307
Total, Total, Total, Regiunea CENTRU, Anul 2009, Numar persoane, 2649894
Total, Total, Total, Regiunea CENTRU, Anul 2010, Numar persoane, 2649403
Total, Total, Total, Regiunea CENTRU, Anul 2011, Numar persoane, 2646560
Total, Total, Total, Regiunea CENTRU, Anul 2012, Numar persoane, 2643699
Total, Total, Total, Regiunea CENTRU, Anul 2013, Numar persoane, 2641463
Total, Total, Total, Regiunea CENTRU, Anul 2014, Numar persoane, 2638500
Total, Total, Total, Regiunea CENTRU, Anul 2016, Numar persoane, 2634337
Total, Total, Total, Regiunea CENTRU, Anul 2017, Numar persoane, 2632212
Total, Total, Total, Alba, Anul 1992, Numar persoane, 418600
Total, Total, Total, Alba, Anul 1993, Numar persoane, 416270
Total, Total, Total, Alba, Anul 1994, Numar persoane, 414916
Total, Total, Total, Alba, Anul 1995, Numar persoane, 412923
Total, Total, Total, Alba, Anul 1996, Numar persoane, 410907
Total, Total, Total, Alba, Anul 1997, Numar persoane, 409016
Total, Total, Total, Alba, Anul 1998, Numar persoane, 407435
Total, Total, Total, Alba, Anul 1999, Numar persoane, 405386
Total, Total, Total, Alba, Anul 2000, Numar persoane, 404004
Total, Total, Total, Alba, Anul 2001, Numar persoane, 402796
Total, Total, Total, Alba, Anul 2002, Numar persoane, 401298
Total, Total, Total, Alba, Anul 2003, Numar persoane, 400092
Total, Total, Total, Alba, Anul 2004, Numar persoane, 398316
Total, Total, Total, Alba, Anul 2005, Numar persoane, 396777
Total, Total, Total, Alba, Anul 2006, Numar persoane, 395702
Total, Total, Total, Alba, Anul 2007, Numar persoane, 393965
Total, Total, Total, Alba, Anul 2008, Numar persoane, 392640
Total, Total, Total, Alba, Anul 2009, Numar persoane, 391225
Total, Total, Total, Alba, Anul 2010, Numar persoane, 389767
Total, Total, Total, Alba, Anul 2011, Numar persoane, 387895
Total, Total, Total, Alba, Anul 2012, Numar persoane, 386319
Total, Total, Total, Alba, Anul 2013, Numar persoane, 384712
Total, Total, Total, Alba, Anul 2014, Numar persoane, 383252
Total, Total, Total, Alba, Anul 2016, Numar persoane, 380295
Total, Total, Total, Alba, Anul 2017, Numar persoane, 378502
Total, Total, Total, Brasov, Anul 1992, Numar persoane, 629172
Total, Total, Total, Brasov, Anul 1993, Numar persoane, 629861
Total, Total, Total, Brasov, Anul 1994, Numar persoane, 630930
Total, Total, Total, Brasov, Anul 1995, Numar persoane, 630546
Total, Total, Total, Brasov, Anul 1996, Numar persoane, 628476
Total, Total, Total, Brasov, Anul 1997, Numar persoane, 627021
Total, Total, Total, Brasov, Anul 1998, Numar persoane, 625625
Total, Total, Total, Brasov, Anul 1999, Numar persoane, 624365
Total, Total, Total, Brasov, Anul 2000, Numar persoane, 623397
Total, Total, Total, Brasov, Anul 2001, Numar persoane, 623269
Total, Total, Total, Brasov, Anul 2002, Numar persoane, 622817
Total, Total, Total, Brasov, Anul 2003, Numar persoane, 622810
Total, Total, Total, Brasov, Anul 2004, Numar persoane, 622841
Total, Total, Total, Brasov, Anul 2005, Numar persoane, 623092
Total, Total, Total, Brasov, Anul 2006, Numar persoane, 623691
Total, Total, Total, Brasov, Anul 2007, Numar persoane, 623957
Total, Total, Total, Brasov, Anul 2008, Numar persoane, 624996
Total, Total, Total, Brasov, Anul 2009, Numar persoane, 625988
Total, Total, Total, Brasov, Anul 2010, Numar persoane, 627049
Total, Total, Total, Brasov, Anul 2011, Numar persoane, 627957
Total, Total, Total, Brasov, Anul 2012, Numar persoane, 628598
Total, Total, Total, Brasov, Anul 2013, Numar persoane, 629159
Total, Total, Total, Brasov, Anul 2014, Numar persoane, 629814
Total, Total, Total, Brasov, Anul 2016, Numar persoane, 631796
Total, Total, Total, Brasov, Anul 2017, Numar persoane, 632941
Total, Total, Total, Covasna, Anul 1992, Numar persoane, 235196
Total, Total, Total, Covasna, Anul 1993, Numar persoane, 234717
Total, Total, Total, Covasna, Anul 1994, Numar persoane, 234230
Total, Total, Total, Covasna, Anul 1995, Numar persoane, 233643
Total, Total, Total, Covasna, Anul 1996, Numar persoane, 233034
Total, Total, Total, Covasna, Anul 1997, Numar persoane, 232939
Total, Total, Total, Covasna, Anul 1998, Numar persoane, 232714
Total, Total, Total, Covasna, Anul 1999, Numar persoane, 232669
Total, Total, Total, Covasna, Anul 2000, Numar persoane, 232794
Total, Total, Total, Covasna, Anul 2001, Numar persoane, 233259
Total, Total, Total, Covasna, Anul 2002, Numar persoane, 233148
Total, Total, Total, Covasna, Anul 2003, Numar persoane, 232851
Total, Total, Total, Covasna, Anul 2004, Numar persoane, 232554
Total, Total, Total, Covasna, Anul 2005, Numar persoane, 232494
Total, Total, Total, Covasna, Anul 2006, Numar persoane, 232602
Total, Total, Total, Covasna, Anul 2007, Numar persoane, 232418
Total, Total, Total, Covasna, Anul 2008, Numar persoane, 232279
Total, Total, Total, Covasna, Anul 2009, Numar persoane, 232210
Total, Total, Total, Covasna, Anul 2010, Numar persoane, 231887
Total, Total, Total, Covasna, Anul 2011, Numar persoane, 231186
Total, Total, Total, Covasna, Anul 2012, Numar persoane, 230600
Total, Total, Total, Covasna, Anul 2013, Numar persoane, 230226
Total, Total, Total, Covasna, Anul 2014, Numar persoane, 229563
Total, Total, Total, Covasna, Anul 2016, Numar persoane, 228492
Total, Total, Total, Covasna, Anul 2017, Numar persoane, 227756
Total, Total, Total, Harghita, Anul 1992, Numar persoane, 349067
Total, Total, Total, Harghita, Anul 1993, Numar persoane, 347682
Total, Total, Total, Harghita, Anul 1994, Numar persoane, 346866
Total, Total, Total, Harghita, Anul 1995, Numar persoane, 345864
Total, Total, Total, Harghita, Anul 1996, Numar persoane, 344433
Total, Total, Total, Harghita, Anul 1997, Numar persoane, 343572
Total, Total, Total, Harghita, Anul 1998, Numar persoane, 343165
Total, Total, Total, Harghita, Anul 1999, Numar persoane, 342678
Total, Total, Total, Harghita, Anul 2000, Numar persoane, 342496
Total, Total, Total, Harghita, Anul 2001, Numar persoane, 342373
Total, Total, Total, Harghita, Anul 2002, Numar persoane, 341604
Total, Total, Total, Harghita, Anul 2003, Numar persoane, 340801
Total, Total, Total, Harghita, Anul 2004, Numar persoane, 339947
Total, Total, Total, Harghita, Anul 2005, Numar persoane, 339320
Total, Total, Total, Harghita, Anul 2006, Numar persoane, 338834
Total, Total, Total, Harghita, Anul 2007, Numar persoane, 338084
Total, Total, Total, Harghita, Anul 2008, Numar persoane, 337737
Total, Total, Total, Harghita, Anul 2009, Numar persoane, 337259
Total, Total, Total, Harghita, Anul 2010, Numar persoane, 337005
Total, Total, Total, Harghita, Anul 2011, Numar persoane, 336230
Total, Total, Total, Harghita, Anul 2012, Numar persoane, 335624
Total, Total, Total, Harghita, Anul 2013, Numar persoane, 335192
Total, Total, Total, Harghita, Anul 2014, Numar persoane, 334586
Total, Total, Total, Harghita, Anul 2016, Numar persoane, 333441
Total, Total, Total, Harghita, Anul 2017, Numar persoane, 332695
Total, Total, Total, Mures, Anul 1992, Numar persoane, 617350
Total, Total, Total, Mures, Anul 1993, Numar persoane, 615958
Total, Total, Total, Mures, Anul 1994, Numar persoane, 614412
Total, Total, Total, Mures, Anul 1995, Numar persoane, 612965
Total, Total, Total, Mures, Anul 1996, Numar persoane, 611485
Total, Total, Total, Mures, Anul 1997, Numar persoane, 610235
Total, Total, Total, Mures, Anul 1998, Numar persoane, 609585
Total, Total, Total, Mures, Anul 1999, Numar persoane, 608694
Total, Total, Total, Mures, Anul 2000, Numar persoane, 608384
Total, Total, Total, Mures, Anul 2001, Numar persoane, 609114
Total, Total, Total, Mures, Anul 2002, Numar persoane, 608776
Total, Total, Total, Mures, Anul 2003, Numar persoane, 608252
Total, Total, Total, Mures, Anul 2004, Numar persoane, 607551
Total, Total, Total, Mures, Anul 2005, Numar persoane, 606930
Total, Total, Total, Mures, Anul 2006, Numar persoane, 606532
Total, Total, Total, Mures, Anul 2007, Numar persoane, 605303
Total, Total, Total, Mures, Anul 2008, Numar persoane, 604673
Total, Total, Total, Mures, Anul 2009, Numar persoane, 603926
Total, Total, Total, Mures, Anul 2010, Numar persoane, 603085
Total, Total, Total, Mures, Anul 2011, Numar persoane, 601572
Total, Total, Total, Mures, Anul 2012, Numar persoane, 600260
Total, Total, Total, Mures, Anul 2013, Numar persoane, 599368
Total, Total, Total, Mures, Anul 2014, Numar persoane, 597849
Total, Total, Total, Mures, Anul 2016, Numar persoane, 595627
Total, Total, Total, Mures, Anul 2017, Numar persoane, 594448
Total, Total, Total, Sibiu, Anul 1992, Numar persoane, 457846
