CAEN Rev.2  (activitati ale economiei nationale), Sexe, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Lei  lei RON (incepand cu 2005), Valoare
TOTAL, Total, Suceava, Anul 2011, Lei, 1136
TOTAL, Total, Suceava, Anul 2012, Lei, 1148
TOTAL, Total, Suceava, Anul 2013, Lei, 1256
TOTAL, Total, Suceava, Anul 2014, Lei, 1352
TOTAL, Total, Suceava, Anul 2015, Lei, 1489
TOTAL, Total, Suceava, Anul 2016, Lei, 1593
TOTAL, Total, Suceava, Anul 2017, Lei, 1876
TOTAL, Total, Vaslui, Anul 2008, Lei, 1060
TOTAL, Total, Vaslui, Anul 2009, Lei, 1126
TOTAL, Total, Vaslui, Anul 2010, Lei, 1071
TOTAL, Total, Vaslui, Anul 2011, Lei, 1046
TOTAL, Total, Vaslui, Anul 2012, Lei, 1125
TOTAL, Total, Vaslui, Anul 2013, Lei, 1172
TOTAL, Total, Vaslui, Anul 2014, Lei, 1304
TOTAL, Total, Vaslui, Anul 2015, Lei, 1387
TOTAL, Total, Vaslui, Anul 2016, Lei, 1627
TOTAL, Total, Vaslui, Anul 2017, Lei, 1877
TOTAL, Total, Regiunea SUD-EST, Anul 2008, Lei, 1190
TOTAL, Total, Regiunea SUD-EST, Anul 2009, Lei, 1255
TOTAL, Total, Regiunea SUD-EST, Anul 2010, Lei, 1234
TOTAL, Total, Regiunea SUD-EST, Anul 2011, Lei, 1276
TOTAL, Total, Regiunea SUD-EST, Anul 2012, Lei, 1307
TOTAL, Total, Regiunea SUD-EST, Anul 2013, Lei, 1381
TOTAL, Total, Regiunea SUD-EST, Anul 2014, Lei, 1473
TOTAL, Total, Regiunea SUD-EST, Anul 2015, Lei, 1600
TOTAL, Total, Regiunea SUD-EST, Anul 2016, Lei, 1727
TOTAL, Total, Regiunea SUD-EST, Anul 2017, Lei, 1987
TOTAL, Total, Braila, Anul 2008, Lei, 1125
TOTAL, Total, Braila, Anul 2009, Lei, 1180
TOTAL, Total, Braila, Anul 2010, Lei, 1131
TOTAL, Total, Braila, Anul 2011, Lei, 1160
TOTAL, Total, Braila, Anul 2012, Lei, 1178
TOTAL, Total, Braila, Anul 2013, Lei, 1263
TOTAL, Total, Braila, Anul 2014, Lei, 1348
TOTAL, Total, Braila, Anul 2015, Lei, 1462
TOTAL, Total, Braila, Anul 2016, Lei, 1587
TOTAL, Total, Braila, Anul 2017, Lei, 1859
TOTAL, Total, Buzau, Anul 2008, Lei, 1106
TOTAL, Total, Buzau, Anul 2009, Lei, 1166
TOTAL, Total, Buzau, Anul 2010, Lei, 1148
TOTAL, Total, Buzau, Anul 2011, Lei, 1177
TOTAL, Total, Buzau, Anul 2012, Lei, 1231
TOTAL, Total, Buzau, Anul 2013, Lei, 1294
TOTAL, Total, Buzau, Anul 2014, Lei, 1326
TOTAL, Total, Buzau, Anul 2015, Lei, 1484
