Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar, Valoare
Salaj, Anul 1992, Numar, 301
Salaj, Anul 1993, Numar, 110
Salaj, Anul 1994, Numar, 144
Salaj, Anul 1995, Numar, 132
Salaj, Anul 1996, Numar, 86
Salaj, Anul 1997, Numar, 86
Salaj, Anul 1998, Numar, 68
Salaj, Anul 1999, Numar, 64
Salaj, Anul 2000, Numar, 112
Salaj, Anul 2001, Numar, 57
Salaj, Anul 2002, Numar, 53
Salaj, Anul 2003, Numar, 54
Salaj, Anul 2004, Numar, 76
Salaj, Anul 2005, Numar, 38
Salaj, Anul 2006, Numar, 40
Salaj, Anul 2007, Numar, 40
Salaj, Anul 2008, Numar, 85
Salaj, Anul 2009, Numar, 92
Salaj, Anul 2010, Numar, 85
Salaj, Anul 2011, Numar, 81
Salaj, Anul 2012, Numar, 78
Salaj, Anul 2013, Numar, 74
Salaj, Anul 2014, Numar, 84
Salaj, Anul 2015, Numar, 94
Salaj, Anul 2016, Numar, 93
Salaj, Anul 2017, Numar, 83
Regiunea CENTRU, Anul 1992, Numar, 1363
Regiunea CENTRU, Anul 1993, Numar, 1493
Regiunea CENTRU, Anul 1994, Numar, 1472
Regiunea CENTRU, Anul 1995, Numar, 1290
Regiunea CENTRU, Anul 1996, Numar, 1163
Regiunea CENTRU, Anul 1997, Numar, 1174
Regiunea CENTRU, Anul 1998, Numar, 1045
Regiunea CENTRU, Anul 1999, Numar, 1027
Regiunea CENTRU, Anul 2000, Numar, 1251
Regiunea CENTRU, Anul 2001, Numar, 917
Regiunea CENTRU, Anul 2002, Numar, 703
Regiunea CENTRU, Anul 2003, Numar, 724
Regiunea CENTRU, Anul 2004, Numar, 838
Regiunea CENTRU, Anul 2005, Numar, 469
Regiunea CENTRU, Anul 2006, Numar, 536
Regiunea CENTRU, Anul 2007, Numar, 571
Regiunea CENTRU, Anul 2008, Numar, 991
Regiunea CENTRU, Anul 2009, Numar, 1060
Regiunea CENTRU, Anul 2010, Numar, 1051
Regiunea CENTRU, Anul 2011, Numar, 1149
Regiunea CENTRU, Anul 2012, Numar, 1194
Regiunea CENTRU, Anul 2013, Numar, 1178
Regiunea CENTRU, Anul 2014, Numar, 1065
Regiunea CENTRU, Anul 2015, Numar, 1283
Regiunea CENTRU, Anul 2016, Numar, 1141
Regiunea CENTRU, Anul 2017, Numar, 1134
Alba, Anul 1992, Numar, 318
Alba, Anul 1993, Numar, 252
Alba, Anul 1994, Numar, 206
Alba, Anul 1995, Numar, 192
Alba, Anul 1996, Numar, 140
Alba, Anul 1997, Numar, 148
Alba, Anul 1998, Numar, 139
Alba, Anul 1999, Numar, 109
Alba, Anul 2000, Numar, 182
Alba, Anul 2001, Numar, 91
Alba, Anul 2002, Numar, 82
Alba, Anul 2003, Numar, 80
Alba, Anul 2004, Numar, 79
Alba, Anul 2005, Numar, 44
Alba, Anul 2006, Numar, 48
Alba, Anul 2007, Numar, 47
Alba, Anul 2008, Numar, 109
Alba, Anul 2009, Numar, 123
Alba, Anul 2010, Numar, 133
Alba, Anul 2011, Numar, 157
Alba, Anul 2012, Numar, 171
Alba, Anul 2013, Numar, 169
Alba, Anul 2014, Numar, 129
Alba, Anul 2015, Numar, 168
Alba, Anul 2016, Numar, 149
Alba, Anul 2017, Numar, 134
