Categorii de cinematografe, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar spectacole, Valoare
Cinematografe si instalatii cinematografice - total, Maramures, Anul 2017, Numar spectacole, 10343
Cinematografe si instalatii cinematografice - total, Satu Mare, Anul 1990, Numar spectacole, 21658
Cinematografe si instalatii cinematografice - total, Satu Mare, Anul 1991, Numar spectacole, 12332
Cinematografe si instalatii cinematografice - total, Satu Mare, Anul 1992, Numar spectacole, 6346
Cinematografe si instalatii cinematografice - total, Satu Mare, Anul 1993, Numar spectacole, 6040
Cinematografe si instalatii cinematografice - total, Satu Mare, Anul 1994, Numar spectacole, 4688
Cinematografe si instalatii cinematografice - total, Satu Mare, Anul 1995, Numar spectacole, 3436
Cinematografe si instalatii cinematografice - total, Satu Mare, Anul 1996, Numar spectacole, 3369
Cinematografe si instalatii cinematografice - total, Satu Mare, Anul 1997, Numar spectacole, 3008
Cinematografe si instalatii cinematografice - total, Satu Mare, Anul 2002, Numar spectacole, 1700
Cinematografe si instalatii cinematografice - total, Satu Mare, Anul 2003, Numar spectacole, 1094
Cinematografe si instalatii cinematografice - total, Satu Mare, Anul 2004, Numar spectacole, 453
Cinematografe si instalatii cinematografice - total, Satu Mare, Anul 2005, Numar spectacole, 452
Cinematografe si instalatii cinematografice - total, Satu Mare, Anul 2006, Numar spectacole, 337
Cinematografe si instalatii cinematografice - total, Satu Mare, Anul 2007, Numar spectacole, 63
Cinematografe si instalatii cinematografice - total, Satu Mare, Anul 2011, Numar spectacole, 1223
Cinematografe si instalatii cinematografice - total, Satu Mare, Anul 2012, Numar spectacole, 1967
Cinematografe si instalatii cinematografice - total, Satu Mare, Anul 2013, Numar spectacole, 1718
Cinematografe si instalatii cinematografice - total, Satu Mare, Anul 2014, Numar spectacole, 1673
Cinematografe si instalatii cinematografice - total, Satu Mare, Anul 2015, Numar spectacole, 1696
Cinematografe si instalatii cinematografice - total, Satu Mare, Anul 2016, Numar spectacole, 1727
Cinematografe si instalatii cinematografice - total, Satu Mare, Anul 2017, Numar spectacole, 1654
Cinematografe si instalatii cinematografice - total, Salaj, Anul 1990, Numar spectacole, 17014
Cinematografe si instalatii cinematografice - total, Salaj, Anul 1991, Numar spectacole, 11278
Cinematografe si instalatii cinematografice - total, Salaj, Anul 1992, Numar spectacole, 5832
Cinematografe si instalatii cinematografice - total, Salaj, Anul 1993, Numar spectacole, 5661
Cinematografe si instalatii cinematografice - total, Salaj, Anul 1994, Numar spectacole, 4758
Cinematografe si instalatii cinematografice - total, Salaj, Anul 1995, Numar spectacole, 3663
Cinematografe si instalatii cinematografice - total, Salaj, Anul 1996, Numar spectacole, 3696
Cinematografe si instalatii cinematografice - total, Salaj, Anul 1997, Numar spectacole, 3877
Cinematografe si instalatii cinematografice - total, Salaj, Anul 2002, Numar spectacole, 1454
Cinematografe si instalatii cinematografice - total, Salaj, Anul 2003, Numar spectacole, 1185
Cinematografe si instalatii cinematografice - total, Salaj, Anul 2004, Numar spectacole, 511
