Categorii de cinematografe, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar spectacole, Valoare
Cinematografe si instalatii cinematografice - total, Constanta, Anul 2010, Numar spectacole, 6534
Cinematografe si instalatii cinematografice - total, Constanta, Anul 2011, Numar spectacole, 6860
Cinematografe si instalatii cinematografice - total, Constanta, Anul 2012, Numar spectacole, 17125
Cinematografe si instalatii cinematografice - total, Constanta, Anul 2013, Numar spectacole, 20530
Cinematografe si instalatii cinematografice - total, Constanta, Anul 2014, Numar spectacole, 20470
Cinematografe si instalatii cinematografice - total, Constanta, Anul 2015, Numar spectacole, 27761
Cinematografe si instalatii cinematografice - total, Constanta, Anul 2016, Numar spectacole, 37409
Cinematografe si instalatii cinematografice - total, Constanta, Anul 2017, Numar spectacole, 36563
Cinematografe si instalatii cinematografice - total, Galati, Anul 1990, Numar spectacole, 40103
Cinematografe si instalatii cinematografice - total, Galati, Anul 1991, Numar spectacole, 32728
Cinematografe si instalatii cinematografice - total, Galati, Anul 1992, Numar spectacole, 24723
Cinematografe si instalatii cinematografice - total, Galati, Anul 1993, Numar spectacole, 18950
Cinematografe si instalatii cinematografice - total, Galati, Anul 1994, Numar spectacole, 15907
Cinematografe si instalatii cinematografice - total, Galati, Anul 1995, Numar spectacole, 13335
Cinematografe si instalatii cinematografice - total, Galati, Anul 1996, Numar spectacole, 11464
Cinematografe si instalatii cinematografice - total, Galati, Anul 1997, Numar spectacole, 10637
Cinematografe si instalatii cinematografice - total, Galati, Anul 2002, Numar spectacole, 6331
Cinematografe si instalatii cinematografice - total, Galati, Anul 2003, Numar spectacole, 4500
Cinematografe si instalatii cinematografice - total, Galati, Anul 2004, Numar spectacole, 3664
Cinematografe si instalatii cinematografice - total, Galati, Anul 2005, Numar spectacole, 2219
Cinematografe si instalatii cinematografice - total, Galati, Anul 2006, Numar spectacole, 866
Cinematografe si instalatii cinematografice - total, Galati, Anul 2007, Numar spectacole, 441
Cinematografe si instalatii cinematografice - total, Galati, Anul 2008, Numar spectacole, 422
Cinematografe si instalatii cinematografice - total, Galati, Anul 2009, Numar spectacole, 475
Cinematografe si instalatii cinematografice - total, Galati, Anul 2010, Numar spectacole, 527
Cinematografe si instalatii cinematografice - total, Galati, Anul 2011, Numar spectacole, 245
Cinematografe si instalatii cinematografice - total, Galati, Anul 2012, Numar spectacole, 84
Cinematografe si instalatii cinematografice - total, Galati, Anul 2015, Numar spectacole, 135
Cinematografe si instalatii cinematografice - total, Galati, Anul 2016, Numar spectacole, 1484
Cinematografe si instalatii cinematografice - total, Galati, Anul 2017, Numar spectacole, 2963
Cinematografe si instalatii cinematografice - total, Tulcea, Anul 1990, Numar spectacole, 29776
Cinematografe si instalatii cinematografice - total, Tulcea, Anul 1991, Numar spectacole, 20767
Cinematografe si instalatii cinematografice - total, Tulcea, Anul 1992, Numar spectacole, 14649
Cinematografe si instalatii cinematografice - total, Tulcea, Anul 1993, Numar spectacole, 11085
Cinematografe si instalatii cinematografice - total, Tulcea, Anul 1994, Numar spectacole, 9415
Cinematografe si instalatii cinematografice - total, Tulcea, Anul 1995, Numar spectacole, 6280
Cinematografe si instalatii cinematografice - total, Tulcea, Anul 1996, Numar spectacole, 5951
Cinematografe si instalatii cinematografice - total, Tulcea, Anul 1997, Numar spectacole, 5616
Cinematografe si instalatii cinematografice - total, Tulcea, Anul 2002, Numar spectacole, 4727
Cinematografe si instalatii cinematografice - total, Tulcea, Anul 2003, Numar spectacole, 4397
Cinematografe si instalatii cinematografice - total, Tulcea, Anul 2004, Numar spectacole, 1637
Cinematografe si instalatii cinematografice - total, Tulcea, Anul 2005, Numar spectacole, 502
Cinematografe si instalatii cinematografice - total, Tulcea, Anul 2006, Numar spectacole, 474
Cinematografe si instalatii cinematografice - total, Tulcea, Anul 2007, Numar spectacole, 370
Cinematografe si instalatii cinematografice - total, Tulcea, Anul 2008, Numar spectacole, 689
Cinematografe si instalatii cinematografice - total, Tulcea, Anul 2009, Numar spectacole, 5
Cinematografe si instalatii cinematografice - total, Tulcea, Anul 2010, Numar spectacole, 117
Cinematografe si instalatii cinematografice - total, Tulcea, Anul 2011, Numar spectacole, 296
Cinematografe si instalatii cinematografice - total, Tulcea, Anul 2012, Numar spectacole, 2602
Cinematografe si instalatii cinematografice - total, Tulcea, Anul 2013, Numar spectacole, 2498
Cinematografe si instalatii cinematografice - total, Tulcea, Anul 2014, Numar spectacole, 2329
Cinematografe si instalatii cinematografice - total, Tulcea, Anul 2015, Numar spectacole, 2259
Cinematografe si instalatii cinematografice - total, Tulcea, Anul 2016, Numar spectacole, 2011
Cinematografe si instalatii cinematografice - total, Tulcea, Anul 2017, Numar spectacole, 1815
Cinematografe si instalatii cinematografice - total, Vrancea, Anul 1990, Numar spectacole, 24759
Cinematografe si instalatii cinematografice - total, Vrancea, Anul 1991, Numar spectacole, 15071
Cinematografe si instalatii cinematografice - total, Vrancea, Anul 1992, Numar spectacole, 11940
Cinematografe si instalatii cinematografice - total, Vrancea, Anul 1993, Numar spectacole, 10574
Cinematografe si instalatii cinematografice - total, Vrancea, Anul 1994, Numar spectacole, 8481
Cinematografe si instalatii cinematografice - total, Vrancea, Anul 1995, Numar spectacole, 7238
Cinematografe si instalatii cinematografice - total, Vrancea, Anul 1996, Numar spectacole, 6593
Cinematografe si instalatii cinematografice - total, Vrancea, Anul 1997, Numar spectacole, 5756
Cinematografe si instalatii cinematografice - total, Vrancea, Anul 2002, Numar spectacole, 2318
Cinematografe si instalatii cinematografice - total, Vrancea, Anul 2003, Numar spectacole, 1844
Cinematografe si instalatii cinematografice - total, Vrancea, Anul 2004, Numar spectacole, 1336
Cinematografe si instalatii cinematografice - total, Vrancea, Anul 2005, Numar spectacole, 447
Cinematografe si instalatii cinematografice - total, Vrancea, Anul 2012, Numar spectacole, 227
Cinematografe si instalatii cinematografice - total, Vrancea, Anul 2013, Numar spectacole, 352
Cinematografe si instalatii cinematografice - total, Vrancea, Anul 2014, Numar spectacole, 533
Cinematografe si instalatii cinematografice - total, Vrancea, Anul 2015, Numar spectacole, 3921
Cinematografe si instalatii cinematografice - total, Vrancea, Anul 2016, Numar spectacole, 3789
Cinematografe si instalatii cinematografice - total, Vrancea, Anul 2017, Numar spectacole, 4109
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA TREI, Anul 1990, Numar spectacole, 275623
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA TREI, Anul 1991, Numar spectacole, 195851
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA TREI, Anul 1992, Numar spectacole, 152764
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA TREI, Anul 1993, Numar spectacole, 115651
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA TREI, Anul 1994, Numar spectacole, 89157
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA TREI, Anul 1995, Numar spectacole, 70201
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA TREI, Anul 1996, Numar spectacole, 57265
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA TREI, Anul 1997, Numar spectacole, 53453
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA TREI, Anul 2002, Numar spectacole, 55478
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA TREI, Anul 2003, Numar spectacole, 50174
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA TREI, Anul 2004, Numar spectacole, 45015
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA TREI, Anul 2005, Numar spectacole, 43241
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA TREI, Anul 2006, Numar spectacole, 51149
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA TREI, Anul 2007, Numar spectacole, 53667
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA TREI, Anul 2008, Numar spectacole, 58618
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA TREI, Anul 2009, Numar spectacole, 88055
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA TREI, Anul 2010, Numar spectacole, 130504
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA TREI, Anul 2011, Numar spectacole, 152331
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA TREI, Anul 2012, Numar spectacole, 169822
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA TREI, Anul 2013, Numar spectacole, 184022
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA TREI, Anul 2014, Numar spectacole, 189485
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA TREI, Anul 2015, Numar spectacole, 213720
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA TREI, Anul 2016, Numar spectacole, 234229
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA TREI, Anul 2017, Numar spectacole, 258825
Cinematografe si instalatii cinematografice - total, Regiunea SUD-MUNTENIA, Anul 1990, Numar spectacole, 197190
Cinematografe si instalatii cinematografice - total, Regiunea SUD-MUNTENIA, Anul 1991, Numar spectacole, 137365
Cinematografe si instalatii cinematografice - total, Regiunea SUD-MUNTENIA, Anul 1992, Numar spectacole, 108266
Cinematografe si instalatii cinematografice - total, Regiunea SUD-MUNTENIA, Anul 1993, Numar spectacole, 80780
Cinematografe si instalatii cinematografice - total, Regiunea SUD-MUNTENIA, Anul 1994, Numar spectacole, 57789
Cinematografe si instalatii cinematografice - total, Regiunea SUD-MUNTENIA, Anul 1995, Numar spectacole, 42251
Cinematografe si instalatii cinematografice - total, Regiunea SUD-MUNTENIA, Anul 1996, Numar spectacole, 33203
Cinematografe si instalatii cinematografice - total, Regiunea SUD-MUNTENIA, Anul 1997, Numar spectacole, 30155
Cinematografe si instalatii cinematografice - total, Regiunea SUD-MUNTENIA, Anul 2002, Numar spectacole, 13179
Cinematografe si instalatii cinematografice - total, Regiunea SUD-MUNTENIA, Anul 2003, Numar spectacole, 9614
Cinematografe si instalatii cinematografice - total, Regiunea SUD-MUNTENIA, Anul 2004, Numar spectacole, 6748
Cinematografe si instalatii cinematografice - total, Regiunea SUD-MUNTENIA, Anul 2005, Numar spectacole, 3732
Cinematografe si instalatii cinematografice - total, Regiunea SUD-MUNTENIA, Anul 2006, Numar spectacole, 2744
Cinematografe si instalatii cinematografice - total, Regiunea SUD-MUNTENIA, Anul 2007, Numar spectacole, 3038
Cinematografe si instalatii cinematografice - total, Regiunea SUD-MUNTENIA, Anul 2008, Numar spectacole, 2785
Cinematografe si instalatii cinematografice - total, Regiunea SUD-MUNTENIA, Anul 2009, Numar spectacole, 5285
Cinematografe si instalatii cinematografice - total, Regiunea SUD-MUNTENIA, Anul 2010, Numar spectacole, 11659
Cinematografe si instalatii cinematografice - total, Regiunea SUD-MUNTENIA, Anul 2011, Numar spectacole, 12918
Cinematografe si instalatii cinematografice - total, Regiunea SUD-MUNTENIA, Anul 2012, Numar spectacole, 14767
Cinematografe si instalatii cinematografice - total, Regiunea SUD-MUNTENIA, Anul 2013, Numar spectacole, 35344
Cinematografe si instalatii cinematografice - total, Regiunea SUD-MUNTENIA, Anul 2014, Numar spectacole, 42403
Cinematografe si instalatii cinematografice - total, Regiunea SUD-MUNTENIA, Anul 2015, Numar spectacole, 58412
Cinematografe si instalatii cinematografice - total, Regiunea SUD-MUNTENIA, Anul 2016, Numar spectacole, 59302
Cinematografe si instalatii cinematografice - total, Regiunea SUD-MUNTENIA, Anul 2017, Numar spectacole, 61286
Cinematografe si instalatii cinematografice - total, Arges, Anul 1990, Numar spectacole, 43617
Cinematografe si instalatii cinematografice - total, Arges, Anul 1991, Numar spectacole, 26957
Cinematografe si instalatii cinematografice - total, Arges, Anul 1992, Numar spectacole, 20334
Cinematografe si instalatii cinematografice - total, Arges, Anul 1993, Numar spectacole, 16025
Cinematografe si instalatii cinematografice - total, Arges, Anul 1994, Numar spectacole, 13785
Cinematografe si instalatii cinematografice - total, Arges, Anul 1995, Numar spectacole, 11369
Cinematografe si instalatii cinematografice - total, Arges, Anul 1996, Numar spectacole, 9559
Cinematografe si instalatii cinematografice - total, Arges, Anul 1997, Numar spectacole, 8605
Cinematografe si instalatii cinematografice - total, Arges, Anul 2002, Numar spectacole, 4458
Cinematografe si instalatii cinematografice - total, Arges, Anul 2003, Numar spectacole, 3766
Cinematografe si instalatii cinematografice - total, Arges, Anul 2004, Numar spectacole, 2655
Cinematografe si instalatii cinematografice - total, Arges, Anul 2005, Numar spectacole, 2148
Cinematografe si instalatii cinematografice - total, Arges, Anul 2006, Numar spectacole, 1623
Cinematografe si instalatii cinematografice - total, Arges, Anul 2007, Numar spectacole, 1696
Cinematografe si instalatii cinematografice - total, Arges, Anul 2008, Numar spectacole, 1541
Cinematografe si instalatii cinematografice - total, Arges, Anul 2009, Numar spectacole, 4470
Cinematografe si instalatii cinematografice - total, Arges, Anul 2010, Numar spectacole, 10953
Cinematografe si instalatii cinematografice - total, Arges, Anul 2011, Numar spectacole, 10968
Cinematografe si instalatii cinematografice - total, Arges, Anul 2012, Numar spectacole, 11209
Cinematografe si instalatii cinematografice - total, Arges, Anul 2013, Numar spectacole, 11125
Cinematografe si instalatii cinematografice - total, Arges, Anul 2014, Numar spectacole, 11988
Cinematografe si instalatii cinematografice - total, Arges, Anul 2015, Numar spectacole, 24565
Cinematografe si instalatii cinematografice - total, Arges, Anul 2016, Numar spectacole, 24922
Cinematografe si instalatii cinematografice - total, Arges, Anul 2017, Numar spectacole, 25833
Cinematografe si instalatii cinematografice - total, Calarasi, Anul 1990, Numar spectacole, 21669
Cinematografe si instalatii cinematografice - total, Calarasi, Anul 1991, Numar spectacole, 12195
Cinematografe si instalatii cinematografice - total, Calarasi, Anul 1992, Numar spectacole, 5815
Cinematografe si instalatii cinematografice - total, Calarasi, Anul 1993, Numar spectacole, 3533
Cinematografe si instalatii cinematografice - total, Calarasi, Anul 1994, Numar spectacole, 1205
Cinematografe si instalatii cinematografice - total, Calarasi, Anul 1995, Numar spectacole, 1571
Cinematografe si instalatii cinematografice - total, Calarasi, Anul 1996, Numar spectacole, 1183
Cinematografe si instalatii cinematografice - total, Calarasi, Anul 1997, Numar spectacole, 967
Cinematografe si instalatii cinematografice - total, Calarasi, Anul 2002, Numar spectacole, 921
Cinematografe si instalatii cinematografice - total, Calarasi, Anul 2003, Numar spectacole, 878
Cinematografe si instalatii cinematografice - total, Calarasi, Anul 2004, Numar spectacole, 988
Cinematografe si instalatii cinematografice - total, Calarasi, Anul 2005, Numar spectacole, 169
Cinematografe si instalatii cinematografice - total, Calarasi, Anul 2011, Numar spectacole, 302
Cinematografe si instalatii cinematografice - total, Calarasi, Anul 2012, Numar spectacole, 551
Cinematografe si instalatii cinematografice - total, Calarasi, Anul 2013, Numar spectacole, 783
Cinematografe si instalatii cinematografice - total, Calarasi, Anul 2014, Numar spectacole, 730
Cinematografe si instalatii cinematografice - total, Calarasi, Anul 2015, Numar spectacole, 775
Cinematografe si instalatii cinematografice - total, Calarasi, Anul 2016, Numar spectacole, 817
Cinematografe si instalatii cinematografice - total, Calarasi, Anul 2017, Numar spectacole, 858
Cinematografe si instalatii cinematografice - total, Dambovita, Anul 1990, Numar spectacole, 22017
Cinematografe si instalatii cinematografice - total, Dambovita, Anul 1991, Numar spectacole, 14186
Cinematografe si instalatii cinematografice - total, Dambovita, Anul 1992, Numar spectacole, 12512
Cinematografe si instalatii cinematografice - total, Dambovita, Anul 1993, Numar spectacole, 10193
Cinematografe si instalatii cinematografice - total, Dambovita, Anul 1994, Numar spectacole, 9501
Cinematografe si instalatii cinematografice - total, Dambovita, Anul 1995, Numar spectacole, 7857
Cinematografe si instalatii cinematografice - total, Dambovita, Anul 1996, Numar spectacole, 7073
Cinematografe si instalatii cinematografice - total, Dambovita, Anul 1997, Numar spectacole, 6352
Cinematografe si instalatii cinematografice - total, Dambovita, Anul 2002, Numar spectacole, 1319
Cinematografe si instalatii cinematografice - total, Dambovita, Anul 2003, Numar spectacole, 845
Cinematografe si instalatii cinematografice - total, Dambovita, Anul 2004, Numar spectacole, 200
Cinematografe si instalatii cinematografice - total, Dambovita, Anul 2006, Numar spectacole, 174
Cinematografe si instalatii cinematografice - total, Dambovita, Anul 2007, Numar spectacole, 327
Cinematografe si instalatii cinematografice - total, Dambovita, Anul 2008, Numar spectacole, 290
Cinematografe si instalatii cinematografice - total, Dambovita, Anul 2009, Numar spectacole, 155
Cinematografe si instalatii cinematografice - total, Dambovita, Anul 2016, Numar spectacole, 740
Cinematografe si instalatii cinematografice - total, Dambovita, Anul 2017, Numar spectacole, 3138
Cinematografe si instalatii cinematografice - total, Giurgiu, Anul 1990, Numar spectacole, 15104
Cinematografe si instalatii cinematografice - total, Giurgiu, Anul 1991, Numar spectacole, 12161
Cinematografe si instalatii cinematografice - total, Giurgiu, Anul 1992, Numar spectacole, 9028
Cinematografe si instalatii cinematografice - total, Giurgiu, Anul 1993, Numar spectacole, 5491
Cinematografe si instalatii cinematografice - total, Giurgiu, Anul 1994, Numar spectacole, 1522
Cinematografe si instalatii cinematografice - total, Giurgiu, Anul 1995, Numar spectacole, 776
Cinematografe si instalatii cinematografice - total, Giurgiu, Anul 1996, Numar spectacole, 921
Cinematografe si instalatii cinematografice - total, Giurgiu, Anul 1997, Numar spectacole, 1335
Cinematografe si instalatii cinematografice - total, Giurgiu, Anul 2002, Numar spectacole, 778
Cinematografe si instalatii cinematografice - total, Giurgiu, Anul 2003, Numar spectacole, 615
Cinematografe si instalatii cinematografice - total, Giurgiu, Anul 2004, Numar spectacole, 425
Cinematografe si instalatii cinematografice - total, Giurgiu, Anul 2005, Numar spectacole, 233
Cinematografe si instalatii cinematografice - total, Ialomita, Anul 1990, Numar spectacole, 24347
Cinematografe si instalatii cinematografice - total, Ialomita, Anul 1991, Numar spectacole, 20228
Cinematografe si instalatii cinematografice - total, Ialomita, Anul 1992, Numar spectacole, 15151
Cinematografe si instalatii cinematografice - total, Ialomita, Anul 1993, Numar spectacole, 9383
Cinematografe si instalatii cinematografice - total, Ialomita, Anul 1994, Numar spectacole, 6592
Cinematografe si instalatii cinematografice - total, Ialomita, Anul 1995, Numar spectacole, 3403
Cinematografe si instalatii cinematografice - total, Ialomita, Anul 1996, Numar spectacole, 2300
Cinematografe si instalatii cinematografice - total, Ialomita, Anul 1997, Numar spectacole, 1483
Cinematografe si instalatii cinematografice - total, Ialomita, Anul 2002, Numar spectacole, 1126
Cinematografe si instalatii cinematografice - total, Ialomita, Anul 2003, Numar spectacole, 897
Cinematografe si instalatii cinematografice - total, Ialomita, Anul 2004, Numar spectacole, 524
Cinematografe si instalatii cinematografice - total, Ialomita, Anul 2005, Numar spectacole, 299
Cinematografe si instalatii cinematografice - total, Ialomita, Anul 2006, Numar spectacole, 198
Cinematografe si instalatii cinematografice - total, Ialomita, Anul 2007, Numar spectacole, 176
Cinematografe si instalatii cinematografice - total, Ialomita, Anul 2008, Numar spectacole, 197
Cinematografe si instalatii cinematografice - total, Ialomita, Anul 2009, Numar spectacole, 3
Cinematografe si instalatii cinematografice - total, Ialomita, Anul 2013, Numar spectacole, 14
Cinematografe si instalatii cinematografice - total, Ialomita, Anul 2014, Numar spectacole, 25
Cinematografe si instalatii cinematografice - total, Ialomita, Anul 2015, Numar spectacole, 124
Cinematografe si instalatii cinematografice - total, Ialomita, Anul 2016, Numar spectacole, 115
Cinematografe si instalatii cinematografice - total, Ialomita, Anul 2017, Numar spectacole, 121
Cinematografe si instalatii cinematografice - total, Prahova, Anul 1990, Numar spectacole, 43462
Cinematografe si instalatii cinematografice - total, Prahova, Anul 1991, Numar spectacole, 31800
Cinematografe si instalatii cinematografice - total, Prahova, Anul 1992, Numar spectacole, 30041
Cinematografe si instalatii cinematografice - total, Prahova, Anul 1993, Numar spectacole, 24980
Cinematografe si instalatii cinematografice - total, Prahova, Anul 1994, Numar spectacole, 17111
Cinematografe si instalatii cinematografice - total, Prahova, Anul 1995, Numar spectacole, 11634
Cinematografe si instalatii cinematografice - total, Prahova, Anul 1996, Numar spectacole, 9297
Cinematografe si instalatii cinematografice - total, Prahova, Anul 1997, Numar spectacole, 9522
Cinematografe si instalatii cinematografice - total, Prahova, Anul 2002, Numar spectacole, 4240
Cinematografe si instalatii cinematografice - total, Prahova, Anul 2003, Numar spectacole, 2494
Cinematografe si instalatii cinematografice - total, Prahova, Anul 2004, Numar spectacole, 1905
Cinematografe si instalatii cinematografice - total, Prahova, Anul 2005, Numar spectacole, 883
Cinematografe si instalatii cinematografice - total, Prahova, Anul 2006, Numar spectacole, 749
Cinematografe si instalatii cinematografice - total, Prahova, Anul 2007, Numar spectacole, 839
Cinematografe si instalatii cinematografice - total, Prahova, Anul 2008, Numar spectacole, 757
Cinematografe si instalatii cinematografice - total, Prahova, Anul 2009, Numar spectacole, 657
Cinematografe si instalatii cinematografice - total, Prahova, Anul 2010, Numar spectacole, 706
Cinematografe si instalatii cinematografice - total, Prahova, Anul 2011, Numar spectacole, 1648
Cinematografe si instalatii cinematografice - total, Prahova, Anul 2012, Numar spectacole, 3007
Cinematografe si instalatii cinematografice - total, Prahova, Anul 2013, Numar spectacole, 23422
Cinematografe si instalatii cinematografice - total, Prahova, Anul 2014, Numar spectacole, 29660
Cinematografe si instalatii cinematografice - total, Prahova, Anul 2015, Numar spectacole, 32948
Cinematografe si instalatii cinematografice - total, Prahova, Anul 2016, Numar spectacole, 32517
Cinematografe si instalatii cinematografice - total, Prahova, Anul 2017, Numar spectacole, 30898
Cinematografe si instalatii cinematografice - total, Teleorman, Anul 1990, Numar spectacole, 26974
Cinematografe si instalatii cinematografice - total, Teleorman, Anul 1991, Numar spectacole, 19838
Cinematografe si instalatii cinematografice - total, Teleorman, Anul 1992, Numar spectacole, 15385
Cinematografe si instalatii cinematografice - total, Teleorman, Anul 1993, Numar spectacole, 11175
Cinematografe si instalatii cinematografice - total, Teleorman, Anul 1994, Numar spectacole, 8073
Cinematografe si instalatii cinematografice - total, Teleorman, Anul 1995, Numar spectacole, 5641
Cinematografe si instalatii cinematografice - total, Teleorman, Anul 1996, Numar spectacole, 2870
Cinematografe si instalatii cinematografice - total, Teleorman, Anul 1997, Numar spectacole, 1891
Cinematografe si instalatii cinematografice - total, Teleorman, Anul 2002, Numar spectacole, 337
Cinematografe si instalatii cinematografice - total, Teleorman, Anul 2003, Numar spectacole, 119
Cinematografe si instalatii cinematografice - total, Teleorman, Anul 2004, Numar spectacole, 51
Cinematografe si instalatii cinematografice - total, Teleorman, Anul 2016, Numar spectacole, 191
Cinematografe si instalatii cinematografice - total, Teleorman, Anul 2017, Numar spectacole, 438
Cinematografe si instalatii cinematografice - total, Regiunea BUCURESTI - ILFOV, Anul 1990, Numar spectacole, 78433
Cinematografe si instalatii cinematografice - total, Regiunea BUCURESTI - ILFOV, Anul 1991, Numar spectacole, 58486
Cinematografe si instalatii cinematografice - total, Regiunea BUCURESTI - ILFOV, Anul 1992, Numar spectacole, 44498
Cinematografe si instalatii cinematografice - total, Regiunea BUCURESTI - ILFOV, Anul 1993, Numar spectacole, 34871
Cinematografe si instalatii cinematografice - total, Regiunea BUCURESTI - ILFOV, Anul 1994, Numar spectacole, 31368
Cinematografe si instalatii cinematografice - total, Regiunea BUCURESTI - ILFOV, Anul 1995, Numar spectacole, 27950
Cinematografe si instalatii cinematografice - total, Regiunea BUCURESTI - ILFOV, Anul 1996, Numar spectacole, 24062
Cinematografe si instalatii cinematografice - total, Regiunea BUCURESTI - ILFOV, Anul 1997, Numar spectacole, 23298
Cinematografe si instalatii cinematografice - total, Regiunea BUCURESTI - ILFOV, Anul 2002, Numar spectacole, 42299
Cinematografe si instalatii cinematografice - total, Regiunea BUCURESTI - ILFOV, Anul 2003, Numar spectacole, 40560
Cinematografe si instalatii cinematografice - total, Regiunea BUCURESTI - ILFOV, Anul 2004, Numar spectacole, 38267
Cinematografe si instalatii cinematografice - total, Regiunea BUCURESTI - ILFOV, Anul 2005, Numar spectacole, 39509
Cinematografe si instalatii cinematografice - total, Regiunea BUCURESTI - ILFOV, Anul 2006, Numar spectacole, 48405
Cinematografe si instalatii cinematografice - total, Regiunea BUCURESTI - ILFOV, Anul 2007, Numar spectacole, 50629
Cinematografe si instalatii cinematografice - total, Regiunea BUCURESTI - ILFOV, Anul 2008, Numar spectacole, 55833
Cinematografe si instalatii cinematografice - total, Regiunea BUCURESTI - ILFOV, Anul 2009, Numar spectacole, 82770
Cinematografe si instalatii cinematografice - total, Regiunea BUCURESTI - ILFOV, Anul 2010, Numar spectacole, 118845
Cinematografe si instalatii cinematografice - total, Regiunea BUCURESTI - ILFOV, Anul 2011, Numar spectacole, 139413
Cinematografe si instalatii cinematografice - total, Regiunea BUCURESTI - ILFOV, Anul 2012, Numar spectacole, 155055
Cinematografe si instalatii cinematografice - total, Regiunea BUCURESTI - ILFOV, Anul 2013, Numar spectacole, 148678
Cinematografe si instalatii cinematografice - total, Regiunea BUCURESTI - ILFOV, Anul 2014, Numar spectacole, 147082
Cinematografe si instalatii cinematografice - total, Regiunea BUCURESTI - ILFOV, Anul 2015, Numar spectacole, 155308
Cinematografe si instalatii cinematografice - total, Regiunea BUCURESTI - ILFOV, Anul 2016, Numar spectacole, 174927
Cinematografe si instalatii cinematografice - total, Regiunea BUCURESTI - ILFOV, Anul 2017, Numar spectacole, 197539
Cinematografe si instalatii cinematografice - total, Municipiul Bucuresti, Anul 2002, Numar spectacole, 42299
Cinematografe si instalatii cinematografice - total, Municipiul Bucuresti, Anul 2003, Numar spectacole, 40560
Cinematografe si instalatii cinematografice - total, Municipiul Bucuresti, Anul 2004, Numar spectacole, 38267
Cinematografe si instalatii cinematografice - total, Municipiul Bucuresti, Anul 2005, Numar spectacole, 39509
Cinematografe si instalatii cinematografice - total, Municipiul Bucuresti, Anul 2006, Numar spectacole, 48405
Cinematografe si instalatii cinematografice - total, Municipiul Bucuresti, Anul 2007, Numar spectacole, 50629
Cinematografe si instalatii cinematografice - total, Municipiul Bucuresti, Anul 2008, Numar spectacole, 55833
Cinematografe si instalatii cinematografice - total, Municipiul Bucuresti, Anul 2009, Numar spectacole, 82770
Cinematografe si instalatii cinematografice - total, Municipiul Bucuresti, Anul 2010, Numar spectacole, 118845
Cinematografe si instalatii cinematografice - total, Municipiul Bucuresti, Anul 2011, Numar spectacole, 139413
Cinematografe si instalatii cinematografice - total, Municipiul Bucuresti, Anul 2012, Numar spectacole, 155055
Cinematografe si instalatii cinematografice - total, Municipiul Bucuresti, Anul 2013, Numar spectacole, 148678
Cinematografe si instalatii cinematografice - total, Municipiul Bucuresti, Anul 2014, Numar spectacole, 147082
Cinematografe si instalatii cinematografice - total, Municipiul Bucuresti, Anul 2015, Numar spectacole, 155308
Cinematografe si instalatii cinematografice - total, Municipiul Bucuresti, Anul 2016, Numar spectacole, 174927
Cinematografe si instalatii cinematografice - total, Municipiul Bucuresti, Anul 2017, Numar spectacole, 197539
Cinematografe si instalatii cinematografice - total, Mun. Bucuresti -incl. SAI, Anul 1990, Numar spectacole, 78433
Cinematografe si instalatii cinematografice - total, Mun. Bucuresti -incl. SAI, Anul 1991, Numar spectacole, 58486
Cinematografe si instalatii cinematografice - total, Mun. Bucuresti -incl. SAI, Anul 1992, Numar spectacole, 44498
Cinematografe si instalatii cinematografice - total, Mun. Bucuresti -incl. SAI, Anul 1993, Numar spectacole, 34871
Cinematografe si instalatii cinematografice - total, Mun. Bucuresti -incl. SAI, Anul 1994, Numar spectacole, 31368
Cinematografe si instalatii cinematografice - total, Mun. Bucuresti -incl. SAI, Anul 1995, Numar spectacole, 27950
Cinematografe si instalatii cinematografice - total, Mun. Bucuresti -incl. SAI, Anul 1996, Numar spectacole, 24062
Cinematografe si instalatii cinematografice - total, Mun. Bucuresti -incl. SAI, Anul 1997, Numar spectacole, 23298
Cinematografe si instalatii cinematografice - total, MACROREGIUNEA PATRU, Anul 1990, Numar spectacole, 312137
