
ABF - Principalele produse agroalimentare cumparate, ABF - Principalele categorii sociale, Macroregiuni si regiuni de dezvoltare, Perioade, Unitati de masura, Valoare
Bauturi alcoolice (l), Total, MACROREGIUNEA PATRU, Anul 2011, Litri, 1.24
Bauturi alcoolice (l), Total, MACROREGIUNEA PATRU, Anul 2012, Litri, 1.26
Bauturi alcoolice (l), Total, MACROREGIUNEA PATRU, Anul 2013, Litri, 1.255
Bauturi alcoolice (l), Total, MACROREGIUNEA PATRU, Anul 2014, Litri, 1.205
Bauturi alcoolice (l), Total, MACROREGIUNEA PATRU, Anul 2015, Litri, 1.349
Bauturi alcoolice (l), Total, MACROREGIUNEA PATRU, Anul 2016, Litri, 1.715
Bauturi alcoolice (l), Total, MACROREGIUNEA PATRU, Anul 2017, Litri, 1.942
Bauturi alcoolice (l), Total, Regiunea SUD-VEST OLTENIA, Anul 2008, Litri, 1.31
Bauturi alcoolice (l), Total, Regiunea SUD-VEST OLTENIA, Anul 2009, Litri, 1.258
Bauturi alcoolice (l), Total, Regiunea SUD-VEST OLTENIA, Anul 2010, Litri, 1.201
Bauturi alcoolice (l), Total, Regiunea SUD-VEST OLTENIA, Anul 2011, Litri, 1.24
Bauturi alcoolice (l), Total, Regiunea SUD-VEST OLTENIA, Anul 2012, Litri, 1.26
Bauturi alcoolice (l), Total, Regiunea SUD-VEST OLTENIA, Anul 2013, Litri, 1.255
Bauturi alcoolice (l), Total, Regiunea SUD-VEST OLTENIA, Anul 2014, Litri, 1.205
Bauturi alcoolice (l), Total, Regiunea SUD-VEST OLTENIA, Anul 2015, Litri, 1.349
Bauturi alcoolice (l), Total, Regiunea SUD-VEST OLTENIA, Anul 2016, Litri, 1.715
Bauturi alcoolice (l), Total, Regiunea SUD-VEST OLTENIA, Anul 2017, Litri, 1.942
Bauturi alcoolice (l), Total, Regiunea VEST, Anul 2008, Litri, 1.31
Bauturi alcoolice (l), Total, Regiunea VEST, Anul 2009, Litri, 1.258
Bauturi alcoolice (l), Total, Regiunea VEST, Anul 2010, Litri, 1.201
Bauturi alcoolice (l), Total, Regiunea VEST, Anul 2011, Litri, 1.24
Bauturi alcoolice (l), Total, Regiunea VEST, Anul 2012, Litri, 1.26
Bauturi alcoolice (l), Total, Regiunea VEST, Anul 2013, Litri, 1.255
Bauturi alcoolice (l), Total, Regiunea VEST, Anul 2014, Litri, 1.205
Bauturi alcoolice (l), Total, Regiunea VEST, Anul 2015, Litri, 1.349
Bauturi alcoolice (l), Total, Regiunea VEST, Anul 2016, Litri, 1.715
Bauturi alcoolice (l), Total, Regiunea VEST, Anul 2017, Litri, 1.942
