Forme de proprietate, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar, Valoare
Total, Maramures, Anul 2000, Numar, 12
Total, Maramures, Anul 2001, Numar, 12
Total, Maramures, Anul 2002, Numar, 11
Total, Maramures, Anul 2003, Numar, 10
Total, Maramures, Anul 2004, Numar, 10
Total, Maramures, Anul 2005, Numar, 14
Total, Maramures, Anul 2006, Numar, 14
Total, Maramures, Anul 2007, Numar, 12
Total, Maramures, Anul 2008, Numar, 12
Total, Maramures, Anul 2009, Numar, 11
Total, Maramures, Anul 2010, Numar, 11
Total, Maramures, Anul 2011, Numar, 10
Total, Maramures, Anul 2012, Numar, 7
Total, Maramures, Anul 2013, Numar, 8
Total, Maramures, Anul 2014, Numar, 7
Total, Maramures, Anul 2015, Numar, 6
Total, Maramures, Anul 2016, Numar, 7
Total, Maramures, Anul 2017, Numar, 7
Total, Satu Mare, Anul 1991, Numar, 1
Total, Satu Mare, Anul 1992, Numar, 1
Total, Satu Mare, Anul 1998, Numar, 1
Total, Satu Mare, Anul 1999, Numar, 3
Total, Satu Mare, Anul 2000, Numar, 6
Total, Satu Mare, Anul 2001, Numar, 6
Total, Satu Mare, Anul 2002, Numar, 5
Total, Satu Mare, Anul 2003, Numar, 5
Total, Satu Mare, Anul 2004, Numar, 5
Total, Satu Mare, Anul 2005, Numar, 8
Total, Satu Mare, Anul 2006, Numar, 7
Total, Satu Mare, Anul 2007, Numar, 4
Total, Satu Mare, Anul 2008, Numar, 5
Total, Satu Mare, Anul 2009, Numar, 6
Total, Satu Mare, Anul 2010, Numar, 6
Total, Satu Mare, Anul 2011, Numar, 6
Total, Satu Mare, Anul 2012, Numar, 6
Total, Satu Mare, Anul 2013, Numar, 5
Total, Satu Mare, Anul 2014, Numar, 6
Total, Satu Mare, Anul 2015, Numar, 5
Total, Satu Mare, Anul 2016, Numar, 5
Total, Satu Mare, Anul 2017, Numar, 5
Total, Salaj, Anul 1998, Numar, 1
Total, Salaj, Anul 1999, Numar, 3
Total, Salaj, Anul 2000, Numar, 3
Total, Salaj, Anul 2001, Numar, 3
Total, Salaj, Anul 2002, Numar, 3
Total, Salaj, Anul 2003, Numar, 3
Total, Salaj, Anul 2004, Numar, 3
Total, Salaj, Anul 2005, Numar, 5
Total, Salaj, Anul 2006, Numar, 5
Total, Salaj, Anul 2007, Numar, 2
Total, Salaj, Anul 2008, Numar, 2
Total, Salaj, Anul 2009, Numar, 2
Total, Salaj, Anul 2010, Numar, 2
Total, Salaj, Anul 2011, Numar, 4
Total, Salaj, Anul 2012, Numar, 4
Total, Salaj, Anul 2013, Numar, 4
