Forme de proprietate, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar, Valoare
Total, Dolj, Anul 2008, Numar, 23
Total, Dolj, Anul 2009, Numar, 23
Total, Dolj, Anul 2010, Numar, 23
Total, Dolj, Anul 2011, Numar, 18
Total, Dolj, Anul 2012, Numar, 19
Total, Dolj, Anul 2013, Numar, 17
Total, Dolj, Anul 2014, Numar, 17
Total, Dolj, Anul 2015, Numar, 17
Total, Dolj, Anul 2016, Numar, 17
Total, Dolj, Anul 2017, Numar, 17
Total, Gorj, Anul 1992, Numar, 2
Total, Gorj, Anul 1993, Numar, 2
Total, Gorj, Anul 1994, Numar, 2
Total, Gorj, Anul 1995, Numar, 2
Total, Gorj, Anul 1996, Numar, 2
Total, Gorj, Anul 1997, Numar, 2
Total, Gorj, Anul 1998, Numar, 4
Total, Gorj, Anul 1999, Numar, 8
Total, Gorj, Anul 2000, Numar, 10
Total, Gorj, Anul 2001, Numar, 9
Total, Gorj, Anul 2002, Numar, 7
Total, Gorj, Anul 2003, Numar, 9
Total, Gorj, Anul 2004, Numar, 11
Total, Gorj, Anul 2005, Numar, 13
Total, Gorj, Anul 2006, Numar, 10
Total, Gorj, Anul 2007, Numar, 7
Total, Gorj, Anul 2008, Numar, 7
Total, Gorj, Anul 2009, Numar, 7
Total, Gorj, Anul 2010, Numar, 7
Total, Gorj, Anul 2011, Numar, 6
Total, Gorj, Anul 2012, Numar, 7
Total, Gorj, Anul 2013, Numar, 6
Total, Gorj, Anul 2014, Numar, 6
Total, Gorj, Anul 2015, Numar, 7
Total, Gorj, Anul 2016, Numar, 7
Total, Gorj, Anul 2017, Numar, 6
Total, Mehedinti, Anul 1995, Numar, 1
Total, Mehedinti, Anul 1996, Numar, 1
Total, Mehedinti, Anul 1997, Numar, 1
Total, Mehedinti, Anul 1998, Numar, 1
Total, Mehedinti, Anul 1999, Numar, 2
Total, Mehedinti, Anul 2000, Numar, 5
Total, Mehedinti, Anul 2001, Numar, 5
Total, Mehedinti, Anul 2002, Numar, 5
Total, Mehedinti, Anul 2003, Numar, 7
Total, Mehedinti, Anul 2004, Numar, 5
Total, Mehedinti, Anul 2005, Numar, 7
Total, Mehedinti, Anul 2006, Numar, 7
Total, Mehedinti, Anul 2007, Numar, 6
Total, Mehedinti, Anul 2008, Numar, 5
Total, Mehedinti, Anul 2009, Numar, 5
Total, Mehedinti, Anul 2010, Numar, 5
Total, Mehedinti, Anul 2011, Numar, 5
Total, Mehedinti, Anul 2012, Numar, 5
Total, Mehedinti, Anul 2013, Numar, 5
Total, Mehedinti, Anul 2014, Numar, 5
Total, Mehedinti, Anul 2015, Numar, 5
Total, Mehedinti, Anul 2016, Numar, 5
Total, Mehedinti, Anul 2017, Numar, 5
Total, Olt, Anul 1995, Numar, 2
Total, Olt, Anul 2001, Numar, 1
Total, Olt, Anul 2002, Numar, 1
Total, Olt, Anul 2003, Numar, 5
Total, Olt, Anul 2004, Numar, 5
Total, Olt, Anul 2005, Numar, 5
Total, Olt, Anul 2006, Numar, 4
Total, Olt, Anul 2007, Numar, 2
Total, Olt, Anul 2008, Numar, 2
Total, Olt, Anul 2009, Numar, 2
Total, Olt, Anul 2010, Numar, 2
Total, Olt, Anul 2011, Numar, 2
Total, Olt, Anul 2012, Numar, 2
Total, Olt, Anul 2013, Numar, 2
Total, Olt, Anul 2014, Numar, 2
Total, Olt, Anul 2015, Numar, 2
Total, Olt, Anul 2016, Numar, 2
Total, Olt, Anul 2017, Numar, 2
Total, Valcea, Anul 1991, Numar, 1
Total, Valcea, Anul 1992, Numar, 1
Total, Valcea, Anul 1993, Numar, 1
Total, Valcea, Anul 1994, Numar, 1
Total, Valcea, Anul 1995, Numar, 2
Total, Valcea, Anul 1996, Numar, 2
Total, Valcea, Anul 1997, Numar, 1
Total, Valcea, Anul 1998, Numar, 1
Total, Valcea, Anul 1999, Numar, 1
Total, Valcea, Anul 2000, Numar, 3
Total, Valcea, Anul 2001, Numar, 4
Total, Valcea, Anul 2002, Numar, 4
Total, Valcea, Anul 2003, Numar, 5
Total, Valcea, Anul 2004, Numar, 6
Total, Valcea, Anul 2005, Numar, 7
Total, Valcea, Anul 2006, Numar, 6
Total, Valcea, Anul 2007, Numar, 3
Total, Valcea, Anul 2008, Numar, 3
Total, Valcea, Anul 2009, Numar, 5
Total, Valcea, Anul 2010, Numar, 5
Total, Valcea, Anul 2011, Numar, 5
Total, Valcea, Anul 2012, Numar, 5
Total, Valcea, Anul 2013, Numar, 5
Total, Valcea, Anul 2014, Numar, 5
Total, Valcea, Anul 2015, Numar, 3
Total, Valcea, Anul 2016, Numar, 3
Total, Valcea, Anul 2017, Numar, 3
Total, Regiunea VEST, Anul 1990, Numar, 22
Total, Regiunea VEST, Anul 1991, Numar, 30
Total, Regiunea VEST, Anul 1992, Numar, 30
Total, Regiunea VEST, Anul 1993, Numar, 31
Total, Regiunea VEST, Anul 1994, Numar, 31
Total, Regiunea VEST, Anul 1995, Numar, 58
Total, Regiunea VEST, Anul 1996, Numar, 67
Total, Regiunea VEST, Anul 1997, Numar, 75
Total, Regiunea VEST, Anul 1998, Numar, 77
Total, Regiunea VEST, Anul 1999, Numar, 88
Total, Regiunea VEST, Anul 2000, Numar, 89
Total, Regiunea VEST, Anul 2001, Numar, 93
Total, Regiunea VEST, Anul 2002, Numar, 95
Total, Regiunea VEST, Anul 2003, Numar, 92
Total, Regiunea VEST, Anul 2004, Numar, 93
Total, Regiunea VEST, Anul 2005, Numar, 94
Total, Regiunea VEST, Anul 2006, Numar, 91
Total, Regiunea VEST, Anul 2007, Numar, 81
Total, Regiunea VEST, Anul 2008, Numar, 80
Total, Regiunea VEST, Anul 2009, Numar, 79
Total, Regiunea VEST, Anul 2010, Numar, 77
Total, Regiunea VEST, Anul 2011, Numar, 71
Total, Regiunea VEST, Anul 2012, Numar, 71
Total, Regiunea VEST, Anul 2013, Numar, 65
Total, Regiunea VEST, Anul 2014, Numar, 62
Total, Regiunea VEST, Anul 2015, Numar, 62
Total, Regiunea VEST, Anul 2016, Numar, 62
Total, Regiunea VEST, Anul 2017, Numar, 62
Total, Arad, Anul 1990, Numar, 1
Total, Arad, Anul 1991, Numar, 2
Total, Arad, Anul 1992, Numar, 2
Total, Arad, Anul 1993, Numar, 2
Total, Arad, Anul 1994, Numar, 2
Total, Arad, Anul 1995, Numar, 9
Total, Arad, Anul 1996, Numar, 8
Total, Arad, Anul 1997, Numar, 9
Total, Arad, Anul 1998, Numar, 10
Total, Arad, Anul 1999, Numar, 11
Total, Arad, Anul 2000, Numar, 14
Total, Arad, Anul 2001, Numar, 17
Total, Arad, Anul 2002, Numar, 20
Total, Arad, Anul 2003, Numar, 21
Total, Arad, Anul 2004, Numar, 23
Total, Arad, Anul 2005, Numar, 26
Total, Arad, Anul 2006, Numar, 26
Total, Arad, Anul 2007, Numar, 24
Total, Arad, Anul 2008, Numar, 24
Total, Arad, Anul 2009, Numar, 25
Total, Arad, Anul 2010, Numar, 25
Total, Arad, Anul 2011, Numar, 17
Total, Arad, Anul 2012, Numar, 16
Total, Arad, Anul 2013, Numar, 16
Total, Arad, Anul 2014, Numar, 16
Total, Arad, Anul 2015, Numar, 16
Total, Arad, Anul 2016, Numar, 16
Total, Arad, Anul 2017, Numar, 16
Total, Caras-Severin, Anul 1990, Numar, 1
Total, Caras-Severin, Anul 1991, Numar, 1
Total, Caras-Severin, Anul 1992, Numar, 2
Total, Caras-Severin, Anul 1993, Numar, 2
Total, Caras-Severin, Anul 1994, Numar, 2
Total, Caras-Severin, Anul 1995, Numar, 2
Total, Caras-Severin, Anul 1996, Numar, 3
Total, Caras-Severin, Anul 1997, Numar, 4
Total, Caras-Severin, Anul 1998, Numar, 5
Total, Caras-Severin, Anul 1999, Numar, 5
Total, Caras-Severin, Anul 2000, Numar, 6
Total, Caras-Severin, Anul 2001, Numar, 6
Total, Caras-Severin, Anul 2002, Numar, 6
Total, Caras-Severin, Anul 2003, Numar, 6
Total, Caras-Severin, Anul 2004, Numar, 6
Total, Caras-Severin, Anul 2005, Numar, 5
Total, Caras-Severin, Anul 2006, Numar, 3
Total, Caras-Severin, Anul 2007, Numar, 2
Total, Caras-Severin, Anul 2008, Numar, 2
Total, Caras-Severin, Anul 2009, Numar, 2
Total, Caras-Severin, Anul 2010, Numar, 2
Total, Caras-Severin, Anul 2011, Numar, 7
Total, Caras-Severin, Anul 2012, Numar, 6
Total, Caras-Severin, Anul 2013, Numar, 3
Total, Caras-Severin, Anul 2014, Numar, 3
Total, Caras-Severin, Anul 2015, Numar, 3
Total, Caras-Severin, Anul 2016, Numar, 3
Total, Caras-Severin, Anul 2017, Numar, 3
Total, Hunedoara, Anul 1990, Numar, 3
Total, Hunedoara, Anul 1991, Numar, 4
Total, Hunedoara, Anul 1992, Numar, 3
Total, Hunedoara, Anul 1993, Numar, 4
Total, Hunedoara, Anul 1994, Numar, 4
Total, Hunedoara, Anul 1995, Numar, 7
Total, Hunedoara, Anul 1996, Numar, 7
Total, Hunedoara, Anul 1997, Numar, 8
Total, Hunedoara, Anul 1998, Numar, 8
Total, Hunedoara, Anul 1999, Numar, 10
Total, Hunedoara, Anul 2000, Numar, 10
Total, Hunedoara, Anul 2001, Numar, 11
Total, Hunedoara, Anul 2002, Numar, 11
Total, Hunedoara, Anul 2003, Numar, 8
Total, Hunedoara, Anul 2004, Numar, 9
Total, Hunedoara, Anul 2005, Numar, 10
Total, Hunedoara, Anul 2006, Numar, 9
Total, Hunedoara, Anul 2007, Numar, 6
Total, Hunedoara, Anul 2008, Numar, 6
Total, Hunedoara, Anul 2009, Numar, 5
Total, Hunedoara, Anul 2010, Numar, 5
Total, Hunedoara, Anul 2011, Numar, 5
Total, Hunedoara, Anul 2012, Numar, 5
Total, Hunedoara, Anul 2013, Numar, 4
Total, Hunedoara, Anul 2014, Numar, 4
Total, Hunedoara, Anul 2015, Numar, 4
Total, Hunedoara, Anul 2016, Numar, 4
Total, Hunedoara, Anul 2017, Numar, 4
Total, Timis, Anul 1990, Numar, 17
Total, Timis, Anul 1991, Numar, 23
Total, Timis, Anul 1992, Numar, 23
Total, Timis, Anul 1993, Numar, 23
Total, Timis, Anul 1994, Numar, 23
Total, Timis, Anul 1995, Numar, 40
Total, Timis, Anul 1996, Numar, 49
Total, Timis, Anul 1997, Numar, 54
Total, Timis, Anul 1998, Numar, 54
Total, Timis, Anul 1999, Numar, 62
Total, Timis, Anul 2000, Numar, 59
Total, Timis, Anul 2001, Numar, 59
Total, Timis, Anul 2002, Numar, 58
Total, Timis, Anul 2003, Numar, 57
Total, Timis, Anul 2004, Numar, 55
Total, Timis, Anul 2005, Numar, 53
Total, Timis, Anul 2006, Numar, 53
Total, Timis, Anul 2007, Numar, 49
Total, Timis, Anul 2008, Numar, 48
Total, Timis, Anul 2009, Numar, 47
Total, Timis, Anul 2010, Numar, 45
Total, Timis, Anul 2011, Numar, 42
Total, Timis, Anul 2012, Numar, 44
Total, Timis, Anul 2013, Numar, 42
Total, Timis, Anul 2014, Numar, 39
Total, Timis, Anul 2015, Numar, 39
Total, Timis, Anul 2016, Numar, 39
Total, Timis, Anul 2017, Numar, 39
Proprietate publica, TOTAL, Anul 1990, Numar, 186
Proprietate publica, TOTAL, Anul 1991, Numar, 257
Proprietate publica, TOTAL, Anul 1992, Numar, 261
Proprietate publica, TOTAL, Anul 1993, Numar, 262
Proprietate publica, TOTAL, Anul 1994, Numar, 262
Proprietate publica, TOTAL, Anul 1995, Numar, 437
Proprietate publica, TOTAL, Anul 1996, Numar, 324
Proprietate publica, TOTAL, Anul 1997, Numar, 342
Proprietate publica, TOTAL, Anul 1998, Numar, 361
Proprietate publica, TOTAL, Anul 1999, Numar, 411
Proprietate publica, TOTAL, Anul 2000, Numar, 438
Proprietate publica, TOTAL, Anul 2001, Numar, 465
Proprietate publica, TOTAL, Anul 2002, Numar, 489
Proprietate publica, TOTAL, Anul 2003, Numar, 513
Proprietate publica, TOTAL, Anul 2004, Numar, 510
Proprietate publica, TOTAL, Anul 2005, Numar, 554
Proprietate publica, TOTAL, Anul 2006, Numar, 558
Proprietate publica, TOTAL, Anul 2007, Numar, 432
Proprietate publica, TOTAL, Anul 2008, Numar, 420
Proprietate publica, TOTAL, Anul 2009, Numar, 417
Proprietate publica, TOTAL, Anul 2010, Numar, 422
Proprietate publica, TOTAL, Anul 2011, Numar, 410
Proprietate publica, TOTAL, Anul 2012, Numar, 405
Proprietate publica, TOTAL, Anul 2013, Numar, 405
Proprietate publica, TOTAL, Anul 2014, Numar, 403
Proprietate publica, TOTAL, Anul 2015, Numar, 409
Proprietate publica, TOTAL, Anul 2016, Numar, 405
Proprietate publica, TOTAL, Anul 2017, Numar, 406
Proprietate publica, MACROREGIUNEA UNU, Anul 1990, Numar, 50
Proprietate publica, MACROREGIUNEA UNU, Anul 1991, Numar, 73
Proprietate publica, MACROREGIUNEA UNU, Anul 1992, Numar, 73
Proprietate publica, MACROREGIUNEA UNU, Anul 1993, Numar, 75
Proprietate publica, MACROREGIUNEA UNU, Anul 1994, Numar, 76
Proprietate publica, MACROREGIUNEA UNU, Anul 1995, Numar, 113
Proprietate publica, MACROREGIUNEA UNU, Anul 1996, Numar, 97
Proprietate publica, MACROREGIUNEA UNU, Anul 1997, Numar, 102
Proprietate publica, MACROREGIUNEA UNU, Anul 1998, Numar, 110
Proprietate publica, MACROREGIUNEA UNU, Anul 1999, Numar, 130
Proprietate publica, MACROREGIUNEA UNU, Anul 2000, Numar, 133
Proprietate publica, MACROREGIUNEA UNU, Anul 2001, Numar, 153
Proprietate publica, MACROREGIUNEA UNU, Anul 2002, Numar, 163
Proprietate publica, MACROREGIUNEA UNU, Anul 2003, Numar, 167
Proprietate publica, MACROREGIUNEA UNU, Anul 2004, Numar, 166
Proprietate publica, MACROREGIUNEA UNU, Anul 2005, Numar, 184
Proprietate publica, MACROREGIUNEA UNU, Anul 2006, Numar, 186
Proprietate publica, MACROREGIUNEA UNU, Anul 2007, Numar, 138
Proprietate publica, MACROREGIUNEA UNU, Anul 2008, Numar, 131
Proprietate publica, MACROREGIUNEA UNU, Anul 2009, Numar, 128
Proprietate publica, MACROREGIUNEA UNU, Anul 2010, Numar, 130
Proprietate publica, MACROREGIUNEA UNU, Anul 2011, Numar, 122
Proprietate publica, MACROREGIUNEA UNU, Anul 2012, Numar, 117
Proprietate publica, MACROREGIUNEA UNU, Anul 2013, Numar, 121
Proprietate publica, MACROREGIUNEA UNU, Anul 2014, Numar, 122
Proprietate publica, MACROREGIUNEA UNU, Anul 2015, Numar, 122
Proprietate publica, MACROREGIUNEA UNU, Anul 2016, Numar, 122
Proprietate publica, MACROREGIUNEA UNU, Anul 2017, Numar, 123
Proprietate publica, Regiunea NORD-VEST, Anul 1990, Numar, 32
Proprietate publica, Regiunea NORD-VEST, Anul 1991, Numar, 43
Proprietate publica, Regiunea NORD-VEST, Anul 1992, Numar, 43
Proprietate publica, Regiunea NORD-VEST, Anul 1993, Numar, 44
Proprietate publica, Regiunea NORD-VEST, Anul 1994, Numar, 45
Proprietate publica, Regiunea NORD-VEST, Anul 1995, Numar, 69
Proprietate publica, Regiunea NORD-VEST, Anul 1996, Numar, 59
Proprietate publica, Regiunea NORD-VEST, Anul 1997, Numar, 61
Proprietate publica, Regiunea NORD-VEST, Anul 1998, Numar, 69
Proprietate publica, Regiunea NORD-VEST, Anul 1999, Numar, 81
Proprietate publica, Regiunea NORD-VEST, Anul 2000, Numar, 82
Proprietate publica, Regiunea NORD-VEST, Anul 2001, Numar, 89
Proprietate publica, Regiunea NORD-VEST, Anul 2002, Numar, 91
Proprietate publica, Regiunea NORD-VEST, Anul 2003, Numar, 93
Proprietate publica, Regiunea NORD-VEST, Anul 2004, Numar, 93
Proprietate publica, Regiunea NORD-VEST, Anul 2005, Numar, 104
Proprietate publica, Regiunea NORD-VEST, Anul 2006, Numar, 104
Proprietate publica, Regiunea NORD-VEST, Anul 2007, Numar, 77
Proprietate publica, Regiunea NORD-VEST, Anul 2008, Numar, 75
Proprietate publica, Regiunea NORD-VEST, Anul 2009, Numar, 73
Proprietate publica, Regiunea NORD-VEST, Anul 2010, Numar, 73
Proprietate publica, Regiunea NORD-VEST, Anul 2011, Numar, 69
Proprietate publica, Regiunea NORD-VEST, Anul 2012, Numar, 66
Proprietate publica, Regiunea NORD-VEST, Anul 2013, Numar, 70
Proprietate publica, Regiunea NORD-VEST, Anul 2014, Numar, 70
Proprietate publica, Regiunea NORD-VEST, Anul 2015, Numar, 70
Proprietate publica, Regiunea NORD-VEST, Anul 2016, Numar, 70
Proprietate publica, Regiunea NORD-VEST, Anul 2017, Numar, 70
Proprietate publica, Bihor, Anul 1990, Numar, 3
Proprietate publica, Bihor, Anul 1991, Numar, 6
Proprietate publica, Bihor, Anul 1992, Numar, 6
Proprietate publica, Bihor, Anul 1993, Numar, 8
Proprietate publica, Bihor, Anul 1994, Numar, 8
Proprietate publica, Bihor, Anul 1995, Numar, 15
Proprietate publica, Bihor, Anul 1996, Numar, 14
Proprietate publica, Bihor, Anul 1997, Numar, 14
Proprietate publica, Bihor, Anul 1998, Numar, 16
Proprietate publica, Bihor, Anul 1999, Numar, 18
Proprietate publica, Bihor, Anul 2000, Numar, 19
Proprietate publica, Bihor, Anul 2001, Numar, 22
Proprietate publica, Bihor, Anul 2002, Numar, 25
Proprietate publica, Bihor, Anul 2003, Numar, 25
Proprietate publica, Bihor, Anul 2004, Numar, 25
Proprietate publica, Bihor, Anul 2005, Numar, 26
Proprietate publica, Bihor, Anul 2006, Numar, 26
Proprietate publica, Bihor, Anul 2007, Numar, 20
Proprietate publica, Bihor, Anul 2008, Numar, 19
Proprietate publica, Bihor, Anul 2009, Numar, 19
Proprietate publica, Bihor, Anul 2010, Numar, 19
Proprietate publica, Bihor, Anul 2011, Numar, 16
Proprietate publica, Bihor, Anul 2012, Numar, 16
Proprietate publica, Bihor, Anul 2013, Numar, 16
Proprietate publica, Bihor, Anul 2014, Numar, 16
Proprietate publica, Bihor, Anul 2015, Numar, 16
Proprietate publica, Bihor, Anul 2016, Numar, 16
Proprietate publica, Bihor, Anul 2017, Numar, 16
Proprietate publica, Bistrita-Nasaud, Anul 1991, Numar, 1
Proprietate publica, Bistrita-Nasaud, Anul 1992, Numar, 1
Proprietate publica, Bistrita-Nasaud, Anul 1997, Numar, 1
Proprietate publica, Bistrita-Nasaud, Anul 1998, Numar, 2
Proprietate publica, Bistrita-Nasaud, Anul 1999, Numar, 6
Proprietate publica, Bistrita-Nasaud, Anul 2000, Numar, 6
Proprietate publica, Bistrita-Nasaud, Anul 2001, Numar, 8
Proprietate publica, Bistrita-Nasaud, Anul 2002, Numar, 8
Proprietate publica, Bistrita-Nasaud, Anul 2003, Numar, 7
Proprietate publica, Bistrita-Nasaud, Anul 2004, Numar, 7
Proprietate publica, Bistrita-Nasaud, Anul 2005, Numar, 10
Proprietate publica, Bistrita-Nasaud, Anul 2006, Numar, 9
Proprietate publica, Bistrita-Nasaud, Anul 2007, Numar, 3
Proprietate publica, Bistrita-Nasaud, Anul 2008, Numar, 3
Proprietate publica, Bistrita-Nasaud, Anul 2009, Numar, 3
Proprietate publica, Bistrita-Nasaud, Anul 2010, Numar, 3
Proprietate publica, Bistrita-Nasaud, Anul 2011, Numar, 3
Proprietate publica, Bistrita-Nasaud, Anul 2012, Numar, 3
Proprietate publica, Bistrita-Nasaud, Anul 2013, Numar, 3
Proprietate publica, Bistrita-Nasaud, Anul 2014, Numar, 3
Proprietate publica, Bistrita-Nasaud, Anul 2015, Numar, 3
Proprietate publica, Bistrita-Nasaud, Anul 2016, Numar, 3
Proprietate publica, Bistrita-Nasaud, Anul 2017, Numar, 3
Proprietate publica, Cluj, Anul 1990, Numar, 26
Proprietate publica, Cluj, Anul 1991, Numar, 30
Proprietate publica, Cluj, Anul 1992, Numar, 30
Proprietate publica, Cluj, Anul 1993, Numar, 31
Proprietate publica, Cluj, Anul 1994, Numar, 32
Proprietate publica, Cluj, Anul 1995, Numar, 47
Proprietate publica, Cluj, Anul 1996, Numar, 40
Proprietate publica, Cluj, Anul 1997, Numar, 41
Proprietate publica, Cluj, Anul 1998, Numar, 42
Proprietate publica, Cluj, Anul 1999, Numar, 43
Proprietate publica, Cluj, Anul 2000, Numar, 43
Proprietate publica, Cluj, Anul 2001, Numar, 45
Proprietate publica, Cluj, Anul 2002, Numar, 45
Proprietate publica, Cluj, Anul 2003, Numar, 48
Proprietate publica, Cluj, Anul 2004, Numar, 48
Proprietate publica, Cluj, Anul 2005, Numar, 49
Proprietate publica, Cluj, Anul 2006, Numar, 51
Proprietate publica, Cluj, Anul 2007, Numar, 45
Proprietate publica, Cluj, Anul 2008, Numar, 44
Proprietate publica, Cluj, Anul 2009, Numar, 42
Proprietate publica, Cluj, Anul 2010, Numar, 42
Proprietate publica, Cluj, Anul 2011, Numar, 41
Proprietate publica, Cluj, Anul 2012, Numar, 42
Proprietate publica, Cluj, Anul 2013, Numar, 42
Proprietate publica, Cluj, Anul 2014, Numar, 42
Proprietate publica, Cluj, Anul 2015, Numar, 42
Proprietate publica, Cluj, Anul 2016, Numar, 42
Proprietate publica, Cluj, Anul 2017, Numar, 42
Proprietate publica, Maramures, Anul 1990, Numar, 3
Proprietate publica, Maramures, Anul 1991, Numar, 5
Proprietate publica, Maramures, Anul 1992, Numar, 5
Proprietate publica, Maramures, Anul 1993, Numar, 5
Proprietate publica, Maramures, Anul 1994, Numar, 5
Proprietate publica, Maramures, Anul 1995, Numar, 7
Proprietate publica, Maramures, Anul 1996, Numar, 5
Proprietate publica, Maramures, Anul 1997, Numar, 5
Proprietate publica, Maramures, Anul 1998, Numar, 7
Proprietate publica, Maramures, Anul 1999, Numar, 8
Proprietate publica, Maramures, Anul 2000, Numar, 8
Proprietate publica, Maramures, Anul 2001, Numar, 8
Proprietate publica, Maramures, Anul 2002, Numar, 7
Proprietate publica, Maramures, Anul 2003, Numar, 7
Proprietate publica, Maramures, Anul 2004, Numar, 7
Proprietate publica, Maramures, Anul 2005, Numar, 8
Proprietate publica, Maramures, Anul 2006, Numar, 8
Proprietate publica, Maramures, Anul 2007, Numar, 5
Proprietate publica, Maramures, Anul 2008, Numar, 5
Proprietate publica, Maramures, Anul 2009, Numar, 5
Proprietate publica, Maramures, Anul 2010, Numar, 5
Proprietate publica, Maramures, Anul 2011, Numar, 5
Proprietate publica, Maramures, Anul 2012, Numar, 1
Proprietate publica, Maramures, Anul 2013, Numar, 5
Proprietate publica, Maramures, Anul 2014, Numar, 5
Proprietate publica, Maramures, Anul 2015, Numar, 5
Proprietate publica, Maramures, Anul 2016, Numar, 5
Proprietate publica, Maramures, Anul 2017, Numar, 5
Proprietate publica, Satu Mare, Anul 1991, Numar, 1
Proprietate publica, Satu Mare, Anul 1992, Numar, 1
Proprietate publica, Satu Mare, Anul 1998, Numar, 1
Proprietate publica, Satu Mare, Anul 1999, Numar, 3
Proprietate publica, Satu Mare, Anul 2000, Numar, 3
Proprietate publica, Satu Mare, Anul 2001, Numar, 3
Proprietate publica, Satu Mare, Anul 2002, Numar, 3
Proprietate publica, Satu Mare, Anul 2003, Numar, 3
Proprietate publica, Satu Mare, Anul 2004, Numar, 3
Proprietate publica, Satu Mare, Anul 2005, Numar, 6
Proprietate publica, Satu Mare, Anul 2006, Numar, 5
Proprietate publica, Satu Mare, Anul 2007, Numar, 2
Proprietate publica, Satu Mare, Anul 2008, Numar, 2
Proprietate publica, Satu Mare, Anul 2009, Numar, 2
Proprietate publica, Satu Mare, Anul 2010, Numar, 2
Proprietate publica, Satu Mare, Anul 2011, Numar, 2
Proprietate publica, Satu Mare, Anul 2012, Numar, 2
Proprietate publica, Satu Mare, Anul 2013, Numar, 2
Proprietate publica, Satu Mare, Anul 2014, Numar, 2
Proprietate publica, Satu Mare, Anul 2015, Numar, 2
Proprietate publica, Satu Mare, Anul 2016, Numar, 2
Proprietate publica, Satu Mare, Anul 2017, Numar, 2
Proprietate publica, Salaj, Anul 1998, Numar, 1
Proprietate publica, Salaj, Anul 1999, Numar, 3
Proprietate publica, Salaj, Anul 2000, Numar, 3
Proprietate publica, Salaj, Anul 2001, Numar, 3
Proprietate publica, Salaj, Anul 2002, Numar, 3
Proprietate publica, Salaj, Anul 2003, Numar, 3
Proprietate publica, Salaj, Anul 2004, Numar, 3
Proprietate publica, Salaj, Anul 2005, Numar, 5
Proprietate publica, Salaj, Anul 2006, Numar, 5
Proprietate publica, Salaj, Anul 2007, Numar, 2
Proprietate publica, Salaj, Anul 2008, Numar, 2
Proprietate publica, Salaj, Anul 2009, Numar, 2
Proprietate publica, Salaj, Anul 2010, Numar, 2
Proprietate publica, Salaj, Anul 2011, Numar, 2
Proprietate publica, Salaj, Anul 2012, Numar, 2
Proprietate publica, Salaj, Anul 2013, Numar, 2
Proprietate publica, Salaj, Anul 2014, Numar, 2
Proprietate publica, Salaj, Anul 2015, Numar, 2
Proprietate publica, Salaj, Anul 2016, Numar, 2
Proprietate publica, Salaj, Anul 2017, Numar, 2
Proprietate publica, Regiunea CENTRU, Anul 1990, Numar, 18
Proprietate publica, Regiunea CENTRU, Anul 1991, Numar, 30
Proprietate publica, Regiunea CENTRU, Anul 1992, Numar, 30
Proprietate publica, Regiunea CENTRU, Anul 1993, Numar, 31
Proprietate publica, Regiunea CENTRU, Anul 1994, Numar, 31
Proprietate publica, Regiunea CENTRU, Anul 1995, Numar, 44
Proprietate publica, Regiunea CENTRU, Anul 1996, Numar, 38
Proprietate publica, Regiunea CENTRU, Anul 1997, Numar, 41
Proprietate publica, Regiunea CENTRU, Anul 1998, Numar, 41
Proprietate publica, Regiunea CENTRU, Anul 1999, Numar, 49
Proprietate publica, Regiunea CENTRU, Anul 2000, Numar, 51
Proprietate publica, Regiunea CENTRU, Anul 2001, Numar, 64
Proprietate publica, Regiunea CENTRU, Anul 2002, Numar, 72
Proprietate publica, Regiunea CENTRU, Anul 2003, Numar, 74
Proprietate publica, Regiunea CENTRU, Anul 2004, Numar, 73
Proprietate publica, Regiunea CENTRU, Anul 2005, Numar, 80
Proprietate publica, Regiunea CENTRU, Anul 2006, Numar, 82
Proprietate publica, Regiunea CENTRU, Anul 2007, Numar, 61
Proprietate publica, Regiunea CENTRU, Anul 2008, Numar, 56
Proprietate publica, Regiunea CENTRU, Anul 2009, Numar, 55
Proprietate publica, Regiunea CENTRU, Anul 2010, Numar, 57
Proprietate publica, Regiunea CENTRU, Anul 2011, Numar, 53
Proprietate publica, Regiunea CENTRU, Anul 2012, Numar, 51
Proprietate publica, Regiunea CENTRU, Anul 2013, Numar, 51
Proprietate publica, Regiunea CENTRU, Anul 2014, Numar, 52
Proprietate publica, Regiunea CENTRU, Anul 2015, Numar, 52
Proprietate publica, Regiunea CENTRU, Anul 2016, Numar, 52
Proprietate publica, Regiunea CENTRU, Anul 2017, Numar, 53
Proprietate publica, Alba, Anul 1991, Numar, 2
Proprietate publica, Alba, Anul 1992, Numar, 2
Proprietate publica, Alba, Anul 1993, Numar, 3
Proprietate publica, Alba, Anul 1994, Numar, 3
Proprietate publica, Alba, Anul 1995, Numar, 10
Proprietate publica, Alba, Anul 1996, Numar, 5
Proprietate publica, Alba, Anul 1997, Numar, 5
Proprietate publica, Alba, Anul 1998, Numar, 5
Proprietate publica, Alba, Anul 1999, Numar, 7
Proprietate publica, Alba, Anul 2000, Numar, 8
Proprietate publica, Alba, Anul 2001, Numar, 9
Proprietate publica, Alba, Anul 2002, Numar, 9
Proprietate publica, Alba, Anul 2003, Numar, 9
Proprietate publica, Alba, Anul 2004, Numar, 8
Proprietate publica, Alba, Anul 2005, Numar, 10
Proprietate publica, Alba, Anul 2006, Numar, 10
