Niveluri de instruire, Medii de rezidenta, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar, Valoare
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2011, Numar, 744
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2012, Numar, 751
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2013, Numar, 761
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2014, Numar, 746
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2015, Numar, 737
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2016, Numar, 730
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2017, Numar, 731
Total, Total, Dolj, Anul 1996, Numar, 875
Total, Total, Dolj, Anul 1997, Numar, 874
Total, Total, Dolj, Anul 1998, Numar, 876
Total, Total, Dolj, Anul 1999, Numar, 809
Total, Total, Dolj, Anul 2000, Numar, 632
Total, Total, Dolj, Anul 2001, Numar, 562
Total, Total, Dolj, Anul 2002, Numar, 566
Total, Total, Dolj, Anul 2003, Numar, 423
Total, Total, Dolj, Anul 2004, Numar, 412
Total, Total, Dolj, Anul 2005, Numar, 253
Total, Total, Dolj, Anul 2006, Numar, 249
Total, Total, Dolj, Anul 2007, Numar, 249
Total, Total, Dolj, Anul 2008, Numar, 249
Total, Total, Dolj, Anul 2009, Numar, 245
Total, Total, Dolj, Anul 2010, Numar, 210
Total, Total, Dolj, Anul 2011, Numar, 199
Total, Total, Dolj, Anul 2012, Numar, 203
Total, Total, Dolj, Anul 2013, Numar, 208
Total, Total, Dolj, Anul 2014, Numar, 211
Total, Total, Dolj, Anul 2015, Numar, 209
Total, Total, Dolj, Anul 2016, Numar, 210
Total, Total, Dolj, Anul 2017, Numar, 211
Total, Total, Gorj, Anul 1996, Numar, 847
Total, Total, Gorj, Anul 1997, Numar, 830
Total, Total, Gorj, Anul 1998, Numar, 854
Total, Total, Gorj, Anul 1999, Numar, 809
Total, Total, Gorj, Anul 2000, Numar, 785
Total, Total, Gorj, Anul 2001, Numar, 780
Total, Total, Gorj, Anul 2002, Numar, 525
Total, Total, Gorj, Anul 2003, Numar, 219
Total, Total, Gorj, Anul 2004, Numar, 218
Total, Total, Gorj, Anul 2005, Numar, 185
Total, Total, Gorj, Anul 2006, Numar, 175
Total, Total, Gorj, Anul 2007, Numar, 119
Total, Total, Gorj, Anul 2008, Numar, 120
Total, Total, Gorj, Anul 2009, Numar, 116
Total, Total, Gorj, Anul 2010, Numar, 110
Total, Total, Gorj, Anul 2011, Numar, 110
Total, Total, Gorj, Anul 2012, Numar, 116
Total, Total, Gorj, Anul 2013, Numar, 116
Total, Total, Gorj, Anul 2014, Numar, 120
Total, Total, Gorj, Anul 2015, Numar, 120
Total, Total, Gorj, Anul 2016, Numar, 117
Total, Total, Gorj, Anul 2017, Numar, 117
Total, Total, Mehedinti, Anul 1996, Numar, 570
Total, Total, Mehedinti, Anul 1997, Numar, 563
Total, Total, Mehedinti, Anul 1998, Numar, 564
Total, Total, Mehedinti, Anul 1999, Numar, 548
Total, Total, Mehedinti, Anul 2000, Numar, 460
Total, Total, Mehedinti, Anul 2001, Numar, 384
Total, Total, Mehedinti, Anul 2002, Numar, 375
Total, Total, Mehedinti, Anul 2003, Numar, 180
Total, Total, Mehedinti, Anul 2004, Numar, 136
Total, Total, Mehedinti, Anul 2005, Numar, 116
Total, Total, Mehedinti, Anul 2006, Numar, 118
Total, Total, Mehedinti, Anul 2007, Numar, 115
Total, Total, Mehedinti, Anul 2008, Numar, 116
Total, Total, Mehedinti, Anul 2009, Numar, 118
Total, Total, Mehedinti, Anul 2010, Numar, 116
Total, Total, Mehedinti, Anul 2011, Numar, 110
Total, Total, Mehedinti, Anul 2012, Numar, 108
Total, Total, Mehedinti, Anul 2013, Numar, 109
Total, Total, Mehedinti, Anul 2014, Numar, 110
Total, Total, Mehedinti, Anul 2015, Numar, 109
Total, Total, Mehedinti, Anul 2016, Numar, 107
Total, Total, Mehedinti, Anul 2017, Numar, 107
Total, Total, Olt, Anul 1996, Numar, 785
Total, Total, Olt, Anul 1997, Numar, 759
Total, Total, Olt, Anul 1998, Numar, 761
Total, Total, Olt, Anul 1999, Numar, 646
Total, Total, Olt, Anul 2000, Numar, 549
Total, Total, Olt, Anul 2001, Numar, 560
Total, Total, Olt, Anul 2002, Numar, 557
Total, Total, Olt, Anul 2003, Numar, 465
Total, Total, Olt, Anul 2004, Numar, 442
Total, Total, Olt, Anul 2005, Numar, 480
Total, Total, Olt, Anul 2006, Numar, 176
Total, Total, Olt, Anul 2007, Numar, 185
Total, Total, Olt, Anul 2008, Numar, 189
Total, Total, Olt, Anul 2009, Numar, 187
Total, Total, Olt, Anul 2010, Numar, 187
Total, Total, Olt, Anul 2011, Numar, 176
Total, Total, Olt, Anul 2012, Numar, 176
Total, Total, Olt, Anul 2013, Numar, 175
Total, Total, Olt, Anul 2014, Numar, 167
Total, Total, Olt, Anul 2015, Numar, 165
Total, Total, Olt, Anul 2016, Numar, 165
Total, Total, Olt, Anul 2017, Numar, 163
Total, Total, Valcea, Anul 1996, Numar, 834
Total, Total, Valcea, Anul 1997, Numar, 756
Total, Total, Valcea, Anul 1998, Numar, 772
Total, Total, Valcea, Anul 1999, Numar, 755
Total, Total, Valcea, Anul 2000, Numar, 720
Total, Total, Valcea, Anul 2001, Numar, 737
Total, Total, Valcea, Anul 2002, Numar, 724
Total, Total, Valcea, Anul 2003, Numar, 228
Total, Total, Valcea, Anul 2004, Numar, 228
Total, Total, Valcea, Anul 2005, Numar, 229
Total, Total, Valcea, Anul 2006, Numar, 167
Total, Total, Valcea, Anul 2007, Numar, 168
Total, Total, Valcea, Anul 2008, Numar, 168
Total, Total, Valcea, Anul 2009, Numar, 170
Total, Total, Valcea, Anul 2010, Numar, 147
Total, Total, Valcea, Anul 2011, Numar, 149
Total, Total, Valcea, Anul 2012, Numar, 148
Total, Total, Valcea, Anul 2013, Numar, 153
Total, Total, Valcea, Anul 2014, Numar, 138
Total, Total, Valcea, Anul 2015, Numar, 134
Total, Total, Valcea, Anul 2016, Numar, 131
Total, Total, Valcea, Anul 2017, Numar, 133
Total, Total, Regiunea VEST, Anul 1996, Numar, 2919
Total, Total, Regiunea VEST, Anul 1997, Numar, 2851
Total, Total, Regiunea VEST, Anul 1998, Numar, 2880
Total, Total, Regiunea VEST, Anul 1999, Numar, 2642
Total, Total, Regiunea VEST, Anul 2000, Numar, 2362
Total, Total, Regiunea VEST, Anul 2001, Numar, 2359
Total, Total, Regiunea VEST, Anul 2002, Numar, 2327
Total, Total, Regiunea VEST, Anul 2003, Numar, 1665
Total, Total, Regiunea VEST, Anul 2004, Numar, 1502
Total, Total, Regiunea VEST, Anul 2005, Numar, 1245
Total, Total, Regiunea VEST, Anul 2006, Numar, 835
Total, Total, Regiunea VEST, Anul 2007, Numar, 784
Total, Total, Regiunea VEST, Anul 2008, Numar, 784
Total, Total, Regiunea VEST, Anul 2009, Numar, 775
Total, Total, Regiunea VEST, Anul 2010, Numar, 682
Total, Total, Regiunea VEST, Anul 2011, Numar, 636
Total, Total, Regiunea VEST, Anul 2012, Numar, 669
Total, Total, Regiunea VEST, Anul 2013, Numar, 633
Total, Total, Regiunea VEST, Anul 2014, Numar, 624
Total, Total, Regiunea VEST, Anul 2015, Numar, 627
Total, Total, Regiunea VEST, Anul 2016, Numar, 617
Total, Total, Regiunea VEST, Anul 2017, Numar, 622
Total, Total, Arad, Anul 1996, Numar, 687
Total, Total, Arad, Anul 1997, Numar, 678
Total, Total, Arad, Anul 1998, Numar, 676
Total, Total, Arad, Anul 1999, Numar, 621
Total, Total, Arad, Anul 2000, Numar, 604
Total, Total, Arad, Anul 2001, Numar, 588
Total, Total, Arad, Anul 2002, Numar, 578
Total, Total, Arad, Anul 2003, Numar, 431
Total, Total, Arad, Anul 2004, Numar, 266
Total, Total, Arad, Anul 2005, Numar, 258
Total, Total, Arad, Anul 2006, Numar, 182
Total, Total, Arad, Anul 2007, Numar, 183
Total, Total, Arad, Anul 2008, Numar, 181
Total, Total, Arad, Anul 2009, Numar, 178
Total, Total, Arad, Anul 2010, Numar, 163
Total, Total, Arad, Anul 2011, Numar, 130
Total, Total, Arad, Anul 2012, Numar, 176
Total, Total, Arad, Anul 2013, Numar, 166
Total, Total, Arad, Anul 2014, Numar, 163
Total, Total, Arad, Anul 2015, Numar, 165
Total, Total, Arad, Anul 2016, Numar, 156
Total, Total, Arad, Anul 2017, Numar, 156
Total, Total, Caras-Severin, Anul 1996, Numar, 628
Total, Total, Caras-Severin, Anul 1997, Numar, 613
Total, Total, Caras-Severin, Anul 1998, Numar, 610
Total, Total, Caras-Severin, Anul 1999, Numar, 559
Total, Total, Caras-Severin, Anul 2000, Numar, 548
Total, Total, Caras-Severin, Anul 2001, Numar, 545
Total, Total, Caras-Severin, Anul 2002, Numar, 541
Total, Total, Caras-Severin, Anul 2003, Numar, 424
Total, Total, Caras-Severin, Anul 2004, Numar, 423
Total, Total, Caras-Severin, Anul 2005, Numar, 186
Total, Total, Caras-Severin, Anul 2006, Numar, 178
Total, Total, Caras-Severin, Anul 2007, Numar, 146
Total, Total, Caras-Severin, Anul 2008, Numar, 146
Total, Total, Caras-Severin, Anul 2009, Numar, 143
Total, Total, Caras-Severin, Anul 2010, Numar, 138
Total, Total, Caras-Severin, Anul 2011, Numar, 129
Total, Total, Caras-Severin, Anul 2012, Numar, 127
Total, Total, Caras-Severin, Anul 2013, Numar, 124
Total, Total, Caras-Severin, Anul 2014, Numar, 123
Total, Total, Caras-Severin, Anul 2015, Numar, 123
Total, Total, Caras-Severin, Anul 2016, Numar, 122
Total, Total, Caras-Severin, Anul 2017, Numar, 123
Total, Total, Hunedoara, Anul 1996, Numar, 779
Total, Total, Hunedoara, Anul 1997, Numar, 758
Total, Total, Hunedoara, Anul 1998, Numar, 773
Total, Total, Hunedoara, Anul 1999, Numar, 687
Total, Total, Hunedoara, Anul 2000, Numar, 478
Total, Total, Hunedoara, Anul 2001, Numar, 470
Total, Total, Hunedoara, Anul 2002, Numar, 460
Total, Total, Hunedoara, Anul 2003, Numar, 207
Total, Total, Hunedoara, Anul 2004, Numar, 212
Total, Total, Hunedoara, Anul 2005, Numar, 210
Total, Total, Hunedoara, Anul 2006, Numar, 178
Total, Total, Hunedoara, Anul 2007, Numar, 176
Total, Total, Hunedoara, Anul 2008, Numar, 173
Total, Total, Hunedoara, Anul 2009, Numar, 169
Total, Total, Hunedoara, Anul 2010, Numar, 111
Total, Total, Hunedoara, Anul 2011, Numar, 111
Total, Total, Hunedoara, Anul 2012, Numar, 112
Total, Total, Hunedoara, Anul 2013, Numar, 120
Total, Total, Hunedoara, Anul 2014, Numar, 115
Total, Total, Hunedoara, Anul 2015, Numar, 113
Total, Total, Hunedoara, Anul 2016, Numar, 113
Total, Total, Hunedoara, Anul 2017, Numar, 112
Total, Total, Timis, Anul 1996, Numar, 825
Total, Total, Timis, Anul 1997, Numar, 802
Total, Total, Timis, Anul 1998, Numar, 821
Total, Total, Timis, Anul 1999, Numar, 775
Total, Total, Timis, Anul 2000, Numar, 732
Total, Total, Timis, Anul 2001, Numar, 756
Total, Total, Timis, Anul 2002, Numar, 748
Total, Total, Timis, Anul 2003, Numar, 603
Total, Total, Timis, Anul 2004, Numar, 601
Total, Total, Timis, Anul 2005, Numar, 591
Total, Total, Timis, Anul 2006, Numar, 297
Total, Total, Timis, Anul 2007, Numar, 279
Total, Total, Timis, Anul 2008, Numar, 284
Total, Total, Timis, Anul 2009, Numar, 285
Total, Total, Timis, Anul 2010, Numar, 270
Total, Total, Timis, Anul 2011, Numar, 266
Total, Total, Timis, Anul 2012, Numar, 254
Total, Total, Timis, Anul 2013, Numar, 223
Total, Total, Timis, Anul 2014, Numar, 223
Total, Total, Timis, Anul 2015, Numar, 226
Total, Total, Timis, Anul 2016, Numar, 226
Total, Total, Timis, Anul 2017, Numar, 231
