Niveluri de instruire, Medii de rezidenta, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar, Valoare
Total, Total, Satu Mare, Anul 1996, Numar, 622
Total, Total, Satu Mare, Anul 1997, Numar, 590
Total, Total, Satu Mare, Anul 1998, Numar, 605
Total, Total, Satu Mare, Anul 1999, Numar, 562
Total, Total, Satu Mare, Anul 2000, Numar, 512
Total, Total, Satu Mare, Anul 2001, Numar, 517
Total, Total, Satu Mare, Anul 2002, Numar, 501
Total, Total, Satu Mare, Anul 2003, Numar, 505
Total, Total, Satu Mare, Anul 2004, Numar, 241
Total, Total, Satu Mare, Anul 2005, Numar, 149
Total, Total, Satu Mare, Anul 2006, Numar, 145
Total, Total, Satu Mare, Anul 2007, Numar, 145
Total, Total, Satu Mare, Anul 2008, Numar, 147
Total, Total, Satu Mare, Anul 2009, Numar, 154
Total, Total, Satu Mare, Anul 2010, Numar, 141
Total, Total, Satu Mare, Anul 2011, Numar, 142
Total, Total, Satu Mare, Anul 2012, Numar, 139
Total, Total, Satu Mare, Anul 2013, Numar, 140
Total, Total, Satu Mare, Anul 2014, Numar, 143
Total, Total, Satu Mare, Anul 2015, Numar, 144
Total, Total, Satu Mare, Anul 2016, Numar, 139
Total, Total, Satu Mare, Anul 2017, Numar, 136
Total, Total, Salaj, Anul 1996, Numar, 538
Total, Total, Salaj, Anul 1997, Numar, 527
Total, Total, Salaj, Anul 1998, Numar, 540
Total, Total, Salaj, Anul 1999, Numar, 512
Total, Total, Salaj, Anul 2000, Numar, 506
Total, Total, Salaj, Anul 2001, Numar, 512
Total, Total, Salaj, Anul 2002, Numar, 508
Total, Total, Salaj, Anul 2003, Numar, 161
Total, Total, Salaj, Anul 2004, Numar, 160
Total, Total, Salaj, Anul 2005, Numar, 153
Total, Total, Salaj, Anul 2006, Numar, 153
Total, Total, Salaj, Anul 2007, Numar, 131
Total, Total, Salaj, Anul 2008, Numar, 135
Total, Total, Salaj, Anul 2009, Numar, 133
Total, Total, Salaj, Anul 2010, Numar, 119
Total, Total, Salaj, Anul 2011, Numar, 109
Total, Total, Salaj, Anul 2012, Numar, 97
Total, Total, Salaj, Anul 2013, Numar, 113
Total, Total, Salaj, Anul 2014, Numar, 113
Total, Total, Salaj, Anul 2015, Numar, 113
Total, Total, Salaj, Anul 2016, Numar, 114
Total, Total, Salaj, Anul 2017, Numar, 111
Total, Total, Regiunea CENTRU, Anul 1996, Numar, 3896
Total, Total, Regiunea CENTRU, Anul 1997, Numar, 3821
Total, Total, Regiunea CENTRU, Anul 1998, Numar, 3857
