Medii de rezidenta, Sexe, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Ani, Valoare
Total, Total, Cluj, Anul 2005, Ani, 72.83
Total, Total, Cluj, Anul 2006, Ani, 72.86
Total, Total, Cluj, Anul 2007, Ani, 73.31
Total, Total, Cluj, Anul 2008, Ani, 74.48
Total, Total, Cluj, Anul 2009, Ani, 75.01
Total, Total, Cluj, Anul 2010, Ani, 75.31
Total, Total, Cluj, Anul 2011, Ani, 75.68
Total, Total, Cluj, Anul 2012, Ani, 76.05
Total, Total, Cluj, Anul 2013, Ani, 76.37
Total, Total, Cluj, Anul 2014, Ani, 76.66
Total, Total, Cluj, Anul 2015, Ani, 76.71
Total, Total, Cluj, Anul 2016, Ani, 76.93
Total, Total, Cluj, Anul 2017, Ani, 77.27
Total, Total, Maramures, Anul 1990, Ani, 68.62
Total, Total, Maramures, Anul 1991, Ani, 68.55
Total, Total, Maramures, Anul 1992, Ani, 67.9
Total, Total, Maramures, Anul 1993, Ani, 67.64
Total, Total, Maramures, Anul 1994, Ani, 67.77
Total, Total, Maramures, Anul 1995, Ani, 67.73
Total, Total, Maramures, Anul 1996, Ani, 67.91
Total, Total, Maramures, Anul 1997, Ani, 68.15
Total, Total, Maramures, Anul 1998, Ani, 68.42
Total, Total, Maramures, Anul 1999, Ani, 68.57
Total, Total, Maramures, Anul 2000, Ani, 69.01
Total, Total, Maramures, Anul 2001, Ani, 69.83
Total, Total, Maramures, Anul 2002, Ani, 70.07
Total, Total, Maramures, Anul 2003, Ani, 69.92
Total, Total, Maramures, Anul 2004, Ani, 70.18
Total, Total, Maramures, Anul 2005, Ani, 70.76
Total, Total, Maramures, Anul 2006, Ani, 71.17
Total, Total, Maramures, Anul 2007, Ani, 71.53
Total, Total, Maramures, Anul 2008, Ani, 72.82
Total, Total, Maramures, Anul 2009, Ani, 73.31
Total, Total, Maramures, Anul 2010, Ani, 73.3
Total, Total, Maramures, Anul 2011, Ani, 73.39
Total, Total, Maramures, Anul 2012, Ani, 74
Total, Total, Maramures, Anul 2013, Ani, 74.58
Total, Total, Maramures, Anul 2014, Ani, 74.87
Total, Total, Maramures, Anul 2015, Ani, 74.84
Total, Total, Maramures, Anul 2016, Ani, 74.68
Total, Total, Maramures, Anul 2017, Ani, 74.88
Total, Total, Satu Mare, Anul 1990, Ani, 67.14
Total, Total, Satu Mare, Anul 1991, Ani, 67.47
Total, Total, Satu Mare, Anul 1992, Ani, 66.97
Total, Total, Satu Mare, Anul 1993, Ani, 65.96
Total, Total, Satu Mare, Anul 1994, Ani, 65.49
Total, Total, Satu Mare, Anul 1995, Ani, 65.26
Total, Total, Satu Mare, Anul 1996, Ani, 65.41
Total, Total, Satu Mare, Anul 1997, Ani, 65.83
Total, Total, Satu Mare, Anul 1998, Ani, 66.17
Total, Total, Satu Mare, Anul 1999, Ani, 66.67
Total, Total, Satu Mare, Anul 2000, Ani, 67.31
Total, Total, Satu Mare, Anul 2001, Ani, 67.71
Total, Total, Satu Mare, Anul 2002, Ani, 67.72
Total, Total, Satu Mare, Anul 2003, Ani, 67.36
Total, Total, Satu Mare, Anul 2004, Ani, 67.63
Total, Total, Satu Mare, Anul 2005, Ani, 68.27
Total, Total, Satu Mare, Anul 2006, Ani, 69.03
Total, Total, Satu Mare, Anul 2007, Ani, 69.46
Total, Total, Satu Mare, Anul 2008, Ani, 70.71
Total, Total, Satu Mare, Anul 2009, Ani, 71.14
Total, Total, Satu Mare, Anul 2010, Ani, 71.33
Total, Total, Satu Mare, Anul 2011, Ani, 71.91
Total, Total, Satu Mare, Anul 2012, Ani, 72.64
Total, Total, Satu Mare, Anul 2013, Ani, 72.94
Total, Total, Satu Mare, Anul 2014, Ani, 73.09
Total, Total, Satu Mare, Anul 2015, Ani, 73.19
Total, Total, Satu Mare, Anul 2016, Ani, 73.56
Total, Total, Satu Mare, Anul 2017, Ani, 73.56
Total, Total, Salaj, Anul 1990, Ani, 68.93
Total, Total, Salaj, Anul 1991, Ani, 68.61
Total, Total, Salaj, Anul 1992, Ani, 68.07
Total, Total, Salaj, Anul 1993, Ani, 67.62
Total, Total, Salaj, Anul 1994, Ani, 67.25
Total, Total, Salaj, Anul 1995, Ani, 67.6
Total, Total, Salaj, Anul 1996, Ani, 68.09
Total, Total, Salaj, Anul 1997, Ani, 67.78
Total, Total, Salaj, Anul 1998, Ani, 67.91
Total, Total, Salaj, Anul 1999, Ani, 68.71
Total, Total, Salaj, Anul 2000, Ani, 69.51
Total, Total, Salaj, Anul 2001, Ani, 70.17
Total, Total, Salaj, Anul 2002, Ani, 70.05
Total, Total, Salaj, Anul 2003, Ani, 70.08
Total, Total, Salaj, Anul 2004, Ani, 70.31
Total, Total, Salaj, Anul 2005, Ani, 70.43
Total, Total, Salaj, Anul 2006, Ani, 71.04
Total, Total, Salaj, Anul 2007, Ani, 71.51
Total, Total, Salaj, Anul 2008, Ani, 72.25
Total, Total, Salaj, Anul 2009, Ani, 72.47
Total, Total, Salaj, Anul 2010, Ani, 72.51
Total, Total, Salaj, Anul 2011, Ani, 73.27
Total, Total, Salaj, Anul 2012, Ani, 73.68
