ABF - Categorii de cheltuieli  iesiri de bani si in natura, ABF - Principalele categorii sociale, Macroregiuni si regiuni de dezvoltare, Perioade, UM: Lei  lei RON (incepand cu 2005), Valoare
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2015, Lei, 2079.08
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2016, Lei, 2219.99
Total, Total, Regiunea SUD-VEST OLTENIA, Anul 2017, Lei, 2563.76
Total, Total, Regiunea VEST, Anul 2008, Lei, 1992.93
Total, Total, Regiunea VEST, Anul 2009, Lei, 2185.01
Total, Total, Regiunea VEST, Anul 2010, Lei, 2147.51
Total, Total, Regiunea VEST, Anul 2011, Lei, 2374.35
Total, Total, Regiunea VEST, Anul 2012, Lei, 2547.22
Total, Total, Regiunea VEST, Anul 2013, Lei, 2512.43
Total, Total, Regiunea VEST, Anul 2014, Lei, 2437.5
Total, Total, Regiunea VEST, Anul 2015, Lei, 2440.26
Total, Total, Regiunea VEST, Anul 2016, Lei, 2595.36
Total, Total, Regiunea VEST, Anul 2017, Lei, 2763.76
