Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar, Valoare
Satu Mare, Anul 1999, Numar, 5924
Satu Mare, Anul 2000, Numar, 6113
Satu Mare, Anul 2001, Numar, 5761
Satu Mare, Anul 2002, Numar, 5312
Satu Mare, Anul 2003, Numar, 4782
Satu Mare, Anul 2004, Numar, 4356
Satu Mare, Anul 2005, Numar, 4483
Satu Mare, Anul 2006, Numar, 3911
Satu Mare, Anul 2007, Numar, 4920
Satu Mare, Anul 2008, Numar, 4602
Satu Mare, Anul 2009, Numar, 5982
Satu Mare, Anul 2010, Numar, 5343
Satu Mare, Anul 2011, Numar, 3817
Satu Mare, Anul 2012, Numar, 4744
Satu Mare, Anul 2013, Numar, 4135
Satu Mare, Anul 2014, Numar, 5466
Satu Mare, Anul 2015, Numar, 4226
Satu Mare, Anul 2016, Numar, 3363
Salaj, Anul 1990, Numar, 731
Salaj, Anul 1991, Numar, 1133
Salaj, Anul 1992, Numar, 1324
Salaj, Anul 1993, Numar, 2673
Salaj, Anul 1994, Numar, 2132
Salaj, Anul 1995, Numar, 2486
Salaj, Anul 1996, Numar, 2557
Salaj, Anul 1997, Numar, 3046
Salaj, Anul 1998, Numar, 3206
Salaj, Anul 1999, Numar, 2539
Salaj, Anul 2000, Numar, 2207
Salaj, Anul 2001, Numar, 2378
Salaj, Anul 2002, Numar, 2013
Salaj, Anul 2003, Numar, 2191
Salaj, Anul 2004, Numar, 2366
Salaj, Anul 2005, Numar, 2394
Salaj, Anul 2006, Numar, 2508
Salaj, Anul 2007, Numar, 2678
Salaj, Anul 2008, Numar, 2864
Salaj, Anul 2009, Numar, 3429
Salaj, Anul 2010, Numar, 3137
Salaj, Anul 2011, Numar, 2997
Salaj, Anul 2012, Numar, 3232
Salaj, Anul 2013, Numar, 3177
Salaj, Anul 2014, Numar, 4261
Salaj, Anul 2015, Numar, 3034
Salaj, Anul 2016, Numar, 3131
Regiunea CENTRU, Anul 1990, Numar, 8976
Regiunea CENTRU, Anul 1991, Numar, 13027
Regiunea CENTRU, Anul 1992, Numar, 13624
Regiunea CENTRU, Anul 1993, Numar, 22616
Regiunea CENTRU, Anul 1994, Numar, 24638
Regiunea CENTRU, Anul 1995, Numar, 29337
Regiunea CENTRU, Anul 1996, Numar, 33328
Regiunea CENTRU, Anul 1997, Numar, 40855
Regiunea CENTRU, Anul 1998, Numar, 48365
Regiunea CENTRU, Anul 1999, Numar, 45135
Regiunea CENTRU, Anul 2000, Numar, 44700
Regiunea CENTRU, Anul 2001, Numar, 43202
Regiunea CENTRU, Anul 2002, Numar, 39898
Regiunea CENTRU, Anul 2003, Numar, 35182
Regiunea CENTRU, Anul 2004, Numar, 29027
Regiunea CENTRU, Anul 2005, Numar, 26112
Regiunea CENTRU, Anul 2006, Numar, 29579
Regiunea CENTRU, Anul 2007, Numar, 34781
Regiunea CENTRU, Anul 2008, Numar, 36510
Regiunea CENTRU, Anul 2009, Numar, 40499
Regiunea CENTRU, Anul 2010, Numar, 39509
Regiunea CENTRU, Anul 2011, Numar, 37544
Regiunea CENTRU, Anul 2012, Numar, 38761
Regiunea CENTRU, Anul 2013, Numar, 38607
Regiunea CENTRU, Anul 2014, Numar, 48145
Regiunea CENTRU, Anul 2015, Numar, 38501
Regiunea CENTRU, Anul 2016, Numar, 37535
Alba, Anul 1990, Numar, 1448
Alba, Anul 1991, Numar, 1967
Alba, Anul 1992, Numar, 2262
Alba, Anul 1993, Numar, 3597
Alba, Anul 1994, Numar, 3739
Alba, Anul 1995, Numar, 4801
Alba, Anul 1996, Numar, 4669
Alba, Anul 1997, Numar, 5359
Alba, Anul 1998, Numar, 9186
Alba, Anul 1999, Numar, 7405
Alba, Anul 2000, Numar, 6598
Alba, Anul 2001, Numar, 6743
Alba, Anul 2002, Numar, 7386
Alba, Anul 2003, Numar, 6544
Alba, Anul 2004, Numar, 5630
Alba, Anul 2005, Numar, 4424
Alba, Anul 2006, Numar, 5037
Alba, Anul 2007, Numar, 7163
Alba, Anul 2008, Numar, 7398
Alba, Anul 2009, Numar, 8250
Alba, Anul 2010, Numar, 7796
Alba, Anul 2011, Numar, 6393
Alba, Anul 2012, Numar, 6443
Alba, Anul 2013, Numar, 7022
Alba, Anul 2014, Numar, 7334
Alba, Anul 2015, Numar, 6591
Alba, Anul 2016, Numar, 6849
Brasov, Anul 1990, Numar, 2374
Brasov, Anul 1991, Numar, 3532
Brasov, Anul 1992, Numar, 2789
Brasov, Anul 1993, Numar, 4266
Brasov, Anul 1994, Numar, 4441
Brasov, Anul 1995, Numar, 6218
Brasov, Anul 1996, Numar, 8202
Brasov, Anul 1997, Numar, 11176
Brasov, Anul 1998, Numar, 11447
Brasov, Anul 1999, Numar, 11992
Brasov, Anul 2000, Numar, 12477
Brasov, Anul 2001, Numar, 11695
Brasov, Anul 2002, Numar, 10683
Brasov, Anul 2003, Numar, 8570
Brasov, Anul 2004, Numar, 5300
Brasov, Anul 2005, Numar, 5449
Brasov, Anul 2006, Numar, 6595
Brasov, Anul 2007, Numar, 6896
Brasov, Anul 2008, Numar, 7408
Brasov, Anul 2009, Numar, 8407
Brasov, Anul 2010, Numar, 7967
Brasov, Anul 2011, Numar, 11188
Brasov, Anul 2012, Numar, 10567
Brasov, Anul 2013, Numar, 9786
Brasov, Anul 2014, Numar, 14060
Brasov, Anul 2015, Numar, 13359
Brasov, Anul 2016, Numar, 11282
Covasna, Anul 1990, Numar, 697
Covasna, Anul 1991, Numar, 1115
Covasna, Anul 1992, Numar, 1203
Covasna, Anul 1993, Numar, 2121
Covasna, Anul 1994, Numar, 2481
Covasna, Anul 1995, Numar, 3437
Covasna, Anul 1996, Numar, 4109
Covasna, Anul 1997, Numar, 4642
Covasna, Anul 1998, Numar, 5504
Covasna, Anul 1999, Numar, 4928
Covasna, Anul 2000, Numar, 4526
Covasna, Anul 2001, Numar, 4523
Covasna, Anul 2002, Numar, 4109
Covasna, Anul 2003, Numar, 3594
Covasna, Anul 2004, Numar, 3524
Covasna, Anul 2005, Numar, 2763
Covasna, Anul 2006, Numar, 2576
Covasna, Anul 2007, Numar, 2417
Covasna, Anul 2008, Numar, 2083
Covasna, Anul 2009, Numar, 2646
Covasna, Anul 2010, Numar, 2560
Covasna, Anul 2011, Numar, 2289
Covasna, Anul 2012, Numar, 2513
Covasna, Anul 2013, Numar, 2112
Covasna, Anul 2014, Numar, 2102
Covasna, Anul 2015, Numar, 2366
Covasna, Anul 2016, Numar, 1944
Harghita, Anul 1990, Numar, 666
Harghita, Anul 1991, Numar, 1228
Harghita, Anul 1992, Numar, 1322
Harghita, Anul 1993, Numar, 2763
Harghita, Anul 1994, Numar, 3314
Harghita, Anul 1995, Numar, 3964
Harghita, Anul 1996, Numar, 4435
Harghita, Anul 1997, Numar, 5410
Harghita, Anul 1998, Numar, 6457
Harghita, Anul 1999, Numar, 6045
Harghita, Anul 2000, Numar, 4888
Harghita, Anul 2001, Numar, 4494
Harghita, Anul 2002, Numar, 4516
Harghita, Anul 2003, Numar, 4453
Harghita, Anul 2004, Numar, 4037
Harghita, Anul 2005, Numar, 4428
Harghita, Anul 2006, Numar, 4619
Harghita, Anul 2007, Numar, 4738
Harghita, Anul 2008, Numar, 4577
Harghita, Anul 2009, Numar, 4925
Harghita, Anul 2010, Numar, 5457
Harghita, Anul 2011, Numar, 5670
Harghita, Anul 2012, Numar, 4960
Harghita, Anul 2013, Numar, 4927
Harghita, Anul 2014, Numar, 4678
Harghita, Anul 2015, Numar, 3229
Harghita, Anul 2016, Numar, 3414
Mures, Anul 1990, Numar, 2050
Mures, Anul 1991, Numar, 2834
Mures, Anul 1992, Numar, 3364
Mures, Anul 1993, Numar, 5272
Mures, Anul 1994, Numar, 6554
Mures, Anul 1995, Numar, 6118
Mures, Anul 1996, Numar, 6778
Mures, Anul 1997, Numar, 8042
Mures, Anul 1998, Numar, 9125
Mures, Anul 1999, Numar, 8777
Mures, Anul 2000, Numar, 8507
Mures, Anul 2001, Numar, 7904
Mures, Anul 2002, Numar, 6423
Mures, Anul 2003, Numar, 6435
Mures, Anul 2004, Numar, 5523
Mures, Anul 2005, Numar, 5693
Mures, Anul 2006, Numar, 6584
Mures, Anul 2007, Numar, 8836
Mures, Anul 2008, Numar, 9805
Mures, Anul 2009, Numar, 10378
Mures, Anul 2010, Numar, 9937
Mures, Anul 2011, Numar, 7265
Mures, Anul 2012, Numar, 8174
Mures, Anul 2013, Numar, 8807
Mures, Anul 2014, Numar, 13823
Mures, Anul 2015, Numar, 7843
Mures, Anul 2016, Numar, 8680
Sibiu, Anul 1990, Numar, 1741
Sibiu, Anul 1991, Numar, 2351
Sibiu, Anul 1992, Numar, 2684
Sibiu, Anul 1993, Numar, 4597
Sibiu, Anul 1994, Numar, 4109
Sibiu, Anul 1995, Numar, 4799
Sibiu, Anul 1996, Numar, 5135
Sibiu, Anul 1997, Numar, 6226
Sibiu, Anul 1998, Numar, 6646
Sibiu, Anul 1999, Numar, 5988
Sibiu, Anul 2000, Numar, 7704
Sibiu, Anul 2001, Numar, 7843
Sibiu, Anul 2002, Numar, 6781
Sibiu, Anul 2003, Numar, 5586
Sibiu, Anul 2004, Numar, 5013
Sibiu, Anul 2005, Numar, 3355
Sibiu, Anul 2006, Numar, 4168
Sibiu, Anul 2007, Numar, 4731
Sibiu, Anul 2008, Numar, 5239
Sibiu, Anul 2009, Numar, 5893
Sibiu, Anul 2010, Numar, 5792
Sibiu, Anul 2011, Numar, 4739
Sibiu, Anul 2012, Numar, 6104
Sibiu, Anul 2013, Numar, 5953
Sibiu, Anul 2014, Numar, 6148
Sibiu, Anul 2015, Numar, 5113
Sibiu, Anul 2016, Numar, 5366
MACROREGIUNEA DOI, Anul 1990, Numar, 27322
MACROREGIUNEA DOI, Anul 1991, Numar, 40679
MACROREGIUNEA DOI, Anul 1992, Numar, 41406
MACROREGIUNEA DOI, Anul 1993, Numar, 64375
MACROREGIUNEA DOI, Anul 1994, Numar, 69304
MACROREGIUNEA DOI, Anul 1995, Numar, 88763
