Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar de persoane condamnate definitiv la 100000 locuitori, Valoare
Mehedinti, Anul 1995, Numar, 717
Mehedinti, Anul 1996, Numar, 763
Mehedinti, Anul 1997, Numar, 771
Mehedinti, Anul 1998, Numar, 833
Mehedinti, Anul 1999, Numar, 717
Mehedinti, Anul 2000, Numar, 584
Mehedinti, Anul 2001, Numar, 695
Mehedinti, Anul 2002, Numar, 654
Mehedinti, Anul 2003, Numar, 603
Mehedinti, Anul 2004, Numar, 480
Mehedinti, Anul 2005, Numar, 488
Mehedinti, Anul 2006, Numar, 322
Mehedinti, Anul 2007, Numar, 187
Mehedinti, Anul 2008, Numar, 110
Mehedinti, Anul 2009, Numar, 157
Mehedinti, Anul 2010, Numar, 277
Mehedinti, Anul 2011, Numar, 349
Mehedinti, Anul 2012, Numar, 351
Mehedinti, Anul 2013, Numar, 367
Mehedinti, Anul 2014, Numar, 321
Mehedinti, Anul 2015, Numar, 233
Mehedinti, Anul 2016, Numar, 177
Olt, Anul 1990, Numar, 196
Olt, Anul 1991, Numar, 286
Olt, Anul 1992, Numar, 344
Olt, Anul 1993, Numar, 424
Olt, Anul 1994, Numar, 583
Olt, Anul 1995, Numar, 520
Olt, Anul 1996, Numar, 653
Olt, Anul 1997, Numar, 651
Olt, Anul 1998, Numar, 542
Olt, Anul 1999, Numar, 453
Olt, Anul 2000, Numar, 388
Olt, Anul 2001, Numar, 455
Olt, Anul 2002, Numar, 482
Olt, Anul 2003, Numar, 457
Olt, Anul 2004, Numar, 388
Olt, Anul 2005, Numar, 402
Olt, Anul 2006, Numar, 343
Olt, Anul 2007, Numar, 240
Olt, Anul 2008, Numar, 151
Olt, Anul 2009, Numar, 158
Olt, Anul 2010, Numar, 202
Olt, Anul 2011, Numar, 136
Olt, Anul 2012, Numar, 151
Olt, Anul 2013, Numar, 115
Olt, Anul 2014, Numar, 101
Olt, Anul 2015, Numar, 166
Olt, Anul 2016, Numar, 112
Valcea, Anul 1990, Numar, 225
Valcea, Anul 1991, Numar, 402
Valcea, Anul 1992, Numar, 381
Valcea, Anul 1993, Numar, 428
Valcea, Anul 1994, Numar, 466
Valcea, Anul 1995, Numar, 592
Valcea, Anul 1996, Numar, 594
Valcea, Anul 1997, Numar, 732
Valcea, Anul 1998, Numar, 563
Valcea, Anul 1999, Numar, 463
Valcea, Anul 2000, Numar, 412
Valcea, Anul 2001, Numar, 475
Valcea, Anul 2002, Numar, 342
Valcea, Anul 2003, Numar, 316
Valcea, Anul 2004, Numar, 282
Valcea, Anul 2005, Numar, 289
Valcea, Anul 2006, Numar, 248
Valcea, Anul 2007, Numar, 182
Valcea, Anul 2008, Numar, 125
Valcea, Anul 2009, Numar, 88
Valcea, Anul 2010, Numar, 121
Valcea, Anul 2011, Numar, 105
Valcea, Anul 2012, Numar, 127
Valcea, Anul 2013, Numar, 120
Valcea, Anul 2014, Numar, 105
Valcea, Anul 2015, Numar, 205
Valcea, Anul 2016, Numar, 171
Regiunea VEST, Anul 1990, Numar, 144
Regiunea VEST, Anul 1991, Numar, 247
Regiunea VEST, Anul 1992, Numar, 337
Regiunea VEST, Anul 1993, Numar, 386
Regiunea VEST, Anul 1994, Numar, 495
Regiunea VEST, Anul 1995, Numar, 525
Regiunea VEST, Anul 1996, Numar, 574
Regiunea VEST, Anul 1997, Numar, 560
Regiunea VEST, Anul 1998, Numar, 524
Regiunea VEST, Anul 1999, Numar, 367
Regiunea VEST, Anul 2000, Numar, 340
Regiunea VEST, Anul 2001, Numar, 365
Regiunea VEST, Anul 2002, Numar, 359
Regiunea VEST, Anul 2003, Numar, 335
Regiunea VEST, Anul 2004, Numar, 290
Regiunea VEST, Anul 2005, Numar, 270
Regiunea VEST, Anul 2006, Numar, 277
Regiunea VEST, Anul 2007, Numar, 222
Regiunea VEST, Anul 2008, Numar, 204
Regiunea VEST, Anul 2009, Numar, 172
Regiunea VEST, Anul 2010, Numar, 195
Regiunea VEST, Anul 2011, Numar, 240
Regiunea VEST, Anul 2012, Numar, 272
Regiunea VEST, Anul 2013, Numar, 281
Regiunea VEST, Anul 2014, Numar, 244
Regiunea VEST, Anul 2015, Numar, 220
Regiunea VEST, Anul 2016, Numar, 181
Arad, Anul 1990, Numar, 123
Arad, Anul 1991, Numar, 275
Arad, Anul 1992, Numar, 397
Arad, Anul 1993, Numar, 480
Arad, Anul 1994, Numar, 645
Arad, Anul 1995, Numar, 608
Arad, Anul 1996, Numar, 538
Arad, Anul 1997, Numar, 443
Arad, Anul 1998, Numar, 457
Arad, Anul 1999, Numar, 344
Arad, Anul 2000, Numar, 404
Arad, Anul 2001, Numar, 429
Arad, Anul 2002, Numar, 378
Arad, Anul 2003, Numar, 309
Arad, Anul 2004, Numar, 293
Arad, Anul 2005, Numar, 264
Arad, Anul 2006, Numar, 333
Arad, Anul 2007, Numar, 226
Arad, Anul 2008, Numar, 290
Arad, Anul 2009, Numar, 219
Arad, Anul 2010, Numar, 222
Arad, Anul 2011, Numar, 258
Arad, Anul 2012, Numar, 275
Arad, Anul 2013, Numar, 220
Arad, Anul 2014, Numar, 191
Arad, Anul 2015, Numar, 161
Arad, Anul 2016, Numar, 162
Caras-Severin, Anul 1990, Numar, 112
Caras-Severin, Anul 1991, Numar, 145
Caras-Severin, Anul 1992, Numar, 319
Caras-Severin, Anul 1993, Numar, 302
Caras-Severin, Anul 1994, Numar, 356
Caras-Severin, Anul 1995, Numar, 442
Caras-Severin, Anul 1996, Numar, 532
Caras-Severin, Anul 1997, Numar, 539
Caras-Severin, Anul 1998, Numar, 418
Caras-Severin, Anul 1999, Numar, 300
Caras-Severin, Anul 2000, Numar, 328
Caras-Severin, Anul 2001, Numar, 376
Caras-Severin, Anul 2002, Numar, 374
Caras-Severin, Anul 2003, Numar, 323
Caras-Severin, Anul 2004, Numar, 266
Caras-Severin, Anul 2005, Numar, 243
Caras-Severin, Anul 2006, Numar, 244
Caras-Severin, Anul 2007, Numar, 158
Caras-Severin, Anul 2008, Numar, 133
Caras-Severin, Anul 2009, Numar, 110
Caras-Severin, Anul 2010, Numar, 134
Caras-Severin, Anul 2011, Numar, 154
Caras-Severin, Anul 2012, Numar, 158
Caras-Severin, Anul 2013, Numar, 231
Caras-Severin, Anul 2014, Numar, 203
Caras-Severin, Anul 2015, Numar, 279
Caras-Severin, Anul 2016, Numar, 133
Hunedoara, Anul 1990, Numar, 195
Hunedoara, Anul 1991, Numar, 318
Hunedoara, Anul 1992, Numar, 347
Hunedoara, Anul 1993, Numar, 388
Hunedoara, Anul 1994, Numar, 443
Hunedoara, Anul 1995, Numar, 501
Hunedoara, Anul 1996, Numar, 583
Hunedoara, Anul 1997, Numar, 662
Hunedoara, Anul 1998, Numar, 608
Hunedoara, Anul 1999, Numar, 510
Hunedoara, Anul 2000, Numar, 410
Hunedoara, Anul 2001, Numar, 423
Hunedoara, Anul 2002, Numar, 428
Hunedoara, Anul 2003, Numar, 425
Hunedoara, Anul 2004, Numar, 408
Hunedoara, Anul 2005, Numar, 376
Hunedoara, Anul 2006, Numar, 322
Hunedoara, Anul 2007, Numar, 315
Hunedoara, Anul 2008, Numar, 259
Hunedoara, Anul 2009, Numar, 264
Hunedoara, Anul 2010, Numar, 289
Hunedoara, Anul 2011, Numar, 369
Hunedoara, Anul 2012, Numar, 365
Hunedoara, Anul 2013, Numar, 330
Hunedoara, Anul 2014, Numar, 289
Hunedoara, Anul 2015, Numar, 198
Hunedoara, Anul 2016, Numar, 183
Timis, Anul 1990, Numar, 135
Timis, Anul 1991, Numar, 227
Timis, Anul 1992, Numar, 297
Timis, Anul 1993, Numar, 365
Timis, Anul 1994, Numar, 505
Timis, Anul 1995, Numar, 529
Timis, Anul 1996, Numar, 615
Timis, Anul 1997, Numar, 572
Timis, Anul 1998, Numar, 562
Timis, Anul 1999, Numar, 307
Timis, Anul 2000, Numar, 248
Timis, Anul 2001, Numar, 271
Timis, Anul 2002, Numar, 288
Timis, Anul 2003, Numar, 293
Timis, Anul 2004, Numar, 214
Timis, Anul 2005, Numar, 212
Timis, Anul 2006, Numar, 222
Timis, Anul 2007, Numar, 186
Timis, Anul 2008, Numar, 140
Timis, Anul 2009, Numar, 108
Timis, Anul 2010, Numar, 141
Timis, Anul 2011, Numar, 181
Timis, Anul 2012, Numar, 263
Timis, Anul 2013, Numar, 311
Timis, Anul 2014, Numar, 268
Timis, Anul 2015, Numar, 246
Timis, Anul 2016, Numar, 211
