Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar de persoane condamnate definitiv la 100000 locuitori, Valoare
Regiunea CENTRU, Anul 1993, Numar, 358
Regiunea CENTRU, Anul 1994, Numar, 442
Regiunea CENTRU, Anul 1995, Numar, 437
Regiunea CENTRU, Anul 1996, Numar, 431
Regiunea CENTRU, Anul 1997, Numar, 437
Regiunea CENTRU, Anul 1998, Numar, 433
Regiunea CENTRU, Anul 1999, Numar, 371
Regiunea CENTRU, Anul 2000, Numar, 322
Regiunea CENTRU, Anul 2001, Numar, 320
Regiunea CENTRU, Anul 2002, Numar, 305
Regiunea CENTRU, Anul 2003, Numar, 306
Regiunea CENTRU, Anul 2004, Numar, 242
Regiunea CENTRU, Anul 2005, Numar, 241
Regiunea CENTRU, Anul 2006, Numar, 245
Regiunea CENTRU, Anul 2007, Numar, 196
Regiunea CENTRU, Anul 2008, Numar, 175
Regiunea CENTRU, Anul 2009, Numar, 176
Regiunea CENTRU, Anul 2010, Numar, 220
Regiunea CENTRU, Anul 2011, Numar, 267
Regiunea CENTRU, Anul 2012, Numar, 267
Regiunea CENTRU, Anul 2013, Numar, 260
Regiunea CENTRU, Anul 2014, Numar, 226
Regiunea CENTRU, Anul 2015, Numar, 209
Regiunea CENTRU, Anul 2016, Numar, 161
Alba, Anul 1990, Numar, 139
Alba, Anul 1991, Numar, 273
Alba, Anul 1992, Numar, 256
Alba, Anul 1993, Numar, 338
Alba, Anul 1994, Numar, 461
Alba, Anul 1995, Numar, 481
Alba, Anul 1996, Numar, 490
Alba, Anul 1997, Numar, 457
Alba, Anul 1998, Numar, 504
Alba, Anul 1999, Numar, 409
Alba, Anul 2000, Numar, 345
Alba, Anul 2001, Numar, 329
Alba, Anul 2002, Numar, 372
Alba, Anul 2003, Numar, 350
Alba, Anul 2004, Numar, 267
Alba, Anul 2005, Numar, 282
Alba, Anul 2006, Numar, 269
Alba, Anul 2007, Numar, 190
Alba, Anul 2008, Numar, 184
Alba, Anul 2009, Numar, 174
Alba, Anul 2010, Numar, 275
Alba, Anul 2011, Numar, 344
Alba, Anul 2012, Numar, 369
Alba, Anul 2013, Numar, 347
Alba, Anul 2014, Numar, 302
Alba, Anul 2015, Numar, 237
Alba, Anul 2016, Numar, 219
Brasov, Anul 1990, Numar, 169
Brasov, Anul 1991, Numar, 264
Brasov, Anul 1992, Numar, 332
Brasov, Anul 1993, Numar, 349
Brasov, Anul 1994, Numar, 406
Brasov, Anul 1995, Numar, 428
Brasov, Anul 1996, Numar, 422
Brasov, Anul 1997, Numar, 401
Brasov, Anul 1998, Numar, 409
Brasov, Anul 1999, Numar, 289
Brasov, Anul 2000, Numar, 232
Brasov, Anul 2001, Numar, 277
Brasov, Anul 2002, Numar, 265
Brasov, Anul 2003, Numar, 235
Brasov, Anul 2004, Numar, 185
Brasov, Anul 2005, Numar, 171
Brasov, Anul 2006, Numar, 205
Brasov, Anul 2007, Numar, 173
Brasov, Anul 2008, Numar, 142
Brasov, Anul 2009, Numar, 152
Brasov, Anul 2010, Numar, 206
Brasov, Anul 2011, Numar, 273
Brasov, Anul 2012, Numar, 282
Brasov, Anul 2013, Numar, 298
Brasov, Anul 2014, Numar, 258
Brasov, Anul 2015, Numar, 247
Brasov, Anul 2016, Numar, 212
Covasna, Anul 1990, Numar, 124
Covasna, Anul 1991, Numar, 252
Covasna, Anul 1992, Numar, 246
Covasna, Anul 1993, Numar, 347
Covasna, Anul 1994, Numar, 390
Covasna, Anul 1995, Numar, 407
Covasna, Anul 1996, Numar, 418
Covasna, Anul 1997, Numar, 512
Covasna, Anul 1998, Numar, 487
Covasna, Anul 1999, Numar, 400
Covasna, Anul 2000, Numar, 247
Covasna, Anul 2001, Numar, 286
Covasna, Anul 2002, Numar, 288
Covasna, Anul 2003, Numar, 328
Covasna, Anul 2004, Numar, 229
Covasna, Anul 2005, Numar, 236
Covasna, Anul 2006, Numar, 226
Covasna, Anul 2007, Numar, 154
Covasna, Anul 2008, Numar, 132
Covasna, Anul 2009, Numar, 151
Covasna, Anul 2010, Numar, 176
Covasna, Anul 2011, Numar, 229
Covasna, Anul 2012, Numar, 305
Covasna, Anul 2013, Numar, 305
Covasna, Anul 2014, Numar, 266
Covasna, Anul 2015, Numar, 135
Covasna, Anul 2016, Numar, 127
Harghita, Anul 1990, Numar, 82
Harghita, Anul 1991, Numar, 218
Harghita, Anul 1992, Numar, 238
Harghita, Anul 1993, Numar, 344
Harghita, Anul 1994, Numar, 382
Harghita, Anul 1995, Numar, 399
Harghita, Anul 1996, Numar, 416
Harghita, Anul 1997, Numar, 486
Harghita, Anul 1998, Numar, 411
Harghita, Anul 1999, Numar, 362
Harghita, Anul 2000, Numar, 284
Harghita, Anul 2001, Numar, 312
Harghita, Anul 2002, Numar, 359
Harghita, Anul 2003, Numar, 384
Harghita, Anul 2004, Numar, 382
Harghita, Anul 2005, Numar, 407
Harghita, Anul 2006, Numar, 321
Harghita, Anul 2007, Numar, 258
Harghita, Anul 2008, Numar, 232
Harghita, Anul 2009, Numar, 193
Harghita, Anul 2010, Numar, 212
Harghita, Anul 2011, Numar, 240
Harghita, Anul 2012, Numar, 233
Harghita, Anul 2013, Numar, 149
Harghita, Anul 2014, Numar, 129
Harghita, Anul 2015, Numar, 124
Harghita, Anul 2016, Numar, 106
Mures, Anul 1990, Numar, 112
Mures, Anul 1991, Numar, 211
Mures, Anul 1992, Numar, 170
Mures, Anul 1993, Numar, 362
Mures, Anul 1994, Numar, 522
Mures, Anul 1995, Numar, 427
Mures, Anul 1996, Numar, 433
Mures, Anul 1997, Numar, 386
Mures, Anul 1998, Numar, 421
Mures, Anul 1999, Numar, 440
Mures, Anul 2000, Numar, 467
Mures, Anul 2001, Numar, 397
Mures, Anul 2002, Numar, 299
Mures, Anul 2003, Numar, 274
Mures, Anul 2004, Numar, 218
Mures, Anul 2005, Numar, 214
Mures, Anul 2006, Numar, 222
Mures, Anul 2007, Numar, 198
Mures, Anul 2008, Numar, 185
Mures, Anul 2009, Numar, 194
Mures, Anul 2010, Numar, 223
Mures, Anul 2011, Numar, 244
Mures, Anul 2012, Numar, 244
