Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Covasna, Anul 2000, Numar persoane, 570
Covasna, Anul 2001, Numar persoane, 660
Covasna, Anul 2002, Numar persoane, 649
Covasna, Anul 2003, Numar persoane, 738
Covasna, Anul 2004, Numar persoane, 513
Covasna, Anul 2005, Numar persoane, 528
Covasna, Anul 2006, Numar persoane, 505
Covasna, Anul 2007, Numar persoane, 343
Covasna, Anul 2008, Numar persoane, 295
Covasna, Anul 2009, Numar persoane, 336
Covasna, Anul 2010, Numar persoane, 391
Covasna, Anul 2011, Numar persoane, 508
Covasna, Anul 2012, Numar persoane, 639
Covasna, Anul 2013, Numar persoane, 638
Covasna, Anul 2014, Numar persoane, 553
Covasna, Anul 2015, Numar persoane, 279
Covasna, Anul 2016, Numar persoane, 262
Harghita, Anul 1990, Numar persoane, 298
Harghita, Anul 1991, Numar persoane, 788
Harghita, Anul 1992, Numar persoane, 830
Harghita, Anul 1993, Numar persoane, 1199
Harghita, Anul 1994, Numar persoane, 1327
Harghita, Anul 1995, Numar persoane, 1380
Harghita, Anul 1996, Numar persoane, 1431
Harghita, Anul 1997, Numar persoane, 1668
Harghita, Anul 1998, Numar persoane, 1411
Harghita, Anul 1999, Numar persoane, 1237
Harghita, Anul 2000, Numar persoane, 971
Harghita, Anul 2001, Numar persoane, 1065
Harghita, Anul 2002, Numar persoane, 1185
Harghita, Anul 2003, Numar persoane, 1264
Harghita, Anul 2004, Numar persoane, 1256
Harghita, Anul 2005, Numar persoane, 1329
Harghita, Anul 2006, Numar persoane, 1049
Harghita, Anul 2007, Numar persoane, 839
Harghita, Anul 2008, Numar persoane, 754
Harghita, Anul 2009, Numar persoane, 628
Harghita, Anul 2010, Numar persoane, 688
Harghita, Anul 2011, Numar persoane, 777
Harghita, Anul 2012, Numar persoane, 725
Harghita, Anul 2013, Numar persoane, 463
Harghita, Anul 2014, Numar persoane, 401
Harghita, Anul 2015, Numar persoane, 381
Harghita, Anul 2016, Numar persoane, 325
Mures, Anul 1990, Numar persoane, 697
Mures, Anul 1991, Numar persoane, 1311
Mures, Anul 1992, Numar persoane, 1035
Mures, Anul 1993, Numar persoane, 2201
