Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar infractiuni la 100000 locuitori, Valoare
Gorj, Anul 1995, Numar, 1423
Gorj, Anul 1996, Numar, 1513
Gorj, Anul 1997, Numar, 1856
Gorj, Anul 1998, Numar, 1966
Gorj, Anul 1999, Numar, 2041
Gorj, Anul 2000, Numar, 1948
Gorj, Anul 2001, Numar, 1957
Gorj, Anul 2002, Numar, 1898
Gorj, Anul 2003, Numar, 1890
Gorj, Anul 2004, Numar, 1590
Gorj, Anul 2005, Numar, 1263
Gorj, Anul 2006, Numar, 1141
Gorj, Anul 2007, Numar, 1764
Gorj, Anul 2008, Numar, 1937
Gorj, Anul 2009, Numar, 2352
Gorj, Anul 2010, Numar, 1916
Gorj, Anul 2011, Numar, 1333
Gorj, Anul 2012, Numar, 1554
Gorj, Anul 2013, Numar, 1635
Gorj, Anul 2014, Numar, 1391
Gorj, Anul 2015, Numar, 1804
Gorj, Anul 2016, Numar, 1731
Mehedinti, Anul 1990, Numar, 435
Mehedinti, Anul 1991, Numar, 864
Mehedinti, Anul 1992, Numar, 815
Mehedinti, Anul 1993, Numar, 1529
Mehedinti, Anul 1994, Numar, 1454
Mehedinti, Anul 1995, Numar, 1869
Mehedinti, Anul 1996, Numar, 2130
Mehedinti, Anul 1997, Numar, 2358
Mehedinti, Anul 1998, Numar, 2794
Mehedinti, Anul 1999, Numar, 2949
Mehedinti, Anul 2000, Numar, 2181
Mehedinti, Anul 2001, Numar, 1748
Mehedinti, Anul 2002, Numar, 1583
Mehedinti, Anul 2003, Numar, 1322
Mehedinti, Anul 2004, Numar, 1184
Mehedinti, Anul 2005, Numar, 906
Mehedinti, Anul 2006, Numar, 933
Mehedinti, Anul 2007, Numar, 1158
Mehedinti, Anul 2008, Numar, 1363
Mehedinti, Anul 2009, Numar, 1471
Mehedinti, Anul 2010, Numar, 1607
Mehedinti, Anul 2011, Numar, 1101
Mehedinti, Anul 2012, Numar, 1765
Mehedinti, Anul 2013, Numar, 1515
Mehedinti, Anul 2014, Numar, 1654
Mehedinti, Anul 2015, Numar, 1444
Mehedinti, Anul 2016, Numar, 1917
Olt, Anul 1990, Numar, 437
Olt, Anul 1991, Numar, 584
Olt, Anul 1992, Numar, 649
Olt, Anul 1993, Numar, 1094
Olt, Anul 1994, Numar, 1146
Olt, Anul 1995, Numar, 1190
Olt, Anul 1996, Numar, 1464
Olt, Anul 1997, Numar, 1546
Olt, Anul 1998, Numar, 1519
Olt, Anul 1999, Numar, 1422
Olt, Anul 2000, Numar, 1543
Olt, Anul 2001, Numar, 1373
Olt, Anul 2002, Numar, 1189
Olt, Anul 2003, Numar, 1277
Olt, Anul 2004, Numar, 1104
Olt, Anul 2005, Numar, 1012
Olt, Anul 2006, Numar, 1369
Olt, Anul 2007, Numar, 1757
Olt, Anul 2008, Numar, 1872
Olt, Anul 2009, Numar, 1971
Olt, Anul 2010, Numar, 1542
Olt, Anul 2011, Numar, 1458
Olt, Anul 2012, Numar, 1588
Olt, Anul 2013, Numar, 1622
Olt, Anul 2014, Numar, 897
Olt, Anul 2015, Numar, 1151
Olt, Anul 2016, Numar, 1249
Valcea, Anul 1990, Numar, 277
Valcea, Anul 1991, Numar, 487
Valcea, Anul 1992, Numar, 449
Valcea, Anul 1993, Numar, 605
Valcea, Anul 1994, Numar, 724
Valcea, Anul 1995, Numar, 964
Valcea, Anul 1996, Numar, 1010
Valcea, Anul 1997, Numar, 1085
Valcea, Anul 1998, Numar, 1354
Valcea, Anul 1999, Numar, 985
Valcea, Anul 2000, Numar, 1277
Valcea, Anul 2001, Numar, 1244
Valcea, Anul 2002, Numar, 975
Valcea, Anul 2003, Numar, 794
Valcea, Anul 2004, Numar, 585
Valcea, Anul 2005, Numar, 542
Valcea, Anul 2006, Numar, 688
Valcea, Anul 2007, Numar, 1292
Valcea, Anul 2008, Numar, 1581
Valcea, Anul 2009, Numar, 1508
Valcea, Anul 2010, Numar, 1477
Valcea, Anul 2011, Numar, 902
Valcea, Anul 2012, Numar, 1351
Valcea, Anul 2013, Numar, 1648
Valcea, Anul 2014, Numar, 2014
Valcea, Anul 2015, Numar, 1606
Valcea, Anul 2016, Numar, 1711
Regiunea VEST, Anul 1990, Numar, 421
Regiunea VEST, Anul 1991, Numar, 749
Regiunea VEST, Anul 1992, Numar, 860
Regiunea VEST, Anul 1993, Numar, 1077
Regiunea VEST, Anul 1994, Numar, 1262
Regiunea VEST, Anul 1995, Numar, 1535
Regiunea VEST, Anul 1996, Numar, 1996
Regiunea VEST, Anul 1997, Numar, 2018
Regiunea VEST, Anul 1998, Numar, 2077
Regiunea VEST, Anul 1999, Numar, 1718
Regiunea VEST, Anul 2000, Numar, 1665
Regiunea VEST, Anul 2001, Numar, 1585
Regiunea VEST, Anul 2002, Numar, 1608
Regiunea VEST, Anul 2003, Numar, 1389
Regiunea VEST, Anul 2004, Numar, 1119
Regiunea VEST, Anul 2005, Numar, 1010
Regiunea VEST, Anul 2006, Numar, 1127
Regiunea VEST, Anul 2007, Numar, 1458
Regiunea VEST, Anul 2008, Numar, 1605
Regiunea VEST, Anul 2009, Numar, 1698
Regiunea VEST, Anul 2010, Numar, 1544
Regiunea VEST, Anul 2011, Numar, 1340
Regiunea VEST, Anul 2012, Numar, 1584
Regiunea VEST, Anul 2013, Numar, 1544
Regiunea VEST, Anul 2014, Numar, 1985
Regiunea VEST, Anul 2015, Numar, 1852
Regiunea VEST, Anul 2016, Numar, 1695
Arad, Anul 1990, Numar, 373
Arad, Anul 1991, Numar, 690
Arad, Anul 1992, Numar, 751
Arad, Anul 1993, Numar, 987
Arad, Anul 1994, Numar, 1116
Arad, Anul 1995, Numar, 1270
Arad, Anul 1996, Numar, 1352
Arad, Anul 1997, Numar, 1701
Arad, Anul 1998, Numar, 2140
Arad, Anul 1999, Numar, 1910
Arad, Anul 2000, Numar, 1582
Arad, Anul 2001, Numar, 1286
Arad, Anul 2002, Numar, 1386
Arad, Anul 2003, Numar, 1388
Arad, Anul 2004, Numar, 1289
Arad, Anul 2005, Numar, 933
Arad, Anul 2006, Numar, 1140
Arad, Anul 2007, Numar, 1435
Arad, Anul 2008, Numar, 1521
Arad, Anul 2009, Numar, 1571
Arad, Anul 2010, Numar, 1304
Arad, Anul 2011, Numar, 1276
Arad, Anul 2012, Numar, 1449
Arad, Anul 2013, Numar, 1398
Arad, Anul 2014, Numar, 1430
Arad, Anul 2015, Numar, 1539
Arad, Anul 2016, Numar, 1349
Caras-Severin, Anul 1990, Numar, 282
Caras-Severin, Anul 1991, Numar, 589
Caras-Severin, Anul 1992, Numar, 647
Caras-Severin, Anul 1993, Numar, 1056
Caras-Severin, Anul 1994, Numar, 1260
Caras-Severin, Anul 1995, Numar, 1438
Caras-Severin, Anul 1996, Numar, 1637
Caras-Severin, Anul 1997, Numar, 1781
Caras-Severin, Anul 1998, Numar, 1809
Caras-Severin, Anul 1999, Numar, 1599
Caras-Severin, Anul 2000, Numar, 1743
Caras-Severin, Anul 2001, Numar, 1863
Caras-Severin, Anul 2002, Numar, 1833
Caras-Severin, Anul 2003, Numar, 1365
Caras-Severin, Anul 2004, Numar, 911
Caras-Severin, Anul 2005, Numar, 914
Caras-Severin, Anul 2006, Numar, 992
Caras-Severin, Anul 2007, Numar, 1234
Caras-Severin, Anul 2008, Numar, 1158
Caras-Severin, Anul 2009, Numar, 1434
Caras-Severin, Anul 2010, Numar, 1550
Caras-Severin, Anul 2011, Numar, 1382
Caras-Severin, Anul 2012, Numar, 1580
Caras-Severin, Anul 2013, Numar, 1400
Caras-Severin, Anul 2014, Numar, 1710
Caras-Severin, Anul 2015, Numar, 1545
Caras-Severin, Anul 2016, Numar, 1670
Hunedoara, Anul 1990, Numar, 470
Hunedoara, Anul 1991, Numar, 765
Hunedoara, Anul 1992, Numar, 890
Hunedoara, Anul 1993, Numar, 1170
Hunedoara, Anul 1994, Numar, 1387
Hunedoara, Anul 1995, Numar, 1662
Hunedoara, Anul 1996, Numar, 2692
Hunedoara, Anul 1997, Numar, 2362
Hunedoara, Anul 1998, Numar, 2274
Hunedoara, Anul 1999, Numar, 1692
Hunedoara, Anul 2000, Numar, 1617
Hunedoara, Anul 2001, Numar, 1641
Hunedoara, Anul 2002, Numar, 1777
Hunedoara, Anul 2003, Numar, 1691
Hunedoara, Anul 2004, Numar, 1541
Hunedoara, Anul 2005, Numar, 1536
Hunedoara, Anul 2006, Numar, 1493
Hunedoara, Anul 2007, Numar, 1982
Hunedoara, Anul 2008, Numar, 2336
Hunedoara, Anul 2009, Numar, 2549
Hunedoara, Anul 2010, Numar, 2384
Hunedoara, Anul 2011, Numar, 1891
Hunedoara, Anul 2012, Numar, 2020
Hunedoara, Anul 2013, Numar, 2083
Hunedoara, Anul 2014, Numar, 2631
Hunedoara, Anul 2015, Numar, 2009
Hunedoara, Anul 2016, Numar, 1923
Timis, Anul 1990, Numar, 494
Timis, Anul 1991, Numar, 867
Timis, Anul 1992, Numar, 1029
Timis, Anul 1993, Numar, 1078
Timis, Anul 1994, Numar, 1265
Timis, Anul 1995, Numar, 1669
Timis, Anul 1996, Numar, 2083
Timis, Anul 1997, Numar, 2091
Timis, Anul 1998, Numar, 2020
Timis, Anul 1999, Numar, 1667
Timis, Anul 2000, Numar, 1718
Timis, Anul 2001, Numar, 1607
Timis, Anul 2002, Numar, 1524
Timis, Anul 2003, Numar, 1178
Timis, Anul 2004, Numar, 796
Timis, Anul 2005, Numar, 727
Timis, Anul 2006, Numar, 921
Timis, Anul 2007, Numar, 1213
Timis, Anul 2008, Numar, 1370
Timis, Anul 2009, Numar, 1324
Timis, Anul 2010, Numar, 1133
Timis, Anul 2011, Numar, 992
Timis, Anul 2012, Numar, 1407
Timis, Anul 2013, Numar, 1376
Timis, Anul 2014, Numar, 2062
Timis, Anul 2015, Numar, 2079
Timis, Anul 2016, Numar, 1785
