Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar infractiuni la 100000 locuitori, Valoare
Mures, Anul 1995, Numar, 1010
Mures, Anul 1996, Numar, 1122
Mures, Anul 1997, Numar, 1334
Mures, Anul 1998, Numar, 1514
Mures, Anul 1999, Numar, 1459
Mures, Anul 2000, Numar, 1414
Mures, Anul 2001, Numar, 1312
Mures, Anul 2002, Numar, 1092
Mures, Anul 2003, Numar, 1098
Mures, Anul 2004, Numar, 946
Mures, Anul 2005, Numar, 976
Mures, Anul 2006, Numar, 1129
Mures, Anul 2007, Numar, 1519
Mures, Anul 2008, Numar, 1687
Mures, Anul 2009, Numar, 1787
Mures, Anul 2010, Numar, 1713
Mures, Anul 2011, Numar, 1255
Mures, Anul 2012, Numar, 1487
Mures, Anul 2013, Numar, 1606
Mures, Anul 2014, Numar, 2526
Mures, Anul 2015, Numar, 1439
Mures, Anul 2016, Numar, 1601
Sibiu, Anul 1990, Numar, 347
Sibiu, Anul 1991, Numar, 479
Sibiu, Anul 1992, Numar, 597
Sibiu, Anul 1993, Numar, 1028
Sibiu, Anul 1994, Numar, 916
Sibiu, Anul 1995, Numar, 1074
Sibiu, Anul 1996, Numar, 1154
Sibiu, Anul 1997, Numar, 1400
Sibiu, Anul 1998, Numar, 1495
Sibiu, Anul 1999, Numar, 1350
Sibiu, Anul 2000, Numar, 1735
Sibiu, Anul 2001, Numar, 1769
Sibiu, Anul 2002, Numar, 1600
Sibiu, Anul 2003, Numar, 1318
Sibiu, Anul 2004, Numar, 1184
Sibiu, Anul 2005, Numar, 795
Sibiu, Anul 2006, Numar, 985
Sibiu, Anul 2007, Numar, 1118
Sibiu, Anul 2008, Numar, 1237
Sibiu, Anul 2009, Numar, 1386
Sibiu, Anul 2010, Numar, 1362
Sibiu, Anul 2011, Numar, 1112
Sibiu, Anul 2012, Numar, 1528
Sibiu, Anul 2013, Numar, 1487
Sibiu, Anul 2014, Numar, 1536
Sibiu, Anul 2015, Numar, 1278
Sibiu, Anul 2016, Numar, 1342
MACROREGIUNEA DOI, Anul 1990, Numar, 404
MACROREGIUNEA DOI, Anul 1991, Numar, 598
MACROREGIUNEA DOI, Anul 1992, Numar, 616
MACROREGIUNEA DOI, Anul 1993, Numar, 956
MACROREGIUNEA DOI, Anul 1994, Numar, 1028
MACROREGIUNEA DOI, Anul 1995, Numar, 1317
MACROREGIUNEA DOI, Anul 1996, Numar, 1426
MACROREGIUNEA DOI, Anul 1997, Numar, 1608
MACROREGIUNEA DOI, Anul 1998, Numar, 1731
MACROREGIUNEA DOI, Anul 1999, Numar, 1588
MACROREGIUNEA DOI, Anul 2000, Numar, 1559
MACROREGIUNEA DOI, Anul 2001, Numar, 1529
MACROREGIUNEA DOI, Anul 2002, Numar, 1422
MACROREGIUNEA DOI, Anul 2003, Numar, 1264
MACROREGIUNEA DOI, Anul 2004, Numar, 1136
MACROREGIUNEA DOI, Anul 2005, Numar, 998
MACROREGIUNEA DOI, Anul 2006, Numar, 1019
MACROREGIUNEA DOI, Anul 2007, Numar, 1237
MACROREGIUNEA DOI, Anul 2008, Numar, 1232
MACROREGIUNEA DOI, Anul 2009, Numar, 1196
