Numarul mediu lunar de beneficiari si sume platite, Macroregiuni  regiuni de dezvoltare si judete, Ani, Um: Numar  Lei, Valoare
Numarul mediu lunar de beneficiari - total, Vaslui, Anul 2011, Numar, 18122
Numarul mediu lunar de beneficiari - total, Vaslui, Anul 2012, Numar, 16397
Numarul mediu lunar de beneficiari - total, Vaslui, Anul 2013, Numar, 13902
Numarul mediu lunar de beneficiari - total, Vaslui, Anul 2014, Numar, 13257
Numarul mediu lunar de beneficiari - total, Vaslui, Anul 2015, Numar, 14046
Numarul mediu lunar de beneficiari - total, Vaslui, Anul 2016, Numar, 13719
Numarul mediu lunar de beneficiari - total, Vaslui, Anul 2017, Numar, 12997
Numarul mediu lunar de beneficiari - total, Regiunea SUD-EST, Anul 2011, Numar, 45144
Numarul mediu lunar de beneficiari - total, Regiunea SUD-EST, Anul 2012, Numar, 39762
Numarul mediu lunar de beneficiari - total, Regiunea SUD-EST, Anul 2013, Numar, 35223
Numarul mediu lunar de beneficiari - total, Regiunea SUD-EST, Anul 2014, Numar, 33678
Numarul mediu lunar de beneficiari - total, Regiunea SUD-EST, Anul 2015, Numar, 37504
Numarul mediu lunar de beneficiari - total, Regiunea SUD-EST, Anul 2016, Numar, 36802
Numarul mediu lunar de beneficiari - total, Regiunea SUD-EST, Anul 2017, Numar, 34390
Numarul mediu lunar de beneficiari - total, Braila, Anul 2011, Numar, 5836
Numarul mediu lunar de beneficiari - total, Braila, Anul 2012, Numar, 5334
Numarul mediu lunar de beneficiari - total, Braila, Anul 2013, Numar, 4593
Numarul mediu lunar de beneficiari - total, Braila, Anul 2014, Numar, 4383
Numarul mediu lunar de beneficiari - total, Braila, Anul 2015, Numar, 4829
Numarul mediu lunar de beneficiari - total, Braila, Anul 2016, Numar, 4665
Numarul mediu lunar de beneficiari - total, Braila, Anul 2017, Numar, 4141
Numarul mediu lunar de beneficiari - total, Buzau, Anul 2011, Numar, 13651
Numarul mediu lunar de beneficiari - total, Buzau, Anul 2012, Numar, 9951
Numarul mediu lunar de beneficiari - total, Buzau, Anul 2013, Numar, 9543
Numarul mediu lunar de beneficiari - total, Buzau, Anul 2014, Numar, 9450
