Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Bacau, Anul 2013, Numar persoane, 316759
Bacau, Anul 2014, Numar persoane, 323327
Bacau, Anul 2015, Numar persoane, 322947
Bacau, Anul 2016, Numar persoane, 325516
Bacau, Anul 2017, Numar persoane, 327194
Botosani, Anul 2008, Numar persoane, 154556
Botosani, Anul 2009, Numar persoane, 161749
Botosani, Anul 2010, Numar persoane, 169506
Botosani, Anul 2011, Numar persoane, 155916
Botosani, Anul 2012, Numar persoane, 155912
Botosani, Anul 2013, Numar persoane, 145231
Botosani, Anul 2014, Numar persoane, 148420
Botosani, Anul 2015, Numar persoane, 151563
Botosani, Anul 2016, Numar persoane, 145366
Botosani, Anul 2017, Numar persoane, 139323
Iasi, Anul 2008, Numar persoane, 374960
Iasi, Anul 2009, Numar persoane, 421021
Iasi, Anul 2010, Numar persoane, 423335
Iasi, Anul 2011, Numar persoane, 423420
Iasi, Anul 2012, Numar persoane, 426468
Iasi, Anul 2013, Numar persoane, 578414
Iasi, Anul 2014, Numar persoane, 568773
Iasi, Anul 2015, Numar persoane, 567013
Iasi, Anul 2016, Numar persoane, 432590
Iasi, Anul 2017, Numar persoane, 447380
Neamt, Anul 2008, Numar persoane, 226594
Neamt, Anul 2009, Numar persoane, 247341
Neamt, Anul 2010, Numar persoane, 254199
Neamt, Anul 2011, Numar persoane, 260870
Neamt, Anul 2012, Numar persoane, 266056
Neamt, Anul 2013, Numar persoane, 226073
Neamt, Anul 2014, Numar persoane, 229437
Neamt, Anul 2015, Numar persoane, 234519
Neamt, Anul 2016, Numar persoane, 239123
Neamt, Anul 2017, Numar persoane, 249061
Suceava, Anul 2008, Numar persoane, 160281
Suceava, Anul 2009, Numar persoane, 173446
Suceava, Anul 2010, Numar persoane, 183582
Suceava, Anul 2011, Numar persoane, 188797
Suceava, Anul 2012, Numar persoane, 185862
Suceava, Anul 2013, Numar persoane, 210626
Suceava, Anul 2014, Numar persoane, 200679
Suceava, Anul 2015, Numar persoane, 201534
Suceava, Anul 2016, Numar persoane, 213927
Suceava, Anul 2017, Numar persoane, 219503
Vaslui, Anul 2008, Numar persoane, 142556
Vaslui, Anul 2009, Numar persoane, 136463
Vaslui, Anul 2010, Numar persoane, 136203
Vaslui, Anul 2011, Numar persoane, 134214
Vaslui, Anul 2012, Numar persoane, 143918
Vaslui, Anul 2013, Numar persoane, 130922
Vaslui, Anul 2014, Numar persoane, 142244
Vaslui, Anul 2015, Numar persoane, 139986
Vaslui, Anul 2016, Numar persoane, 143809
Vaslui, Anul 2017, Numar persoane, 148761
Regiunea SUD-EST, Anul 2008, Numar persoane, 1713807
Regiunea SUD-EST, Anul 2009, Numar persoane, 1722968
Regiunea SUD-EST, Anul 2010, Numar persoane, 1713969
Regiunea SUD-EST, Anul 2011, Numar persoane, 1688664
Regiunea SUD-EST, Anul 2012, Numar persoane, 1699277
Regiunea SUD-EST, Anul 2013, Numar persoane, 1707904
Regiunea SUD-EST, Anul 2014, Numar persoane, 1764447
Regiunea SUD-EST, Anul 2015, Numar persoane, 1770230
Regiunea SUD-EST, Anul 2016, Numar persoane, 1836227
Regiunea SUD-EST, Anul 2017, Numar persoane, 1894843
Braila, Anul 2008, Numar persoane, 287736
Braila, Anul 2009, Numar persoane, 289275
Braila, Anul 2010, Numar persoane, 303770
Braila, Anul 2011, Numar persoane, 244831
Braila, Anul 2012, Numar persoane, 251807
Braila, Anul 2013, Numar persoane, 256731
Braila, Anul 2014, Numar persoane, 257212
Braila, Anul 2015, Numar persoane, 262943
Braila, Anul 2016, Numar persoane, 277517
Braila, Anul 2017, Numar persoane, 285452
Buzau, Anul 2008, Numar persoane, 230525
Buzau, Anul 2009, Numar persoane, 230410
Buzau, Anul 2010, Numar persoane, 228797
